group_key,group_name,domain,websites,emails,phones,cities,legal_entities_count,ksw_listings_count,locations_count,member_entities,ksw_pages,has_official_domain,qualification_status,confidence,employee_low,employee_high,reason,official_employee_evidence,site_team_profiles,site_team_emails,site_job_links,search_employee_evidence,search_size_ranges,linkedin_visible,evidence_urls,agent_selection_reason,agent_research_mode,agent_verdict,agent_employee_low,agent_employee_high,agent_count_scope,agent_confidence,agent_research_summary,agent_source_urls,agent_source_facts,agent_review_note,agent_researcher_consensus
domain:wegenstein-partner.at,WEGENSTEIN & PARTNER Wirtschaftstreuhand & Steuerberatungsgesellschaft m.b.H.,wegenstein-partner.at,http://www.wegenstein-partner.at | http://www.artus.at,office@wegenstein-partner.at | w.dibiasi@artus.at | w.schmid@artus.at | m.obernberger@artus.at | t.stipic@artus.at,+43 1 15 13 7900 | +43 1 15 13 7900 5 | +43 1 513 79 00 0 | +43 1 513 79 00 5 | +43 1 513 79 00,"Wien Gemeinde: Wien Wien 1.,Innere Stadt +43 1 15 13 7900 +4",1,1,1,WEGENSTEIN & PARTNER Wirtschaftstreuhand & Steuerberatungsgesellschaft m.b.H.,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=97,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,0,0,0,,,,https://www.bing.com/ck/a?!&&p=cbb8502a3ea66695d40adcbf2126fa6431ebdc415dffa6f2696616e7bdd6b5ebJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=23a7667b-25a4-6620-06ae-71be24ff6741&u=a1aHR0cHM6Ly93d3cuY25uLmNvbS92aWRlb3MvbGl2ZQ&ntb=1,SANITY_SEED:ARTUS,DEEP_RESEARCH,CONFIRMED_20_PLUS,21,,AUSTRIA_LEGAL_ENTITY,HIGH,Official site provides a direct staff lower bound of at least 21.,https://artus.at/,Official site exposes at least 21 distinct staff profiles/personal company-domain emails.,Staff-page lower bound proves 20+ but not 30+ unless count reaches 30.,SINGLE
domain:kanzlei-haas.at,A. Haas Steuerberatungs GmbH,kanzlei-haas.at,http://www.kanzlei-haas.at | http://www.steuerviertel.at,office@kanzlei-haas.at | alexander.haas@steuerviertel.at,+43 664 222 834 | +43 50 256 104,Korneuburg Gemeinde: Korneuburg Bezirk Korneuburg +43 664 22,1,1,1,A. Haas Steuerberatungs GmbH,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=326,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,0,1,0,,,,http://www.kanzlei-haas.at/ | https://www.kanzlei-haas.at/,SANITY_SEED:Steuerviertel,DEEP_RESEARCH,CONFIRMED_30_PLUS,70,,AUSTRIA_LEGAL_ENTITY,HIGH,Official Austrian company/group page states approximately or explicitly 70 employees.,https://www.steuerviertel.at/,Official site employee statement around 70.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
domain:audit-salzburg.at,audit.salzburg. Wirtschaftsprüfung GmbH,audit-salzburg.at,http://www.audit-salzburg.at | http://www.zobl-bauer.at,office@audit-salzburg.at | anna.ferner@zobl-bauer.at | anton.kaiser@zobl-bauer.at | robert.faerberbaeck@zobl-bauer.at | ulrich.lankmayer@zobl-bauer.at,+43 662 639 71 0 | +43 662 62 45 45 | +43 664 516 75 15 | +43 6582 725 50 | +43 6582 725 50 30,Salzburg Gemeinde: Salzburg Bezirk Salzburg(Stadt) +43 662 6,1,1,1,audit.salzburg. Wirtschaftsprüfung GmbH,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=131,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,0,0,0,,,,https://www.bing.com/ck/a?!&&p=e0660df69f7c85dda62a5a273aa8550a7440c807759f7e0c17ce42a66a33879aJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly9hc3Eub3JnL3F1YWxpdHktcmVzb3VyY2VzL2F1ZGl0aW5n&ntb=1 | https://www.bing.com/ck/a?!&&p=978c0414250f16e5b91aa5f3401c9c82e68d5a5d2b20415a4496f6b55a4244abJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXVkaXQ&ntb=1 | https://www.bing.com/ck/a?!&&p=85a86c893259884b57b4d3be4c6239a2763d50023289596d12b63ef1d7aaced4JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly93d3cubWVycmlhbS13ZWJzdGVyLmNvbS9kaWN0aW9uYXJ5L2F1ZGl0&ntb=1 | https://www.bing.com/ck/a?!&&p=13e334af01edb96f24f2d99f7d4366bb174d9826eb7428976bf1dd7a749132abJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly93d3cuaW52ZXN0b3BlZGlhLmNvbS90ZXJtcy9hL2F1ZGl0LmFzcA&ntb=1 | https://www.bing.com/ck/a?!&&p=78436dbede0c59d01664c1aa565f5f7a3730055a7f7ef5f1e9f0952731113878JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly9hdWRpdHNjcmVlbi5vcmcv&ntb=1 | https://www.bing.com/ck/a?!&&p=dd51033f3122686b7f3e78b02251de48ecc393af529d5f9f72aaf934067b5447JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly9pbnZvaWNlZmx5LmNvbS9hY2FkZW15L2F1ZGl0LW1lYW5pbmcv&ntb=1 | https://www.bing.com/ck/a?!&&p=01c88f9b21ca1ec6f54cbf2fda1f1ae05b7e72291d32671f444769174a71ff26JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly93d3cuam91cm5hbG9mYWNjb3VudGFuY3kuY29tL3RvcGljcy9hdWRpdGluZy9wZXJmb3JtaW5nLWFuLWF1ZGl0Lw&ntb=1 | https://www.bing.com/ck/a?!&&p=5eba098e17734925e0a2ed61394ee92c600e752d99c216f18efc9c9a56551e34JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly93d3cud2lraWhvdy5jb20vQXVkaXQ&ntb=1 | https://www.bing.com/ck/a?!&&p=97fd9331b0ef2c07d78c7fd7c00501cbd70a3e4f17765768c46cedf2651c68b3JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly9jb3Jwb3JhdGVmaW5hbmNlaW5zdGl0dXRlLmNvbS9yZXNvdXJjZXMvYWNjb3VudGluZy9hdWRpdC8&ntb=1 | https://www.bing.com/ck/a?!&&p=c79fde546c461579c11607c540e5917897dae3f30beab52acbd95ca64214583eJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=31f58cfa-7215-6449-3806-9b3f73fb65e1&u=a1aHR0cHM6Ly9zaW1wbGUud2lraXBlZGlhLm9yZy93aWtpL0F1ZGl0&ntb=1 | https://www.bing.com/ck/a?!&&p=519086857d6a5ab151ad37962d242a15ea3afbd321e9f75060f7d3c5a31d207aJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=1913f177-9960-66f5-14ec-e6b2988f6734&u=a1aHR0cHM6Ly9hc3Eub3JnL3F1YWxpdHktcmVzb3VyY2VzL2F1ZGl0aW5n&ntb=1 | https://www.bing.com/ck/a?!&&p=b9c2a1c7009f3d26dd6be625933202e736d919f56346dc429b8c40f015ba2d00JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=1913f177-9960-66f5-14ec-e6b2988f6734&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXVkaXQ&ntb=1,SANITY_SEED:zobl,DEEP_RESEARCH,CONFIRMED_30_PLUS,180,,AUSTRIA_LEGAL_ENTITY,HIGH,Official Austrian company/group page states approximately or explicitly 180 employees.,https://www.zobl-bauer.at/,Official site employee statement around 180.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
"domain:beco,at",BECO Steuerberatung und Wirtschaftsprüfung GmbH,"beco,at","http://www.beco,at | http://www.beco.at | https://www.beco.at",office@beco.at | philipp.rath@wp-rath.at | sandra.hoeller@liwest.at,+43 1 877 96 21 | +43 1 877 96 21 11 | +43 1 395 07 559 | +43 57 1130 0 | +43 676 338 27 98 | +43 664 33 40 499 | +43 57 11 30 0 | +43 57 11 30,"Klagenfurt Gemeinde: Klagenfurt am Wörthersee Bezirk Klagenf | Wien Gemeinde: Wien Wien 13.,Hietzing +43 57 1130 0 office(a | Linz Gemeinde: Linz Bezirk Linz(Stadt) +43 57 11 30 0 office | Ried im Innkreis Gemeinde: Ried im Innkreis Bezirk Ried im I",1,4,4,BECO Steuerberatung und Wirtschaftsprüfung GmbH,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=326 | https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=209 | https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=21 | https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=22,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,0,0,0,,,,https://www.bing.com/ck/a?!&&p=c648944d68e62daa8c3068cae6d1efce3d4d6e869c4a8fd358f2d6e277dcc110JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly93d3cubGV0c2JlY28uY29tLw&ntb=1 | https://www.bing.com/ck/a?!&&p=847ebc938466d10b571a8d67f7a786f1d8fa1e3868145531dd69ed69becdfdd2JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly93d3cubGV0c2JlY28uY29tL2NvbGxlY3Rpb25zL2JhbWJvby1lY28tZnJpZW5kbHktcHJvZHVjdHM&ntb=1 | https://www.bing.com/ck/a?!&&p=b6c000b8629b68c8ff83c3c08116c5e7496eb68ef424208b7d35753df665d36eJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly9pbi5saW5rZWRpbi5jb20vY29tcGFueS9iZWNvLWluZGlh&ntb=1 | https://www.bing.com/ck/a?!&&p=c39e6e0c5ddd29b87cd662c62362996c41863f96017b7072b2cbc91a511c4021JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly93d3cuYmVjb2luZHVzdHJpZXMuY29tLw&ntb=1 | https://www.bing.com/ck/a?!&&p=559d35dc0d7a05f42b366940835ac0cbb35859e10ead050cf14fe434f7ee0098JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly93d3cuYW1hem9uLmluL0JlY28tTWF4LUtpdGNoZW4tQ2xlYW5lci1JbnN0YW50bHkvZHAvQjBGTURUOExKSA&ntb=1 | https://www.bing.com/ck/a?!&&p=2e2213e85a236e55f62a028f9e62d1b1ff59588750a718828b6f9f9811d1c0b4JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly93d3cuYmVjb2Fzc2V0LmNvbS8&ntb=1 | https://www.bing.com/ck/a?!&&p=6d9b19f247a8debaab78203bc8aa9ed5619d3752f7ad6fb0afeca4c1b562182dJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly9iZWNvYmFieWNhcnJpZXIuY29tLw&ntb=1 | https://www.bing.com/ck/a?!&&p=40ea134134dbd0cca0540acf88bcd4bac655847c64f078cbe4322d95de035551JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly93d3cuYmVjby10ZWNobmljLmNvbS9lbi8&ntb=1 | https://www.bing.com/ck/a?!&&p=1224d6b08a1a566aaf6edec2e3810d66a2ce7c425210f98dea711ba365907d44JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly9iZWNvbmV0LmNvbS8&ntb=1 | https://www.bing.com/ck/a?!&&p=f658fe439ed2c16c812487aa0c0dea007782ab607f5ea74d6737c198eed15665JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=2abc587a-531d-66f3-31be-4fbf52ec679e&u=a1aHR0cHM6Ly9iZWNvYmFieWNhcnJpZXIuY29tL2NvbGxlY3Rpb25zL2JlY28tZ2VtaW5p&ntb=1 | https://www.bing.com/ck/a?!&&p=f6847812273457a1e3fe8c584d2ca08b5e5f7f76f10dc001da9de45e5aec58e0JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=0c6b76fe-6c39-685c-20c3-613b6d4f6920&u=a1aHR0cHM6Ly93d3cubGV0c2JlY28uY29tLw&ntb=1 | https://www.bing.com/ck/a?!&&p=c052f809120b52db8cefedf1bf5350bfedec15611c002896b70b2c977fa60e7cJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=0c6b76fe-6c39-685c-20c3-613b6d4f6920&u=a1aHR0cHM6Ly93d3cubGV0c2JlY28uY29tL2NvbGxlY3Rpb25zL2JhbWJvby1lY28tZnJpZW5kbHktcHJvZHVjdHM&ntb=1,KSW_LISTINGS_3_PLUS;LOCATIONS_3_PLUS,DEEP_RESEARCH,CONFIRMED_30_PLUS,60,,AUSTRIA_LEGAL_ENTITY,HIGH,Official Austrian company/group page states approximately or explicitly 60 employees.,https://www.beco.at/,Official site employee statement around 60.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
domain:thp-kanzlei.at,ECA Treuhand Partner Steuerberatung GmbH & Co KG,thp-kanzlei.at,http://www.thp-kanzlei.at | http://www.innsbruck.eca.at,innsbruck@eca.at | office@thp-kanzlei.at | miriam.seidner@eca.at,+43 512 57 14 15 | +43 512 57 14 15 1011 | +43 512 571 415 | +43 512 571 415 1011,Innsbruck Gemeinde: Innsbruck Bezirk Innsbruck-Stadt +43 512,2,2,2,ECA Treuhand Partner Steuerberatung GmbH & Co KG | THP KRESTON Wirtschaftsprüfung und Steuerberatung GmbH,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=271 | https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=365,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,0,0,0,,,,,LEGAL_ENTITIES_2_PLUS,DEEP_RESEARCH,CONFIRMED_30_PLUS,35,,AUSTRIA_GROUP,HIGH,Official Austrian company/group page states approximately or explicitly 35 employees.,https://innsbruck.eca.at/unsere-kanzlei/team,Official site employee statement around 35.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
domain:etl-steuerberatung.at,ETL Austria Steuerberatungsgesellschaft mbH.,etl-steuerberatung.at,http://www.etl-steuerberatung.at | http://www.klinger-rieger.at,office@etl-steuerberatung.at | manfred.rieger@klinger-rieger.at | michael.klinger@klinger-rieger.at | sina.klinger@klinger-rieger.at | fabia.klinger@klinger-rieger.at,+43 662 62 19 70 0 | +43 662 62 19 70 9 | +43 662 62 13 17 0 | +43 662 62 13 17 9,Salzburg Gemeinde: Salzburg Bezirk Salzburg(Stadt) +43 662 6,1,1,1,ETL Austria Steuerberatungsgesellschaft mbH.,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=424,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,0,1,0,,,,https://www.etl-steuerberatung.at/ | https://www.etl-steuerberatung.at/steuerberater/oesterreich/anfahrt_steuerberatungskanzlei/,SANITY_SEED:Klinger,DEEP_RESEARCH,CONFIRMED_30_PLUS,200,,AUSTRIA_LEGAL_ENTITY,HIGH,Official Austrian company/group page states approximately or explicitly 200 employees.,https://www.klinger-rieger.at/ueber-uns/,Official site employee statement around 200.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
domain: krw-steuerberater.at,KRW Dr. Klinger & Partner Steuerberatungsgesellschaft mbH, krw-steuerberater.at,http://www. krw-steuerberater.at | http://www.klinger-rieger.at,michael.klinger@klinger-rieger.at | manfred.rieger@klinger-rieger.at | sina.klinger@klinger-rieger.at | fabia.klinger@klinger-rieger.at,+43 662 62 13 17 | +43 662 62 13 17 9 | +43 662 62 13 17 0,Salzburg Gemeinde: Salzburg Bezirk Salzburg(Stadt) +43 662 6,1,1,1,KRW Dr. Klinger & Partner Steuerberatungsgesellschaft mbH,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=220,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,0,0,0,,,,,SANITY_SEED:KRW|Klinger,DEEP_RESEARCH,CONFIRMED_30_PLUS,200,,AUSTRIA_LEGAL_ENTITY,HIGH,Official Austrian company/group page states approximately or explicitly 200 employees.,https://www.klinger-rieger.at/ueber-uns/,Official site employee statement around 200.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
domain:krw-innsbruck.at,KRW Innsbruck Steuerberatungsgesellschaft mbH,krw-innsbruck.at,http://www.krw-innsbruck.at | http://www.klinger-rieger.at,office@krw-innsbruck.at | michael.klinger@klinger-rieger.at,+43 512 334 51 | +43 512 334 51 13 | +43 662 62 13 17 0 | +43 662 62 13 17 9,Pradl Gemeinde: Innsbruck Bezirk Innsbruck-Stadt +43 512 334,1,1,1,KRW Innsbruck Steuerberatungsgesellschaft mbH,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=361,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,2,1,1,,,,https://krw-innsbruck.at/ | https://krw-innsbruck.at/?taxonomy=nav_menu&term=kanzlei | https://krw-innsbruck.at/mitarbeiter/ | https://krw-innsbruck.at/stellenangebote/,SANITY_SEED:KRW|Klinger,DEEP_RESEARCH,CONFIRMED_30_PLUS,200,,AUSTRIA_LEGAL_ENTITY,HIGH,Official Austrian company/group page states approximately or explicitly 200 employees.,https://www.klinger-rieger.at/ueber-uns/,Official site employee statement around 200.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
domain:krw-linz-maass.at,KRW Linz Maaß Steuerberatungsgesellschaft mbH,krw-linz-maass.at,http://www.krw-linz-maass.at | http://www.klinger-rieger.at,office@krw-linz-maass.at | michael.klinger@klinger-rieger.at | sina.klinger@klinger-rieger.at | fabia.klinger@klinger-rieger.at,+43 732 65 81 36 | +43 732 600 107 | +43 662 62 13 17 0 | +43 662 62 13 17 9 | +43 662 62 13 17,Linz Gemeinde: Linz Bezirk Linz(Stadt) +43 732 65 81 36 +43,1,1,1,KRW Linz Maaß Steuerberatungsgesellschaft mbH,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=441,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,1,1,6,,,,https://www.krw-linz-maass.at/ | https://www.krw-linz-maass.at/mitarbeiter/ | https://www.krw-linz-maass.at/karriere-stellenangebote/,JOB_LINKS_3_PLUS;SANITY_SEED:KRW|Klinger,DEEP_RESEARCH,CONFIRMED_30_PLUS,200,,AUSTRIA_LEGAL_ENTITY,HIGH,Official Austrian company/group page states approximately or explicitly 200 employees.,https://www.klinger-rieger.at/ueber-uns/,Official site employee statement around 200.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
domain:it-steuerberatung.at,KRW Steuerberatungsgesellschaft mbH,it-steuerberatung.at,http://www.it-steuerberatung.at | http://www.klinger-rieger.at,office@klinger-rieger.at | manfred.rieger@klinger-rieger.at | michael.klinger@klinger-rieger.at | sina.klinger@klinger-rieger.at | fabia.klinger@klinger-rieger.at,+43 662 62 19 70 | +43 662 62 19 70 9 | +43 662 62 13 17 0 | +43 662 62 13 17 9,Salzburg Gemeinde: Salzburg Bezirk Salzburg(Stadt) +43 662 6,1,1,1,KRW Steuerberatungsgesellschaft mbH,https://ksw.or.at/mitgliederverzeichnis/?tx_kswmembers_membersdirectory%5Bcontroller%5D=MembersDirectory&tx_kswmembers_membersdirectory%5BcurrentPage%5D=394,1,NO_20PLUS_EVIDENCE,LOW,0,0,no reliable 20+ evidence found,,0,0,0,,,,,SANITY_SEED:KRW|Klinger,DEEP_RESEARCH,CONFIRMED_30_PLUS,200,,AUSTRIA_LEGAL_ENTITY,HIGH,Official Austrian company/group page states approximately or explicitly 200 employees.,https://www.klinger-rieger.at/ueber-uns/,Official site employee statement around 200.,Official-site employee statement is sufficient for a 30+ lower bound.,SINGLE
