rule_id,action,match_regex,canonical_group_name,employee_low,employee_high,verdict,source_url,reason,required
PROMOTE_KPMG,PROMOTE_MERGE,"(?i)(\bKPMG\b|kpmg\.com/at|kpmg\.at)",KPMG Austria,2000,2000,CONFIRMED_30_PLUS,https://kpmg.com/at/de/media/press-releases/2026/transparenzbericht-2025.html,Official Austria source says around 2000 employees at 10 Austrian locations,1
PROMOTE_PWC,PROMOTE_MERGE,"(?i)(\bPwC\b|Pricewaterhouse|pwc\.at)",PwC Austria,1458,1458,CONFIRMED_30_PLUS,https://www.pwc.at/de/ueber-uns/nachhaltigkeitsinformation-25.html,Official FY25 Austria headcount is 1458 at five locations,1
PROMOTE_TPA,PROMOTE_MERGE,"(?i)(\bTPA\b|tpa-group\.at)",TPA Austria,850,850,CONFIRMED_30_PLUS,https://at.linkedin.com/company/tpa-austria,Current Austria company profile states over 850 employees at 16 Austrian locations,1
PROMOTE_CONTAX,PROMOTE_MERGE,"(?i)(\bCONTAX\b|contax\.at)",CONTAX WirtschaftstreuhandgmbH,51,200,CONFIRMED_30_PLUS,https://at.linkedin.com/company/contax-wirtschaftstreuhandgmbh,Current company profile gives Austria company size 51-200 and 45 visible employees,1
PROMOTE_FP,PROMOTE_MERGE,"(?i)(\bfp steuerberatung\b|Frötscher Pregenzer Kaufmann|Froetscher Pregenzer Kaufmann|steuerklar\.at)",fp Steuerberatung GmbH & Co KG,50,50,CONFIRMED_30_PLUS,https://jobs-steuerklar.at/,Official careers page states around 50 employees,1
PROMOTE_ECOVIS,PROMOTE_MERGE,"(?i)(\bECOVIS\b|ecovis\.(com|at))",ECOVIS Austria,180,180,CONFIRMED_30_PLUS,https://www.ecovis.com/austria/wp-content/uploads/2022/10/Pressemappe-ECOVIS-Austria.pdf,ECOVIS Austria facts and figures state around 180 employees,1
PROMOTE_FORVIS_MAZARS,PROMOTE_MERGE,"(?i)(\bForvis Mazars\b|\bMazars\b|forvismazars\.com/at)",Forvis Mazars Austria,250,250,CONFIRMED_30_PLUS,https://www.forvismazars.com/at/de/u-ber-uns/forvis-mazars-in-oesterreich,Current official Austria page states over 250 experts,1
PROMOTE_LBG,PROMOTE_MERGE,"(?i)(\bLBG\b|lbg\.at)",LBG Österreich,600,600,CONFIRMED_30_PLUS,https://www.lbg.at/unternehmen/,Current official Austria page states around 600 employees at 35 locations,1
PROMOTE_KRW,PROMOTE_MERGE,"(?i)(\bKRW\b|klinger-rieger\.at|krw-steuerberater\.at|krw-[a-z0-9-]+\.at)",KRW Steuerberatung Österreich,200,250,CONFIRMED_30_PLUS,https://www.klinger-rieger.at/ueber-uns/,Official group page states over 200 employees across Austria partner offices,1
PROMOTE_GRANT_THORNTON,PROMOTE_MERGE,"(?i)(\bGrant Thornton\b|grantthornton\.at|^GMC Steuerberatungsgesellschaft mbH$)",Grant Thornton Austria,250,300,CONFIRMED_30_PLUS,https://www.grantthornton.at/uber-uns/,Austria group is a confirmed 250-plus scale account,1
PROMOTE_MEDPLAN,PROMOTE_MERGE,"(?i)(\bMEDplan\b|medplan\.at)",MEDplan Steuerberatung GmbH & Co KG,20,49,CONFIRMED_20_PLUS,https://www.medplan.at/kanzlei/team/unser_team/,Current official team page exposes at least 20 distinct named team members; prior crawler count 82 was not used,1
PROMOTE_WTSB,PROMOTE_MERGE,"(?i)(\bWTSB\b|wtsb\.at)",WTSB Steuerberatungs GmbH,31,49,CONFIRMED_30_PLUS,https://www.wtsb.at/kanzlei/geschichte/,Official history says more than 30 qualified employees across the firm,1
DOWN_HUBER_HUBER,DOWNGRADE_UNRESOLVED,"(?i)^Huber & Huber Steuerberatungs und Wirtschaftsprüfungs GmbH$",,,,,,Search-derived 3000 headcount was an unrelated false match,1
DOWN_HUBER_HOELLER,DOWNGRADE_UNRESOLVED,"(?i)^Huber & Höller Steuerberatungs OG$",,,,,,Search-derived 3000 headcount was an unrelated false match,1
DOWN_HUBER_ROSENTHAL,DOWNGRADE_UNRESOLVED,"(?i)^Huber & Rosenthal Steuerberatung KG$",,,,,,Search-derived 3000 headcount was an unrelated false match,1
