group_key,group_name,domain,websites,cities,legal_entities_count,locations_count,member_entities,prior_status,prior_confidence,prior_employee_low,prior_employee_high,prior_reason,prior_source_urls,wko_firmaids,wko_phones,wko_emails,old_evidence_snippet,agent_verdict,agent_employee_low,agent_employee_high,agent_count_scope,agent_confidence,agent_research_summary,agent_source_urls,agent_source_facts,agent_review_note,agent_researcher_consensus,accounting_relevance
wko:G2421,Adex.Team,adexteam.com,https://www.adexteam.com/,Munderfing,1,,ADVANCED EXPERT TEAM GmbH,CONFIRMED_30_PLUS,HIGH,2024,2024,explicit employee signal 2024,https://www.adexteam.com/ | https://www.adexteam.com/newsletter-archiv/ | https://www.adexteam.com/kontakt/ | https://www.adexteam.com/kanzlei/ | https://www.adexteam.com/buchhaltung/ | https://www.adexteam.com/personalverrechnung/ | https://www.adexteam.com/jahresabschluss/,d9bec96e-a77f-4d80-afb1-06a27c90f55a,+43%207744%2021021 | +43%20660%20563%2015%2077,,"Advanced Expert Team - Adex.Team +43 7744 21 0 21 *protected email* Newsletter Archiv Kontakt Kanzlei Buchhaltung Personalverrechnung Jahresabschluss Beratung Seite wählen Kanzlei für Bilanzbuchhaltung, Personalverrechnung & Unternehmensberatung Präzise Zahlen. Klare Prozesse. Starke Beratung. Herzlich willkommen bei Adex.Team – Ihrer Kanzlei für professionelle Bilanzbuchhaltung, zuverlässige Personalverrechnung und praxisorientierte Unternehmensberatung. Wir unterstützen Unternehmen mit strukturierten Abläufen, transparenten Auswertungen und individueller Beratung – rechtssicher, effizient und persönlich. Ob laufende Buchhaltung, Lohnverrechnung oder der Jahresabschluss innerhalb der Wertgrenzen des § 2 BiBuG: Wir schaffen Klarheit in Ihren Zahlen und begleiten Sie mit Strategien, die Ihr",UNRESOLVED,,,UNKNOWN,LOW,"Relevant bookkeeping/accounting firm, but fresh public evidence does not safely prove 20 employees.",https://www.adexteam.com/,No reliable 20+ headcount found.,RELEVANT_ACCOUNTING_FIRM,SINGLE,RELEVANT_ACCOUNTING_FIRM
wko:G1524,Bilanzbuchhaltergesellschaft,hgc.at,http://www.hgc.at/,Villach | Wien,4,,HGC - Hotellerie & Gastronomie Consulting GmbH | HGC Hotellerie & Gastronomie Consulting GmbH | Mag. Manfred Oswald Pfitscher,CONFIRMED_30_PLUS,HIGH,102,102,at least 102 staff profiles/emails on official site; 4 WKO entries share group identifier; 2 career/job links found || no reliable 20+ evidence found; 4 WKO entries share group identifier,https://www.hgc.at/ | https://www.hgc.at/kontakt-standorte/ | https://www.hgc.at/team/ | https://www.hgc.at/karriere/ | https://www.hgc.at/unsere-leistungen/,1dc5f563-e737-4073-9bd0-96faad88da57 | 733692c7-a365-44ab-b78c-e4ffd1b5f1d2 | fbea34af-76f5-4f4c-8d25-50b8d1cc44a5 | 0702ad22-03d2-4563-9aa3-799c8fe2edbd,+43%204242%205%2090%2020 | +43%20664%20800%20844%2016 | 01%20/%20743%2072%2007,villach@hgc.at | manfred.pfitscher@hgc.at,"HGC GROUP | Mitarbeitermanagement für Gastronomie- Hotellerie und Tourismus Quicklinks Startseite Unsere Leistungen Kontakt & Standorte Unser Team Karriere Kundenbereich Entgeltrechner News Services & Downloads Login Seite wählen Gemeinsam voraus. Ganzheitliches Mitarbeiter-Management für bis zu 20% Produktivitätssteigerung. Jetzt Beratungsgespräch vereinbaren Jetzt Beratungsgespräch vereinbaren Tourismus ist unsere Leidenschaft. Was man gerne macht, macht man gut – sagt eine bekannte Redensart. Beim Tourismus-Pionier hgc wird dieses Motto gelebt. Tagtäglich. Seit über 30 Jahren. Alles dreht sich um die Kunden aus Hotellerie sowie Gastronomie – und vor allem um ihre Mitarbeiter: Wie hoch ist der Bedarf an Arbeitskräften? Wie schaut die ideale Gehaltsvereinbarung aus? Wie werden Dienstpläne || HGC GROUP | Mitarbeitermanagement für Gastronomie- Hotellerie und Tourismus Quicklinks Startseite Unsere Leistungen Kontakt & Standorte Unser Team Karriere Kundenbereich Entgeltrechner News Services & Downloads Login Seite wählen Gemeinsam voraus. Ganzheitliches Mitarbeiter-Management für bis zu 20% Produktivitätssteigerung. Jetzt Beratungsgespräch vereinbaren Jetzt Beratungsgespräch vereinbaren Tourismus ist unsere Leidenschaft. Was man gerne macht, macht man gut – sagt eine bekannte Redensart. Beim Tourismus-Pionier hgc wird dieses Motto gelebt. Tagtäglich. Seit über 30 Jahren. Alles dreht sich um die Kunden aus Hotellerie sowie Gastronomie – und vor allem um ihre Mitarbeiter: Wie hoch ist der Bedarf an Arbeitskräften? Wie schaut die ideale Gehaltsvereinbarung aus? Wie werden Dienstpläne || HGC GROUP | Mitarbeitermanagement für Gastronomie- Hotellerie und Tourismus Quicklinks Startseite Unsere Leistungen Kontakt & Standorte Unser Team Karriere Kundenbereich Entgeltrechner News Services & Downloads Login Seite wählen Gemeinsam voraus. Ganzheitliches Mitarbeiter-Management für bis zu 20% Produktivitätssteigerung. Jetzt Beratungsgespräch vereinbaren Jetzt Beratungsgespräch vereinbaren Tourismus ist unsere Leidenschaft. Was man gerne macht, macht man gut – sagt eine bekannte Redensart. Beim Tourismus-Pionier hgc wird dieses Motto gelebt. Tagtäglich. Seit über 30 Jahren. Alles dreht sich um die Kunden aus Hotellerie sowie Gastronomie – und vor allem um ihre Mitarbeiter: Wie hoch ist der Bedarf an Arbeitskräften? Wie schaut die ideale Gehaltsvereinbarung aus? Wie werden Dienstpläne ||  | ",CONFIRMED_30_PLUS,100,,AUSTRIA_LEGAL_ENTITY,HIGH,Official accounting-firm site exposes at least 100 distinct staff profiles/personal domain emails.,https://www.hgc.at/,Official staff lower bound: 100.,RELEVANT_ACCOUNTING_FIRM,SINGLE,RELEVANT_ACCOUNTING_FIRM
wko:G2049,"Bilanzbuchhaltung,Lohnverrechnung,Unternehemensberatung",seckin.at,http://www.seckin.at/,Purkersdorf,1,,"Mag. Seçkin Daşdemir, MBA, MSc",CONFIRMED_30_PLUS,HIGH,30,30,explicit employee signal 30,https://sdconsulting.at/ | https://sdconsulting.at/ueber-uns/,4cd8bcdf-df0f-49bf-8adb-9eede823ac06,+43%20(1)706%2031%2098 | +43%20676%20305%2014%2059,seckin@seckin.at,"SD Consulting GmbH – Buchhaltung Wien Schwechat Zum Inhalt springen Kontakt Über uns Ihre Buchhaltung ist bei uns in guten Händen Über uns Dienstleistungen Unsere erfahrenen und profunden Mitarbeiter unterstützen Sie bei Ihrer Buchhaltung und bei der Firmengründung, damit Ihre Gründung und die zugehörige Buchhaltung kein Stolperstein wird. Unternehmensberatung Unternehmensgründungen, Rechtsformwahl Beratung und Begleitung in gewerberechtlichen Angelegenheiten, Kaufpreisermittlung bei Geschäftsverkäufen, Aufbau und Organisation des betrieblichen Rechnungswesens, Personalkostenermittlung, Arbeits- und Sozialrecht Buchhaltung Erstellung von Bilanzen nach gesetzlichen Vorschriften, Führung der Buchhaltung, Einnahmen -und Ausgabenrechnung, Umsatzsteuervoranmeldungen, Gesamtergebnis der Unterneh",UNRESOLVED,,,UNKNOWN,LOW,"Relevant bookkeeping/accounting firm, but fresh public evidence does not safely prove 20 employees.",https://sdconsulting.at/,No reliable 20+ headcount found.,RELEVANT_ACCOUNTING_FIRM,SINGLE,RELEVANT_ACCOUNTING_FIRM
wko:G3316,"Buchhaltung, Personal, Förderungen, Consulting, Datenschutz",erfolgundmehr.at,https://www.erfolgundmehr.at/,Wien,1,,Erfolg & Mehr Dienstleistungsges.m.b.H.,CONFIRMED_30_PLUS,HIGH,100,100,explicit employee signal 100,https://erfolgundmehr.at/ | https://erfolgundmehr.at/kostenrechnung-fuer-unternehmen/ | https://erfolgundmehr.at/beratung-dsgvo-fuer-unternehmen/ | https://erfolgundmehr.at/gefoerderte-unternehmensberatung/ | https://erfolgundmehr.at/ueber-uns/,b6a4d4b6-558c-4459-b4a6-2666db12311e,+43%201%203894444,dsgvo@erfolgundmehr.at,"Erfolg & Mehr - Ihre Outsourcing Buchhaltung, Personalverrechnung uvm. Erfolg & Mehr – Start Services Buchhaltung Personalverrechnung Kostenrechnung Beratung/DSGVO Geförderte Unternehmensberatung Förderratgeber Über Uns Unser Team Jobs Erfolgs-Blog Erfolgsgeschichten Kontakt Start Services Buchhaltung Personalverrechnung Kostenrechnung Beratung/DSGVO Geförderte Unternehmensberatung Förderratgeber Über Uns Unser Team Jobs Erfolgs-Blog Erfolgsgeschichten Kontakt Anfrage senden Sie verdienen es, wir optimieren es! Wir kümmern uns um die finanziellen Details, damit Sie sich auf das Wesentliche konzentrieren können – Ihr Unternehmen voranbringen und Ihren Erfolg genießen. Persönliche Beratung Optimierte Prozesse Ein Partner für alle Themen Zum Erfolg Gleich anrufen Bewährte Expertise Wir bringe",UNRESOLVED,,,UNKNOWN,LOW,"Relevant bookkeeping/accounting firm, but fresh public evidence does not safely prove 20 employees.",https://erfolgundmehr.at/,No reliable 20+ headcount found.,RELEVANT_ACCOUNTING_FIRM,SINGLE,RELEVANT_ACCOUNTING_FIRM
wko:G2728,"Buchhaltung, Personalverrechnung, Bilanzierung",kanzlei-farsani.at,https://www.kanzlei-farsani.at/,Wien,1,,Bilanzbuchhaltungskanzlei Farsani e.U.,CONFIRMED_20_29,HIGH,21,21,explicit employee signal 21; 1 career/job links found,https://kanzlei-farsani.at/ | https://kanzlei-farsani.at/buchhaltung-einnahmen-ausgaben/ | https://kanzlei-farsani.at/personalverrechnung/ | https://kanzlei-farsani.at/ueber-uns/ | https://kanzlei-farsani.at/kontakt/ | https://kanzlei-farsani.at/termin/,d74303ad-685e-45a1-bdc6-0617af28cf69,067761771787,info@kanzlei-farsani.at,"Bilanzbuchhaltung Farsani – Ihre Expertin für Buchhaltung & Personalverrechnung in Wien Zum Inhalt springen Buchhaltung Personalverrechnung Über uns Kontakt Buchhaltung Personalverrechnung Über uns Kontakt Termin Willkommen bei der Kanzlei Farsani Ihr verlässlicher Partner für Buchhaltung, Personalverrechnung. Mehr erfahren Ihre Buchhaltung. Unser Fokus. Bilanzbuchhaltung Farsani Verlässlichkeit. Transparenz. Effizienz. Als moderne Bilanzbuchhaltungskanzlei begleiten wir Unternehmer:innen, Start-ups und KMUs durch den Dschungel von Zahlen, Gesetzen und Fristen – mit persönlicher Beratung und digitaler Kompetenz. Digital & papierlos Persönliche Betreuung Langjährige Erfahrung Schnelle Reaktionszeiten Rechtssicherheit & Aktualität Fixe Ansprechpartnerin Flexibel & lösungsorientiert Mehrsprac",UNRESOLVED,,,UNKNOWN,LOW,"Relevant bookkeeping/accounting firm, but fresh public evidence does not safely prove 20 employees.",https://kanzlei-farsani.at/,No reliable 20+ headcount found.,RELEVANT_ACCOUNTING_FIRM,SINGLE,RELEVANT_ACCOUNTING_FIRM
wko:G2258,businessrebels,businessrebels.at,https://www.businessrebels.at/,Schlins,1,,ILLTEC GmbH,CONFIRMED_30_PLUS,HIGH,30,30,explicit employee signal 30,https://businessrebels.at/ | https://businessrebels.at/ueber-uns | https://businessrebels.at/insights/florian-hisserich-agile-fuehrung | https://businessrebels.at/insights/startup-into-holacracy-buchvorstellung | https://businessrebels.at/insights/kooperationen-mehrwert-fuer-unternehmen | https://businessrebels.at/insights/vita-aktiva-business-rebels-sichtbarkeit-fuer-gesundheit-vom-einzelkunden-bis-zum-unternehmen | https://businessrebels.at/insights/ccs-carry-clean-swiss-gmbh-wie-wir-gemeinsam-ein-unternehmen-zum-wachsen-bringen,61e7e478-601a-479c-a34d-0fe980684fdd,05524309090,beratung@businessrebels.at,"business rebels - Wir führen dein Business in die Zukunft - businessrebels.at Have any Questions? +01 123 444 555 info@company.com Company Team History Vision Support Anmelden LOGIN Passwort vergessen? DE EN DE PL Menu DE EN DE PL Über Uns Team Projekte Referenz Marketing & Werbung Referenz Beratung Leistungen Gründung & Förderung Finance & Bankfähigkeit Wachstum & Organisation Pakete Startklar Bankfähig 90-Tage Umsetzung Führungskräftecoaching Buchhaltung & Controlling IT- & ERP-System Beratung Marketing & Werbegrafik Personalverrechnung Online Marketing (SEO/SEA/Ads) Academy News Kontakt Support Testimonials Wir führen dein Business in die Zukunft Business Rebels: Dein Partner für maßgeschneiderte Lösungen und Wachstum für Startups und kleine Unternehmen. Klarheit, Effizienz und Nachhalt",UNRESOLVED,,,UNKNOWN,LOW,"Relevant bookkeeping/accounting firm, but fresh public evidence does not safely prove 20 employees.",https://businessrebels.at/,No reliable 20+ headcount found.,RELEVANT_ACCOUNTING_FIRM,SINGLE,RELEVANT_ACCOUNTING_FIRM
wko:G3585,ekspert Österreich GmbH,ekspert.com,https://ekspert.com/,Oberpremstätten,1,,ekspert Österreich GmbH,CONFIRMED_30_PLUS,HIGH,55,55,explicit employee signal 55; 4 career/job links found,https://ekspert.com/de/ | https://ekspert.com/de/ueber-uns/ | https://ekspert.com/de/careers/,5c77efcf-f656-4840-a162-0f71ff8a7c38,,payroll_at@ekspert.com,Ihr Abacus-Ekspert für Payroll-Services - Lohnbuchhaltung Home Kontakt Customer Portal Menu FR DE EN close Services Schweiz Payroll Admin Pack Money Movement ERP Abacus Österreich Payroll Admin Pack Money Movement Deutschland Payroll ERP Abacus Menu News Über uns Careers close Menu FR DE EN close Services Schweiz Payroll Admin Pack Money Movement ERP Abacus Österreich Payroll Admin Pack Money Movement Deutschland Payroll ERP Abacus News Über uns Careers Home Kontakt Customer Portal ekspert - Ihr lokaler Partner für die Lohnverrechnung Schweiz Deutschland Oesterreich Unsere Dienstleistungen Unsere mehrsprachigen und erfahrenen Lohnabrechner übernehmen Ihre Lohn- und Gehaltsabrechnung und stellen Ihnen die Berichte einfach und schnell zur Verfügung Payroll Gehaltsabrechnung Nous assurons le ,UNRESOLVED,,,UNKNOWN,LOW,"Relevant bookkeeping/accounting firm, but fresh public evidence does not safely prove 20 employees.",https://ekspert.com/de/,No reliable 20+ headcount found.,RELEVANT_ACCOUNTING_FIRM,SINGLE,RELEVANT_ACCOUNTING_FIRM
wko:G1712,GEMDAT OÖ GmbH & Co KG,gemdat.at,http://www.gemdat.at/,Linz,1,,GEMDAT OÖ GmbH & Co KG,CONFIRMED_30_PLUS,HIGH,130,130,explicit employee signal 130; 2 career/job links found,https://www.gemdat.at/ | https://www.gemdat.at/news | https://www.gemdat.at/jobs | https://www.gemdat.at/unternehmen/ueber-uns | https://www.gemdat.at/unternehmen/kompetenzbereiche | https://www.gemdat.at/unternehmen/edv_beirat,a7528eea-67b6-4cea-b282-7f1840e2644f,0732/6953-0,office@gemdat.at,Gemdat OÖ Lösungen Bürgerservice k5|Next_Kontakt Mein Amt Hauptmenü Finanzmanagement k5 Finanzmanagement Hauptmenü Dokumentenmanagement EASY Documents Duale Zustellung Hauptmenü Personalverrechnung k5 Lohn Hauptmenü Bauverwaltung k5|Next_Verfahren k5 Verfahren WebOffice Plus VertiGIS FM Hauptmenü Wirtschaftshof k5 Wirtschaftshof Hauptmenü Öffentlichkeitsarbeit GEM2GO Gisdat Kartografie Session Hauptmenü Kindergarten/Schule Kigadu VirtualSchool Hauptmenü IT-Infrastruktur GemCloud IT Security-Services Datenschutz Hauptmenü Meldeamt / Wahlen k5|Next_Einwohner Wahlpaket k5 Gästemeldewesen Hauptmenü Übersicht Lösungen Alle Lösungen Anzeigen Hauptmenü Hauptmenü Gemdat Portal Fernwartung Events & Seminare Seminarkalender Allgemeine Infos Teilnahme- und Stornobedingungen Betriebskantine Physalis H,UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=1, unrelated-sector signals=1).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G0985,Ihr Schatzmeister,mangard.co.at,http://www.mangard.co.at/,Bartholomäberg,1,,Mangard GmbH,CONFIRMED_30_PLUS,HIGH,500,500,explicit employee signal 500; 2 WKO entries share group identifier,http://www.mangard.co.at/ | http://www.mangard.co.at/team.html,63448d3b-0af1-4697-aa7f-9d1f3eb5f852,+4369911329987,office@mangard-buchhaltung.at,"Mangard Bilanzbuchhaltung Willkommen Philosophie Geschäftsmodell Kundennutzen Unser Team Unsere Dienstleistungen Nachhaltigkeit Kundenreferenzen Kontakt office@mangard-beratung.at Kontakt Datenschutz Impressum | Unser Team Dr. Carmen Mangard (Geschäftsführerin) Geboren 1974 Ausbildung Studium der Rechtswissenschaften in Innsbruck Ausbildung zur gewerblichen Bilanzbuchhalterin (mit Auszeichnung) Ausbildung zur geprüften Personalverrechnerin (mit Auszeichnung) Abgeschlossene Land- und forstwirtschaftliche Facharbeiterausbildung (mit Auszeichnung) Sprachen: Englisch Praxis 11 Jahre Tätigkeit bei einer der erfolgreichsten Banken Westösterreichs, der Bank für Tirol und Vorarlberg, Schwerpunkt: Vertrieb und Kreditvergabe, 8 Jahre davon im Managementbereich mit Strategie- und Personalverantwortun",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=3, unrelated-sector signals=2).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G1468,Informatika Consulting &RW GmbH,informatika.at,http://www.informatika.at/,Klagenfurt am Wörthersee,1,,Informatika Consulting &RW GmbH,CONFIRMED_30_PLUS,HIGH,45,45,explicit employee signal 45,https://www.informatika.at/,80500656-d26f-4c17-9779-c2be19f52d58,+43%20463%20593300,office@informatika.at,"Informatika CRW | Unternehmensberatung & BMD Business Software Start BMD Software Beratung Über uns Zur Person Preise Kontakt Zwei Geschäftsbereiche. Ein Ansprechpartner. Informatika Consulting & Rechnungswesen GmbH begleitet Unternehmen im kaufmännischen Zahlenwerk und ist offizieller BMD-Handelspartner für Verkauf, Installation und Schulung. BMD-Handelspartner: Verkauf, Installation, Schulung BMD Business Software Verkauf der Programmlizenzen Installation und Konfiguration Einschulung und laufende Begleitung Makroprogrammierung für individuelle Anpassungen Schulungen in Buchhaltung, Lohnverrechnung, Kostenrechnung, Controlling und Warenwirtschaft mit Kassa. Für andere Bereiche ziehen wir Trainer aus dem Stammhaus bei. Die Konfiguration und Schulung erfolgt über Fernzugriff (TeamViewer) o",UNRESOLVED,,,UNKNOWN,LOW,"Relevant bookkeeping/accounting firm, but fresh public evidence does not safely prove 20 employees.",https://www.informatika.at/,No reliable 20+ headcount found.,RELEVANT_ACCOUNTING_FIRM,SINGLE,RELEVANT_ACCOUNTING_FIRM
