group_key,group_name,domain,websites,cities,legal_entities_count,locations_count,member_entities,prior_status,prior_confidence,prior_employee_low,prior_employee_high,prior_reason,prior_source_urls,wko_firmaids,wko_phones,wko_emails,old_evidence_snippet,agent_verdict,agent_employee_low,agent_employee_high,agent_count_scope,agent_confidence,agent_research_summary,agent_source_urls,agent_source_facts,agent_review_note,agent_researcher_consensus,accounting_relevance
wko:G1712,GEMDAT OÖ GmbH & Co KG,gemdat.at,http://www.gemdat.at/,Linz,1,,GEMDAT OÖ GmbH & Co KG,CONFIRMED_30_PLUS,HIGH,130,130,explicit employee signal 130; 2 career/job links found,https://www.gemdat.at/ | https://www.gemdat.at/news | https://www.gemdat.at/jobs | https://www.gemdat.at/unternehmen/ueber-uns | https://www.gemdat.at/unternehmen/kompetenzbereiche | https://www.gemdat.at/unternehmen/edv_beirat,a7528eea-67b6-4cea-b282-7f1840e2644f,0732/6953-0,office@gemdat.at,Gemdat OÖ Lösungen Bürgerservice k5|Next_Kontakt Mein Amt Hauptmenü Finanzmanagement k5 Finanzmanagement Hauptmenü Dokumentenmanagement EASY Documents Duale Zustellung Hauptmenü Personalverrechnung k5 Lohn Hauptmenü Bauverwaltung k5|Next_Verfahren k5 Verfahren WebOffice Plus VertiGIS FM Hauptmenü Wirtschaftshof k5 Wirtschaftshof Hauptmenü Öffentlichkeitsarbeit GEM2GO Gisdat Kartografie Session Hauptmenü Kindergarten/Schule Kigadu VirtualSchool Hauptmenü IT-Infrastruktur GemCloud IT Security-Services Datenschutz Hauptmenü Meldeamt / Wahlen k5|Next_Einwohner Wahlpaket k5 Gästemeldewesen Hauptmenü Übersicht Lösungen Alle Lösungen Anzeigen Hauptmenü Hauptmenü Gemdat Portal Fernwartung Events & Seminare Seminarkalender Allgemeine Infos Teilnahme- und Stornobedingungen Betriebskantine Physalis H,UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=1, unrelated-sector signals=1).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G0985,Ihr Schatzmeister,mangard.co.at,http://www.mangard.co.at/,Bartholomäberg,1,,Mangard GmbH,CONFIRMED_30_PLUS,HIGH,500,500,explicit employee signal 500; 2 WKO entries share group identifier,http://www.mangard.co.at/ | http://www.mangard.co.at/team.html,63448d3b-0af1-4697-aa7f-9d1f3eb5f852,+4369911329987,office@mangard-buchhaltung.at,"Mangard Bilanzbuchhaltung Willkommen Philosophie Geschäftsmodell Kundennutzen Unser Team Unsere Dienstleistungen Nachhaltigkeit Kundenreferenzen Kontakt office@mangard-beratung.at Kontakt Datenschutz Impressum | Unser Team Dr. Carmen Mangard (Geschäftsführerin) Geboren 1974 Ausbildung Studium der Rechtswissenschaften in Innsbruck Ausbildung zur gewerblichen Bilanzbuchhalterin (mit Auszeichnung) Ausbildung zur geprüften Personalverrechnerin (mit Auszeichnung) Abgeschlossene Land- und forstwirtschaftliche Facharbeiterausbildung (mit Auszeichnung) Sprachen: Englisch Praxis 11 Jahre Tätigkeit bei einer der erfolgreichsten Banken Westösterreichs, der Bank für Tirol und Vorarlberg, Schwerpunkt: Vertrieb und Kreditvergabe, 8 Jahre davon im Managementbereich mit Strategie- und Personalverantwortun",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=3, unrelated-sector signals=2).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G3306,Interim & Transformation - HR - Finance - Governance,iris-karner.at,https://www.iris-karner.at/,Millstatt,1,,Dr. Iris Karner,CONFIRMED_30_PLUS,HIGH,350,350,explicit employee signal 350,https://www.iris-karner.at/,b6626096-ce67-4f1c-9ae9-7f3c5050aa8f,+43%20680%2030%2032%20882,office@iris-karner.at,"Stabilität, wenn es kritisch wird | Dr. Iris Karner Skip to content Dr. Iris Karner Interim & Transition | HR • Finance • Organisation Mehr entdecken Kontakt Stabilität, wenn es kritisch wird Ich verbinde Menschen, Prozesse und Zahlen und schaffe in kritischen Phasen Strukturen, die tragen. Wenn eine Führungsfunktion ausfällt, die Personalkosten aus dem Ruder laufen oder Bank und Steuerberater Fragen stellen, die das Unternehmen nicht vollständig beantworten kann, brauchen Sie keine weitere Analyse. Sie brauchen jemanden, der übernimmt, ordnet und entscheidet. Ich löse Probleme, die andere nur analysieren. Sie holen mich, wenn die Leitung Rechnungswesen oder HR ausgefallen oder freigestellt ist HR und Finance neu aufgestellt werden müssen Personalkosten und das interne Kontrollsystem (IKS)",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=0, unrelated-sector signals=0).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G0384,Jacoby GM Pharma GmbH,jacoby-gm.at,http://www.jacoby-gm.at/,Hallein | Klagenfurt am Wörthersee,2,,Jacoby GM Pharma GmbH,CONFIRMED_30_PLUS,HIGH,480,480,explicit employee signal 480; 3 WKO entries share group identifier; up to 7 locations mentioned; 3 career/job links found || no reliable 20+ evidence found; 3 WKO entries share group identifier,https://www.jacoby-gm.at/ | https://www.jacoby-gm.at/ueber-uns | https://www.jacoby-gm.at/standorte/hallein | https://www.jacoby-gm.at/karriere,13aa4520-8211-45e1-a94e-0d36a665202a | 3d26a600-eaed-427c-bc45-910fe7b39f05,06245%208951%200 | +43%20463%20282%2092%2090,office@jacoby-gm.at | koschutnig.reinhold@jacoby-gm.at,"Start - Jacoby GM Pharma GmbH Navigation überspringen Über uns Standorte Kontakt Karriere Mein-Jacoby Über uns Standorte Kontakt Karriere Mein-Jacoby Gemeinsam erfolgreich in die Zukunft Apotheken Ihr Erfolg ist unsere Priorität Apo Aktiv Services EDV Beratung OTC Seminare / Familienbande Persönliche Beratung Hausapothekenführende Ärzte Umfassende Versorgungssicherheit mit maßgeschneiderten Lösungen Unsere Leistungen Persönliche Beratung Veterinär Jacoby GM Veterinär - prompt, kompetent, innovativ Schnelle und verlässliche Lieferung Jacoby GM Veterinär Portal Bestellblock Persönliche Beratung Ästhetische Medizin Schöne Haut beginnt mit außergewöhnlicher Pflege ALPHASCIENCE B Sand the Swiss BFACE Hyaluronica Persönliche Beratung Industrie Vollsortiment, Full-Service und voller Einsatz Prewh ||  | ",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=0, unrelated-sector signals=4).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G4167,Joh. Offner Verwaltung und Vertrieb Gesellschaft m.b.H.,offner.at,http://www.offner.at/,Wolfsberg,1,,Joh. Offner Verwaltung und Vertrieb Gesellschaft m.b.H.,CONFIRMED_30_PLUS,HIGH,700,700,explicit employee signal 700; 2 career/job links found,https://www.offner.at/ | https://www.offner.at/karriere | https://www.bing.com/ck/a?!&&p=732e0cbb77e244e47b343ddf9be6c46c7b6a916428edb008b3aedf0861ae0b3bJmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=28ef2d53-1306-6ddf-20ee-3a96128d6cb1&u=a1aHR0cHM6Ly93d3cubGlua2VkaW4uY29tL2NvbXBhbnkvam9ocGFydG5lcnM&ntb=1 | https://www.bing.com/ck/a?!&&p=b10e3b125754a7399e8bb9421fe40b16e462b8dc104fda44b88f6777ce66c2e2JmltdHM9MTc4ODA0ODAwMA&ptn=3&ver=2&hsh=4&fclid=28ef2d53-1306-6ddf-20ee-3a96128d6cb1&u=a1aHR0cHM6Ly93d3cubGlua2VkaW4uY29tL2NvbXBhbnkvam9oLXdpbGgtdm9uLWVpY2tlbi1nbWJo&ntb=1,9e2f3a67-9235-4d8e-8087-8670a9fc74eb,+43%20(4352)%202731,office@offner.at,"JOHANN OFFNER › UNTERNEHMENSGRUPPE Skip to main content Menu Start Geschäftsbereiche Geschichte Management Karriere LEHRE BEI OFFNER Start Geschäftsbereiche Geschichte Management Karriere LEHRE BEI OFFNER Search Close Search Tradition seit 1755. Technologie von morgen. Die Johann Offner Unternehmensgruppe steht für Qualität, Verlässlichkeit und Innovationskraft – heute familiengeführt in achter Generation. GESCHÄFTSBEREICHE ANSEHEN UNSERE GESCHICHTE ENTDECKEN Seit 1755 Familienunternehmen aus Österreich 8. Generation Verantwortung über Generationen 700+ Mitarbeiter weltweit 4 Geschäftsbereiche ein gemeinsamer Qualitätsanspruch Unsere Geschäftsbereiche Vier Kompetenzen. Eine verbindende Stärke. Hochwertige Werkzeuge für professionelle Anwendungen weltweit. Learn more Werkzeugindustrie Präzi",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=0, unrelated-sector signals=3).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G2289,LIMBERG GmbH,limberg.at,http://www.limberg.at/,Wien,1,,LIMBERG GmbH,CONFIRMED_30_PLUS,HIGH,50,50,explicit employee signal 50; 2 career/job links found,https://www.limberg.at/ | https://www.limberg.at/ueber-uns/ | https://www.limberg.at/team/ | https://www.limberg.at/karriere/ | https://www.limberg.at/aktuelles/das-limberg-team-feiert-den-sommer/ | https://www.limberg.at/aktuelles/das-limberg-team/,99bc026b-482f-4393-a51b-2f42d2829681,01%2040%2025%20400,office@limberg.at,"Limberg-Gruppe. Alles rund um ihre Immobilie. » Limberg-Gruppe Limberg-Gruppe. Alles rund um ihre Immobilie. Home Über Uns Team Karriere Kontakt Aktuelles Limberg-Gruppe Willkommen bei der Limberg-Gruppe. In der Limberg-Gruppe bieten wir unseren Kunden alle Dienstleistungen rund um Immobilien an. Von der Verwaltung über die Vermittlung und Bewertung bis zur rechtlichen Beratung – für fast jede Immobilienfrage haben wir einen Experten im Haus. Dieser ganzheitliche Ansatz macht viele Synergien nutzbar und bedeutet für unsere Kunden: kurze Wege, effiziente Lösungen und gespartes Geld. Als Familienunternehmen legen wir dabei großen Wert auf eine langfristige Beziehung zu unseren Kunden, handeln entsprechend integer und sind immer bereit die berühmte Extrameile zu gehen. Mehr über uns > Unsere ",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=0, unrelated-sector signals=1).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G0992,Maschinenring Personal eGen,maschinenring.at,https://www.maschinenring.at/ | http://www.maschinenring.at/,Klagenfurt am Wörthersee | Linz,3,,Mario Duschek | Maschinenring Personal und Service eGen | Maschinenring-Service Kärnten eGen,CONFIRMED_30_PLUS,HIGH,5000,5000,explicit employee signal 5000; 3 WKO entries share group identifier; up to 80 locations mentioned; 36 career/job links found || no reliable 20+ evidence found; 3 WKO entries share group identifier,https://www.maschinenring.at/ | https://www.maschinenring.at/jobs | https://www.maschinenring.at/ueber-uns | https://www.maschinenring.at/jobs/freie-stellen | https://www.maschinenring.at/job/cnc-dreher-m-w-d-24575 | https://www.maschinenring.at/job/stahlbau-monteur-in-fuer-strassensicherheit-vollzeitm-w-d-24576 | https://www.maschinenring.at/job/haendische-schneeraeumer-m-w-d-24570,411fe1d9-4a6c-49c2-9416-47c1b255acf1 | 5028fc58-5337-491d-8f6d-2ab611770abe | a69db14d-2768-4cd0-9699-103b820b2b62,+43%2059060%2090210 | +43%2059060%20200 | +43%20664%2060%20507%20772 | +43%20664%2060507777,personal@maschinenring.at | service.kaernten@maschinenring.at | mario.duschek@maschinenring.at,"Dienstleister für Agrar, Forst, Personal und mehr! | Maschinenring - maschinenring.at Header überspringen Ring wählen Jetzt anfragen Dein Ansprechpartner Mit deiner PLZ können wir dir deinen zuständigen Ring und somit deinen Ansprechpartner vor Ort anzeigen. PLZ: Suchbegriffe Suchen Navigation überspringen Leistungen Personaldienstleistungen Jobs Für Landwirte Die Maschinenringe Über uns Aktuelles Publikationen Veranstaltungen Shop Akademie für Landwirte Bauern für Bauern Projekte Maschinenring International Kontakt Ring wählen Jetzt anfragen Dein Ansprechpartner Mit deiner PLZ können wir dir deinen zuständigen Ring und somit deinen Ansprechpartner vor Ort anzeigen. PLZ: Suchbegriffe Suchen Navigation überspringen Leistungen Personaldienstleistungen Jobs Für Landwirte Navigation überspring || Dienstleister für Agrar, Forst, Personal und mehr! | Maschinenring - maschinenring.at Header überspringen Ring wählen Jetzt anfragen Dein Ansprechpartner Mit deiner PLZ können wir dir deinen zuständigen Ring und somit deinen Ansprechpartner vor Ort anzeigen. PLZ: Suchbegriffe Suchen Navigation überspringen Leistungen Personaldienstleistungen Jobs Für Landwirte Die Maschinenringe Über uns Aktuelles Publikationen Veranstaltungen Shop Akademie für Landwirte Bauern für Bauern Projekte Maschinenring International Kontakt Ring wählen Jetzt anfragen Dein Ansprechpartner Mit deiner PLZ können wir dir deinen zuständigen Ring und somit deinen Ansprechpartner vor Ort anzeigen. PLZ: Suchbegriffe Suchen Navigation überspringen Leistungen Personaldienstleistungen Jobs Für Landwirte Navigation überspring ||  | ",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=1, unrelated-sector signals=3).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G3979,Rechnungswesen und BMD Softwarepower,murauer-rechnungswesen.at,https://www.murauer-rechnungswesen.at/,Senftenbach,1,,Murauer GmbH,CONFIRMED_20_PLUS,HIGH,24,24,at least 24 staff profiles/emails on official site; 4 career/job links found,https://murauer-rechnungswesen.at/ | https://murauer-rechnungswesen.at/jahresabschluss-erstellen-lassen/ | https://murauer-rechnungswesen.at/buchhaltungskanzlei/ | https://murauer-rechnungswesen.at/team/ | https://murauer-rechnungswesen.at/karriere/,22795fe5-e524-4455-9f24-767d9db5f311,+43%207751%208082 | +43%20664%204361971,office@murauer-rechnungswesen.at,Murauer Rechnungswesen | zertifizierter BMD Software Partner Zum Inhalt springen BMD Com Fernwartung Rechnungswesen Buchhaltung Lohnverrechnung Kostenrechnung / Controlling Bilanzierung Beratung BMD Software BMD Verkauf Digitale Buchhaltung BMD Schulung BMD Support Fernwartungsservice Buchhaltungssoftware Lohnverrechnungssoftware Rechnungswesensoftware CRM Software Zeiterfassung Software Kostenrechnung Software Controlling Software Kassensystem BMD Warenwirtschaft Unternehmen Team Aktuelles Blog Karriere Kontakt Rechnungswesen Buchhaltung Lohnverrechnung Kostenrechnung / Controlling Bilanzierung Beratung BMD Software BMD Verkauf Digitale Buchhaltung BMD Schulung BMD Support Fernwartungsservice Buchhaltungssoftware Lohnverrechnungssoftware Rechnungswesensoftware CRM Software Zeiterfassung S,UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=1, unrelated-sector signals=0).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G2926,Richter Pharma AG,richter-pharma.com,http://www.richter-pharma.com/,Wels,1,,Richter Pharma AG,CONFIRMED_30_PLUS,HIGH,60,60,explicit employee signal 60; 1 career/job links found,https://www.richter-pharma.com/ | https://www.richter-pharma.com/ueber-uns/werte-vision-mission | https://www.richter-pharma.com/ueber-uns/nachhaltigkeit | https://www.richter-pharma.com/ueber-uns/geschichte-meilensteine | https://www.richter-pharma.com/unternehmensfilm,0737c584-bfa2-401d-b3e1-158031eb05d1,07242/490-0 | 0664/3080134,office@richter-pharma.com,"Versorgt mit Vorsprung | Richter Pharma AG | Richter Pharma AG Zur Suche springen Zum Hauptinhalt springen Login EN Suche Navigation ein- und ausfahren Mensch & Gesundheit Mensch & Gesundheit Ärztliche Hausapotheke Ärztliche Hausapotheke Forbildungen & Seminare Apotheke Vertriebspartner Rezeptfreie Eigenprodukte Kontakt Tiergesundheit Tiergesundheit Tierarztservice Praxisgründung Softwareanbieter Sortiment Herstellerservices Kontakt Über uns Über uns Richter pharma in Zahlen Unsere Geschäftsfelder Werte, Vision & Mission Vorstand & Eigentümer Nachhaltigkeit Geschichte & Meilensteine Presse & Updates Karriere Kontakt Login Suche Suche Versorgt mit Vorsprung Zum Imagevideo Uns liegt die Gesundheit von Mensch & Tier am Herzen. Immer schon! So hat sich im Laufe von vier Jahrhunderten aus einer",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=0, unrelated-sector signals=4).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
wko:G4305,"Sterkl, Schörkhuber & Partner GmbH",sterkl.com,https://www.sterkl.com/,Leonding,1,,"Sterkl, Schörkhuber & Partner GmbH",CONFIRMED_30_PLUS,HIGH,100,100,explicit employee signal 100; 5 career/job links found,https://www.sterkl.com/ | https://www.sterkl.com/unternehmen/impressum_haftung/ | https://www.sterkl.com/unternehmen/ | https://www.sterkl.com/unternehmen/firmenportrait/ | https://www.sterkl.com/unternehmen/qualitaetsmanagement/ | https://www.sterkl.com/unternehmen/entwicklung_ziele/ | https://www.sterkl.com/unternehmen/ansprechpartner/,eca1c292-92dd-43e5-997f-819ce637333b,,office@sterkl.com,"Gutachter, Ziviltechniker, Statiker, Sachverständiger & Bauphysiker - Österreich & international | Sterkl, Schörkhuber & Partner Möchten Sie zur mobilen Version wechseln? Um alle Funktionen nutzen zu können müssen Sie JavaScript aktiviert haben. Bitte ändern Sie ihre Browser-Einstellungen. Springe direkt zum Menü Kanzleimarketing Impressum Mobile Version Suchen Sitemap International Unternehmen Firmenportrait Qualitätsmanagement Entwicklung/Ziele Ansprechpartner Standorte Österreich Standorte International Native Speakers Soziales Engagement Mitgliedschaften Gerichtliche Eintragungen Partnerlinks Kontakt Aktuelles Karriere Online bewerben News Gutachten Schadensbearbeitung Betriebsunterbrechung Immobilienbewertung Bauphysik Forensische Materialuntersuchungen Beweissicherung Risikomanagemen",UNRESOLVED,,,UNKNOWN,HIGH,"Excluded from the accounting supplement: official public site does not establish a primary bookkeeping/accounting/payroll business (service signals=0, unrelated-sector signals=1).",,,NOT_RELEVANT_ACCOUNTING_FIRM,SINGLE,NOT_RELEVANT_ACCOUNTING_FIRM
