canonical_key,company_name,aliases,wko_standort_count,states_seen,firmaids,addresses,website,all_websites,email,phones,profile_url
augum handelsgesellschaft m b h,"""Augum"" Handelsgesellschaft m.b.H.","""Augum"" Handelsgesellschaft m.b.H.",1,wien,617942df-d747-4846-9d9a-99de477f85c6,Dürwaringstraße 65 1180 Wien,,,,,https://firmen.wko.at/%22augum%22-handelsgesellschaft-mbh/wien/?firmaid=617942df-d747-4846-9d9a-99de477f85c6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
die kärntner wohnbau und hausverwaltungsgesellschaft m b h,"""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.","""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.",1,kärnten,12ff5b5a-8740-4bb8-8e23-85715b6c83a9,Moritschstraße 11 9500 Villach,,,kwh@sreal-klagenfurt.at,+43%20463%20588%2084%2008,https://firmen.wko.at/%22die-k%c3%a4rntner%22-wohnbau-und-hausverwaltungsgesellschaft-mbh/k%c3%a4rnten/?firmaid=12ff5b5a-8740-4bb8-8e23-85715b6c83a9&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
eurofina liegenschaftsverwertungs gesellschaft m b h,"""EUROFINA"" Liegenschaftsverwertungs Gesellschaft m.b.H.","""EUROFINA"" Liegenschaftsverwertungs Gesellschaft m.b.H.",1,wien,3808bbf6-de8e-422f-8392-2d97a300ad1b,Josefstädter Straße 43/1/13 1080 Wien,,,eurofina@aon.at,01/403%2012%2000,https://firmen.wko.at/%22eurofina%22-liegenschaftsverwertungs-gesellschaft-mbh/wien/?firmaid=3808bbf6-de8e-422f-8392-2d97a300ad1b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
g1 immobilienbesitz gmbh,"""G1"" Immobilienbesitz GmbH","""G1"" Immobilienbesitz GmbH",1,wien,141e60ff-b302-4428-9552-1895dd8fe657,Rathausstraße 1 1010 Wien,,,,,https://firmen.wko.at/%22g1%22-immobilienbesitz-gmbh/wien/?firmaid=141e60ff-b302-4428-9552-1895dd8fe657&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
hausverwaltung franz dangl gesellschaft m b h,"""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.","""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.",1,wien,4bb67eff-2c49-4cd4-a76f-0eed2ae01bdf,Martinstraße 2 1180 Wien,http://www.franz-dangl-gmbh.at/,http://www.franz-dangl-gmbh.at/,Info@franz-dangl-gmbh.at,01%20403%2037%2096,https://firmen.wko.at/%22hausverwaltung-franz-dangl%22-gesellschaft-mbh/wien/?firmaid=4bb67eff-2c49-4cd4-a76f-0eed2ae01bdf&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
hausverwaltung und realkanzlei sylvia hort e u,"""Hausverwaltung und Realkanzlei Sylvia Hort"" e.U.","""Hausverwaltung und Realkanzlei Sylvia Hort"" e.U.",1,wien,b0957ad9-7519-4b5f-9f20-388582c48412,Döblinger Gürtel 8/11 1190 Wien,,,silvia@hausverwaltung-hort.at,,https://firmen.wko.at/%22hausverwaltung-und-realkanzlei-sylvia-hort%22-eu/wien/?firmaid=b0957ad9-7519-4b5f-9f20-388582c48412&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
idg immobilien dienstleistungs gmbh,"""IDG"" Immobilien Dienstleistungs-GmbH","""IDG"" Immobilien Dienstleistungs-GmbH",1,oberösterreich,68981584-704e-4764-9ec7-08eb81b7227c,Maria Theresiastr. 41 4600 Wels,,,,07242/73325,https://firmen.wko.at/%22idg%22-immobilien-dienstleistungs-gmbh/ober%c3%b6sterreich/?firmaid=68981584-704e-4764-9ec7-08eb81b7227c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
kabelwerk bauträger gmbh,"""kabelwerk"" bauträger gmbh","""kabelwerk"" bauträger gmbh",1,wien,aa7d7438-7feb-4743-89d9-5b61fe0f8482,Helene-Potetz-Weg 7 1120 Wien,,,office@kabelwerk-bautraeger.at,,https://firmen.wko.at/%22kabelwerk%22-bautr%c3%a4ger-gmbh/wien/?firmaid=aa7d7438-7feb-4743-89d9-5b61fe0f8482&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
kontakt handelsgesellschaft m b h,"""Kontakt"" Handelsgesellschaft m.b.H.","""Kontakt"" Handelsgesellschaft m.b.H.",1,wien,51144c17-5b32-48cc-95e0-d1cdd47ef989,Speckbachergasse 11 1160 Wien,http://www.immo-kontakt.at/,http://www.immo-kontakt.at/,office@immo-kontakt.at,+43(0)14851020 | +43(0)6765634028,https://firmen.wko.at/%22kontakt%22-handelsgesellschaft-mbh-%22immo-kontakt%22/wien/?firmaid=51144c17-5b32-48cc-95e0-d1cdd47ef989&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
objektverwaltung 360 liegenschaftsverwertung gmbh,"""Objektverwaltung 360"" Liegenschaftsverwertung GmbH","""Objektverwaltung 360"" Liegenschaftsverwertung GmbH",1,wien,30447dbf-86f9-43cc-b28d-6b438698051a,Hochsatzengasse 34/2 1140 Wien,,,,,https://firmen.wko.at/%22objektverwaltung-360%22-liegenschaftsverwertung-gmbh/wien/?firmaid=30447dbf-86f9-43cc-b28d-6b438698051a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
prinz eugen immobiliengesellschaft m b h,"""Prinz Eugen"" Immobiliengesellschaft m.b.H.","""Prinz Eugen"" Immobiliengesellschaft m.b.H.",1,wien,8c54e788-7d87-405c-a579-fe388cec5f17,Ostmarkgasse 6/4 1210 Wien,,,prinzeugen@utanet.at,,https://firmen.wko.at/%22prinz-eugen%22-immobiliengesellschaft-mbh/wien/?firmaid=8c54e788-7d87-405c-a579-fe388cec5f17&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
