company_name,wko_rows,states,places,karriere_url,karriere_name,karriere_match_score,karriere_emp_min,karriere_emp_max,karriere_employee_evidence,karriere_jobs,karriere_location_hit
PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,3,salzburg; tirol; vorarlberg,5020 Salzburg | 6020 Innsbruck | 6850 Dornbirn,https://www.karriere.at/f/prisma-zentrum-f%C3%BCr-standort-und-regionalentwicklung-salzburg,PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
AHCM Immobilienmanagement KG,1,salzburg,5162 Obertrum am See,https://www.karriere.at/f/zum-immobilienmanagement,ZUM Immobilienmanagement GmbH,90.9,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
Allgemeine Unfallversicherungs- Betriebsgesellschaft m.b.H.(AUVB),2,oberösterreich; salzburg,4020 Linz | 5020 Salzburg,https://www.karriere.at/f/jet-erp-betriebsgesellschaft,JET ERP Betriebsgesellschaft m.b.H.,86.7,31,50,Anzahl der Mitarbeiter*innen 31 - 50,23,True
Alpen Real Immobilien GmbH,2,oberösterreich; salzburg,4400 Steyr | 5020 Salzburg,https://www.karriere.at/f/alpen-real-immobilien,Alpen Real Immobilien GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
Altmann + Partner Immobilientreuhand GmbH,2,salzburg,5751 Maishofen,https://www.karriere.at/f/altmann,Altmann GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,69,False
Andreas Reitsammer,2,salzburg,5081 Anif | 5400 Hallein,https://www.karriere.at/f/kammerer-andreas,Kammerer Andreas,76.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,23,False
Andreas Wetzer Immo-Consulting e.U.,1,salzburg,5162 Obertrum am See,https://www.karriere.at/f/wr-consulting,WR Consulting GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,False
ART Immobilien e.U.,2,salzburg,5020 Salzburg,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,True
Arzböck Immobilien GmbH,1,salzburg,5500 Bischofshofen,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Aschbacher Immobilientreuhänder OG,1,salzburg,5110 Oberndorf bei Salzburg,https://www.karriere.at/f/jt-immobilientreuh%C3%A4nder,JT Immobilientreuhänder GmbH,93.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
benreal Infra GmbH,1,salzburg,5301 Eugendorf,,,,,,,,
Bergmann & Partner GmbH,1,salzburg,5600 St.Johann/Pongau,https://www.karriere.at/f/c-bergmann,C. Bergmann KG,88.9,,,,2,False
Black Point Hausverwaltung GmbH,1,salzburg,5600 St.Johann/Pongau,https://www.karriere.at/f/isw-hausverwaltung,ISW Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
BLP Immobilien GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/pr-immobilien,PR Immobilien GmbH,88.9,,,,0,True
Brummermann & Co. Gesellschaft m.b.H.,1,salzburg,5020 Salzburg,,,,,,,,
Bundesimmobiliengesellschaft m.b.H.,21,kärnten; niederösterreich; oberösterreich; salzburg; steiermark; tirol; vorarlberg; wien,1020 Wien | 1030 Wien | 1040 Wien | 1090 Wien | 1100 Wien | 1170 Wien | 1190 Wien | 1200 Wien | 1210 Wien | 2700 Wiener Neustadt | 3100 St. Pölten | 4020 Linz | 5020 Salzburg | 6020 Innsbruck | 6800 Feldkirch | 8010 Graz | 9020 Klagenfurt am Wörthersee,,,,,,,,
BUWOG - Bauen und Wohnen Gesellschaft mbH,4,kärnten; salzburg; steiermark; wien,1010 Wien | 5020 Salzburg | 8020 Graz | 9500 Villach,https://www.karriere.at/f/bauen-wohnen-wohnbau,Bauen & Wohnen-Wohnbau GmbH,80.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
BUX Hausverwaltung GmbH,1,salzburg,5550 Radstadt,https://www.karriere.at/f/weiss-tessbach-hausverwaltung,Weiss-Tessbach Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,14,False
CE Verwaltungs GmbH,1,salzburg,5162 Obertrum am See,https://www.karriere.at/f/wesiak-haring-verwaltungs-gmbh,Wesiak Wien Verwaltungs GmbH,88.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Christian Heim,1,salzburg,5020 Salzburg,https://www.karriere.at/f/christian-dierig-gmbh,Christian Dierig GmbH,80.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,5,True
Claudia Maier,1,salzburg,5113 Sankt Georgen bei Salzburg,https://www.karriere.at/f/maier,Maier GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,5,False
Daniela Ebner,1,salzburg,5023 Salzburg,https://www.karriere.at/f/mag-iur-daniela-wachsmann,Immobilienverwaltung Mag. Daniela Wachsmann,70.0,,,,0,True
Danninger Transport GmbH,1,salzburg,5411 Oberalm,,,,,,,,
Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/dr-gerlich-hausverwaltung-und-facility-management,Dr.Gerlich & Co Hausverwaltung und Facility-Management GmbH,100.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,True
Ebster Betriebsimmobilien Service GmbH,1,salzburg,5302 Henndorf am Wallersee,https://www.karriere.at/f/oe-service,OE Service GmbH,82.4,11,30,Anzahl der Mitarbeiter*innen 11 - 30,23,False
EL Immobilienverwaltung GmbH,1,salzburg,5600 St.Johann/Pongau,https://www.karriere.at/f/res-immobilienverwaltung,RES Immobilienverwaltung,93.6,,,,2,False
"Elisabeth Anna Drack, M.B.A.",1,salzburg,5620 Schwarzach im Pongau,,,,,,,,
EUREAL Realitäten-Gesellschaft m.b.H.,1,salzburg,5020 Salzburg,https://www.karriere.at/f/woge-realit%C3%A4ten,Woge Realitäten Gesellschaft m.b.H.,92.1,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
F & S Real Estate Solutions GmbH,4,niederösterreich; salzburg; wien,1110 Wien | 2401 Fischamend | 3382 Loosdorf | 5204 Straßwalchen,https://www.karriere.at/f/solutions,Solutions,100.0,,,,14,True
