company_name,website,domain,http_status,pages_crawled,employee_best_numeric_mention,employee_evidence_contexts,mentions_count
"""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.",http://www.franz-dangl-gmbh.at/,franz-dangl-gmbh.at,200,https://franz-dangl-gmbh.at/,,,0
"""Kontakt"" Handelsgesellschaft m.b.H.",http://www.immo-kontakt.at/,immo-kontakt.at,ERR,,,,0
"""PRISMA"" Zentrum für Standort- und Stadtentwicklung GmbH",http://www.prisma-zentrum.com/,prisma-zentrum.com,200,https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/unternehmen | https://www.prisma-zentrum.com/unternehmen/zukunftorten-1 | https://www.prisma-zentrum.com/unternehmen/taetigkeitsfelder | https://www.prisma-zentrum.com/unternehmen/taetigkeitsfelder/quartiersentwicklung | https://www.prisma-zentrum.com/unternehmen/taetigkeitsfelder/impuls-und-technologiezentren,,,0
"""Trend"" Bauträger GesmbH",http://www.trend-bt.at/,trend-bt.at,200,http://www.trend-bt.at/,,,0
A & K FALLY Immobilienbesitz & Verwaltung GmbH,http://www.fally.co.at/,fally.co.at,200,http://www.fally.co.at/,,,0
A-Quadrat Immobilien GmbH,http://www.a2-immo.at/,a2-immo.at,ERR,,,,0
A1REAL GmbH,http://www.a1real.at/,a1real.at,200,https://www.a1real.at:443/,,,0
AI Immobilienverwertung GmbH.,http://www.apk.at/aiig,apk.at,200,https://www.apk.at/aiig,,,0
Alfred Herbert Fritz,http://www.fritz-immobilien.at/,fritz-immobilien.at,200,https://www.fritz-immobilien.at/,,,0
Alfred Xaver Kiesling,http://www.kiesling-immobilien.at/,kiesling-immobilien.at,200,https://www.kiesling.immo/,,,0
Altmann + Partner Immobilientreuhand GmbH,http://www.altmann-partner.at/,altmann-partner.at,200,https://www.altmann-partner.at/de/ | https://www.altmann-partner.at/de/team,,,0
Ambacher Real Estate GmbH,http://www.ambacher.net/,ambacher.net,,,,,0
AMLAK Liegenschaftsgesellschaft m.b.H.,https://www.amlak.at/,amlak.at,200,https://www.amlak.at/ | https://www.amlak.at/,,,0
AMOS-TIK Handelsgesellschaft m.b.H.,http://www.amostik.at/,amostik.at,ERR,,,,0
Angelika Dengel-Holzer,http://www.ihremaklerin.net/,ihremaklerin.net,200,https://www.ihremaklerin.net/,,,0
