company_name,wko_rows,wko_profile_url,http_status,employee_best_numeric_mention,employee_mention_kinds,employee_evidence_contexts,mentions_count,profile_text_len,error
"""Augum"" Handelsgesellschaft m.b.H.",1,https://firmen.wko.at/%22augum%22-handelsgesellschaft-mbh/wien/?firmaid=617942df-d747-4846-9d9a-99de477f85c6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.",1,https://firmen.wko.at/%22die-k%c3%a4rntner%22-wohnbau-und-hausverwaltungsgesellschaft-mbh/k%c3%a4rnten/?firmaid=12ff5b5a-8740-4bb8-8e23-85715b6c83a9&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""EUROFINA"" Liegenschaftsverwertungs Gesellschaft m.b.H.",1,https://firmen.wko.at/%22eurofina%22-liegenschaftsverwertungs-gesellschaft-mbh/wien/?firmaid=3808bbf6-de8e-422f-8392-2d97a300ad1b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""G1"" Immobilienbesitz GmbH",1,https://firmen.wko.at/%22g1%22-immobilienbesitz-gmbh/wien/?firmaid=141e60ff-b302-4428-9552-1895dd8fe657&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.",1,https://firmen.wko.at/%22hausverwaltung-franz-dangl%22-gesellschaft-mbh/wien/?firmaid=4bb67eff-2c49-4cd4-a76f-0eed2ae01bdf&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""Hausverwaltung und Realkanzlei Sylvia Hort"" e.U.",1,https://firmen.wko.at/%22hausverwaltung-und-realkanzlei-sylvia-hort%22-eu/wien/?firmaid=b0957ad9-7519-4b5f-9f20-388582c48412&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""IDG"" Immobilien Dienstleistungs-GmbH",1,https://firmen.wko.at/%22idg%22-immobilien-dienstleistungs-gmbh/ober%c3%b6sterreich/?firmaid=68981584-704e-4764-9ec7-08eb81b7227c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""kabelwerk"" bauträger gmbh",1,https://firmen.wko.at/%22kabelwerk%22-bautr%c3%a4ger-gmbh/wien/?firmaid=aa7d7438-7feb-4743-89d9-5b61fe0f8482&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""Kontakt"" Handelsgesellschaft m.b.H.",1,https://firmen.wko.at/%22kontakt%22-handelsgesellschaft-mbh-%22immo-kontakt%22/wien/?firmaid=51144c17-5b32-48cc-95e0-d1cdd47ef989&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"""Objektverwaltung 360"" Liegenschaftsverwertung GmbH",1,https://firmen.wko.at/%22objektverwaltung-360%22-liegenschaftsverwertung-gmbh/wien/?firmaid=30447dbf-86f9-43cc-b28d-6b438698051a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
