no	company_name	in_manual	in_recall	strict_class	standort_count	states_seen	website	recall_priority	recall_score	recall_reason
1	WAG Wohnungsanlagen Gesellschaft m.b.H.	no	yes	U_NOT_PROVEN	7	Oberösterreich | Salzburg | Steiermark | Wien	http://www.wag.at/	P1	17	7 WKO Standorte; multi-Bundesland; official website; scale/management keyword; group/enterprise signal
2	SES Center Management GmbH	yes	yes	A_TARGET_30_PLUS	8	kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | wien		P1	15	8 WKO Standorte; multi-Bundesland; scale/management keyword; group/enterprise signal
3	ÖBB-Immobilienmanagement Gesellschaft mbH	no	yes	U_NOT_PROVEN	8	Kärnten | Niederösterreich | Oberösterreich | Salzburg | Steiermark | Tirol | Wien		P1	15	8 WKO Standorte; multi-Bundesland; scale/management keyword; group/enterprise signal
4	Bundesimmobiliengesellschaft m.b.H.	yes	yes	B_LIKELY_30_PLUS_GROUP	21	kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | vorarlberg | wien	http://www.big.at/	P1	14	21 WKO Standorte; multi-Bundesland; official website; group/enterprise signal
5	Frieda Rustler Gebäudeverwaltung GmbH & Co KG	yes	yes	B_LIKELY_30_PLUS_GROUP	6	kärnten | oberösterreich | salzburg | steiermark | tirol | wien	http://www.rustler.eu/	P1	14	6 WKO Standorte; multi-Bundesland; official website; scale/management keyword
6	IMMOcontract Real Estate Management GmbH	yes	yes	B_LIKELY_30_PLUS_GROUP	6	kärnten | niederösterreich | oberösterreich | steiermark | wien	http://www.donath.at/	P1	14	6 WKO Standorte; multi-Bundesland; official website; scale/management keyword
7	BUWOG - Bauen und Wohnen Gesellschaft mbH	no	yes	U_NOT_PROVEN	4	Kärnten | Salzburg | Steiermark | Wien	http://www.buwog.at/	P1	13	4 WKO Standorte; multi-Bundesland; official website; group/enterprise signal
8	PRISMA Zentrum für Standort- und Regionalentwicklung GmbH	no	yes	U_NOT_PROVEN	3	Salzburg | Tirol | Vorarlberg	https://www.prisma-zentrum.com/	P1	13	3 WKO Standorte; multi-Bundesland; official website; group/enterprise signal
9	Immo-Pro Immobilien GmbH	no	yes	U_NOT_PROVEN	7	Kärnten | Salzburg | Steiermark | Tirol | Wien	http://www.immopro.at/	P1	12	7 WKO Standorte; multi-Bundesland; official website
10	IMV Immobilien Management GmbH	yes	yes	A_TARGET_30_PLUS	4	niederösterreich | steiermark | wien	http://www.imv.co.at/	P1	12	4 WKO Standorte; multi-Bundesland; official website; scale/management keyword
11	WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.	no	yes	U_NOT_PROVEN	4	Niederösterreich | Oberösterreich | Wien	https://wevig.at/	P1	12	4 WKO Standorte; multi-Bundesland; official website; scale/management keyword
