company_name,agent_class,group_key,states_seen,wko_standort_count,website,size_class_strict_v2,decision_reason,agent_evidence_url,confidence
Apleona Real Estate AT GmbH,A_CORE_30_PLUS_DIRECT,Apleona Real Estate AT GmbH,wien,1,https://www.realestate.apleona.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
AREALIS Liegenschaftsmanagement GmbH,A_CORE_30_PLUS_DIRECT,AREALIS Liegenschaftsmanagement GmbH,wien,1,http://www.arealis.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
AREV Immobilien Gesellschaft m.b.H.,A_CORE_30_PLUS_DIRECT,AREV Immobilien Gesellschaft m.b.H.,oberösterreich,3,http://www.arev.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
Brichard Immobilien GmbH,A_CORE_30_PLUS_DIRECT,Brichard Immobilien GmbH,wien,1,http://www.brichard.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
GWS Bau- und Verwaltungsgesellschaft m.b.H.,A_CORE_30_PLUS_DIRECT,GWS Bau- und Verwaltungsgesellschaft m.b.H.,steiermark,1,http://www.gws-exklusiv.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
HÖS Heimat Österreich Service GesmbH,A_CORE_30_PLUS_DIRECT,HÖS Heimat Österreich Service GesmbH,salzburg,1,,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
IG Immobilien Management GmbH,A_CORE_30_PLUS_DIRECT,IG Immobilien Management GmbH,wien,1,http://www.ig-immobilien.com/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,A_CORE_30_PLUS_DIRECT,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,wien,1,,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
Immobilienverwaltung Mag. Alois Rosenberger GmbH,A_CORE_30_PLUS_DIRECT,Immobilienverwaltung Mag. Alois Rosenberger GmbH,wien,1,https://www.iv-ro.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
IMMOTOTAL Immobilientreuhand GmbH,A_CORE_30_PLUS_DIRECT,IMMOTOTAL Immobilientreuhand GmbH,niederösterreich | wien,3,http://www.immototal.at/,A_TARGET_30_PLUS,baseline strict signal retained unless agent override,,medium
IMV Immobilien Management GmbH,A_CORE_30_PLUS_DIRECT,IMV Immobilien Management GmbH,niederösterreich | steiermark | wien,4,http://www.imv.co.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
International Campus Austria GmbH,A_CORE_30_PLUS_DIRECT,International Campus Austria GmbH,wien,1,,A_TARGET_30_PLUS,baseline strict signal retained unless agent override,,medium
KAPPACHER-SELINA Hausverwaltung GmbH,A_CORE_30_PLUS_DIRECT,SELINA/Kappacher group,salzburg,1,https://www.kappacher-selina.at/,A_TARGET_30_PLUS,31-50 direct employer evidence; primary legal target in SELINA group,,high
PMV Immobilien Management GmbH,A_CORE_30_PLUS_DIRECT,PMV Immobilien Management GmbH,kärnten | niederösterreich | wien,4,,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
Salzburg Wohnbau GmbH,A_CORE_30_PLUS_DIRECT,Salzburg Wohnbau GmbH,salzburg,1,http://www.salzburg-wohnbau.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
