company_name	website	standort_count	states_seen	name_signals
"Hausverwaltung und Realkanzlei Sylvia Hort" e.U.		1	wien	hausverwaltung
ADJOKAT Hausverwaltungs GmbH		1	wien	hausverwaltung
Aedis Hausverwaltung GmbH		1	wien	hausverwaltung
Aigner Hausverwaltung GmbH		1	oberösterreich	hausverwaltung
Alfons Metzger Hausverwaltung Immobilien Management GmbH		1	wien	hausverwaltung
Alwog-Allgemeine Wohnbaugesellschaft m.b.H.		1	steiermark	wohnbau
AREAL Liegenschaftsverwaltungs GmbH		1	oberösterreich	liegenschaftsverwaltung
AundP Hausverwaltung GmbH		1	kärnten	hausverwaltung
AUREA Hausverwaltung KG	http://www.aurea-hausverwaltung.at/	2	niederösterreich | wien	hausverwaltung
AV Hausverwaltung GmbH		1	wien	hausverwaltung
B.I.V. Hausverwaltung GmbH		1	wien	hausverwaltung
Banner Hausverwaltung e.U.		1	niederösterreich	hausverwaltung
BavariaReal Hausverwaltung GmbH		1	tirol	hausverwaltung
Black Point Hausverwaltung GmbH		1	salzburg	hausverwaltung
BLV Liegenschaftsverwaltung GmbH		1	oberösterreich	liegenschaftsverwaltung
Broesigke Hausverwaltung GmbH		1	wien	hausverwaltung
buildings4future Hausverwaltung GmbH		1	wien	hausverwaltung
BUX Hausverwaltung GmbH	https://www.bux-hausverwaltung.at/	1	salzburg	hausverwaltung
BWF Wohnbau GmbH		1	kärnten	wohnbau
Capellmann Hausverwaltungs-GmbH		1	wien	hausverwaltung
CONDUCTA Hausverwaltung GmbH		1	wien	hausverwaltung
CONTEC Hausverwaltung GmbH		1	wien	hausverwaltung
Daniel Hausverwaltung GmbH		1	kärnten	hausverwaltung
DIM Hausverwaltung GmbH		1	kärnten	hausverwaltung
Dr. Kohler und Partner Hausverwaltungs GmbH		1	wien	hausverwaltung
Dr. Roell Hausverwaltungs-, Baubetreuungs- und Realitätengesellschaft m.b.H.	http://www.roell.at/	1	wien	hausverwaltung
Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH		1	salzburg	hausverwaltung
dsg Hausverwaltung GmbH		1	wien	hausverwaltung
DWM Hausverwaltung GmbH		1	wien	hausverwaltung
Dörfler Hausverwaltung GmbH	http://www.doerfler-immobilien.at/	1	kärnten	hausverwaltung
EIV Hausverwaltungs GmbH		1	oberösterreich	hausverwaltung
f-hausverwaltung GmbH		1	oberösterreich	hausverwaltung
Fellmann Liegenschaftsverwaltungs GmbH	http://www.fellmann.at/	1	niederösterreich	liegenschaftsverwaltung
Glan Real und Hausverwaltung Ges.m.b.H.		1	kärnten	hausverwaltung
H & R Wohnbau GmbH		1	tirol	wohnbau
HAGA Wohnbau GmbH		1	tirol	wohnbau
