no	company_name	strict_class	standort_count	states_seen	website	karriere_exact	karriere_min	karriere_max	direct31	group31	borderline	adjacent_hint	strict_evidence_short
1	APCOA Austria GmbH	A_TARGET_30_PLUS	1	wien	http://www.apcoa.at/	yes	101	500	1	1	0	yes	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/apcoa-parking-austria|exact normalized legal-name match || GROUP|official website|5000|5000|https://www.apcoa.at/karriere|fältig wie die Welt des Parkens. Ob Parking, Charging, Technology oder Urban Solutions: Bei APCOA findet jeder seinen Platz. Als Europas Mobilitätsdienstleister Nr. 1 bew
2	Apleona Real Estate AT GmbH	A_TARGET_30_PLUS	1	wien	https://www.realestate.apleona.at/	yes	501		1	0	0	no	DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/apleona-real-estate-at|exact normalized legal-name match
3	AREALIS Liegenschaftsmanagement GmbH	A_TARGET_30_PLUS	1	wien	http://www.arealis.at/	yes	101	500	1	0	0	no	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/arealis-liegenschaftsmanagement|exact normalized legal-name match
4	AREV Immobilien Gesellschaft m.b.H.	A_TARGET_30_PLUS	3	oberösterreich	http://www.arev.at/	no			1	0	0	no	DIRECT|official website|70|70|https://www.arev.at/aktuell/langjaehrige-mitarbeiter-innen-wurden-geehrt|m Innkreis zusammen, um im Restaurant Alexandra exklusiv und ausgiebig Weihnachten zu feiern. Die AREV ist stolz darauf, so viele langjährige Mitarbeiter:innen in ihren Reihen zu haben! Von 70 Mitarbeiter:innen durften wir alleine in 2025 zwölf Kolleg:innen
5	at home FM Services GmbH	A_TARGET_30_PLUS	1	wien		yes	31	50	1	0	0	no	DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/at-home-fm-services|exact normalized legal-name match
6	BOE Gebäudemanagement Gesellschaft m.b.H.	A_TARGET_30_PLUS	2	tirol | wien	http://www.boe-parking.at/	yes	101	500	1	0	0	yes	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/boe-geb%C3%A4udemanagement|exact normalized legal-name match
7	Brichard Immobilien GmbH	A_TARGET_30_PLUS	1	wien	http://www.brichard.at/	no			1	0	0	no	DIRECT|official website|49|49|https://www.brichard.at/ueber-uns/team/|es Wettbewerbs „Great Place to Work“ werden jährlich die jeweils besten Arbeitgeber eines Landes ausgezeichnet. Brichard Immobilien wurde bereits 2013, in der Kategorie Kleinunternehmen (20-49 Mitarbeiter), als erstes Immobilienunternehmen Wiens, für seine Leistungen im Bereich Personal au
8	CBRE GmbH	A_TARGET_30_PLUS	1	wien	http://www.cbre.at/	no			1	1	0	no	DIRECT|official website|90|90|https://www.cbre.at/ueber-uns|Entscheidungen bis hin zur Neugestaltung der Räume von morgen – wir entfalten unser Potenzial in komplexen und sich ständig verändernden Umgebungen. 600 Niederlassungen 100+ Länder 155.000 Mitarbeiter:innen 90+ Fortune 100-Kund:innen Mit umfassender Marktkenntnissen , erstklassigen Daten und eigener
9	Erste Group Immorent GmbH	A_TARGET_30_PLUS	1	wien	https://www.erstegroupimmorent.com/	yes	101	500	1	0	0	no	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/erste-group-immorent|exact normalized legal-name match
10	GBG Gebäude- und Baumanagement Graz GmbH	A_TARGET_30_PLUS	1	steiermark	http://www.gbg.graz.at/	yes	11	30	1	0	1	no	DIRECT|official website|490|490|https://www.gbg.graz.at/cms/ziel/9344104/DE/|Baumanagement Graz GmbH ist ein Unternehmen der Stadt Graz. Wir bewirtschaften die Immobilien der Stadt Graz und ihrer Unternehmen auf insgesamt 404.000 Quadratmeter bebauter Fläche. Unsere rund 490 Mitarbeiter:innen sind für die Planung, Errichtung, Instandhaltung und Reinigung die
11	GWS Bau- und Verwaltungsgesellschaft m.b.H.	A_TARGET_30_PLUS	1	steiermark	http://www.gws-exklusiv.at/	no			1	0	0	no	DIRECT|official website|90|90|https://www.gws-wohnen.at/gws/zahlen-fakten-daten/|m in allen Abteilungen der GWS macht den Erfolg aus – und spürbar für alle Bewohnerinnen und Bewohner. Kompetenz, Einsatzfreude und Loyalität ermöglichen das Service und den Erfolg der GWS: Rund 90 Mitarbeiterinnen und Mitarbeiter machen unser Team aus, das direkt in der Betreuu
12	HÖS Heimat Österreich Service GesmbH	A_TARGET_30_PLUS	1	salzburg		yes	31	50	1	0	0	no	DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/h%C3%B6s-heimat-%C3%B6sterreich-service|exact normalized legal-name match
13	IG Immobilien Management GmbH	A_TARGET_30_PLUS	1	wien	http://www.ig-immobilien.com/	yes	51	100	1	1	0	no	DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/ig-immobilien-management|exact normalized legal-name match || GROUP|official website|130|130|https://www.ig-immobilien.com/ueber-uns/das-unternehmen|d 1,1 Milliarden Euro Asset-Klassen: Büroobjekte, Logistikimmobilien, zwei innerstädtische Einkaufszentren, hochwertige Wohnungen, attraktive Ge
14	Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.	A_TARGET_30_PLUS	1	wien		yes	31	50	1	0	0	no	DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/immobilienkanzlei-mag-wolf-dietrich-schneeweiss|exact normalized legal-name match
15	Immobilienverwaltung Mag. Alois Rosenberger GmbH	A_TARGET_30_PLUS	1	wien	https://www.iv-ro.at/	no			1	0	0	no	DIRECT|official website|40|40|https://iv-ro.at/unternehmen/|auigkeit, Unabhängigkeit, Transparenz, Dokumentation unseres Handelns und Freundlichkeit. Eigentümergeführtes Unternehmen Mehr als 90 Jahre Erfahrung Tochterfirmen Zentreal und Ginschl GmbH Über 40 MitarbeiterInnen Unser Team Wir sind immer für Sie zur Stelle! Als eigentümergeführtes Unternehmen mit
16	IMMOTOTAL Immobilientreuhand GmbH	A_TARGET_30_PLUS	3	niederösterreich | wien	http://www.immototal.at/	no			1	0	0	no	DIRECT|official website|100|100|https://www.immototal.at/unternehmen-ueber-uns/|höchstes Bestreben. „Klasse“ statt „Masse“: Individuelle, persönliche Betreuung, durch einen zielgruppenorientierten und bewusst selektiv gehaltenen Objektstock. Dadurch kann der betreuende Mitarbeiter 100% Fokus auf Ihre Immobilie legen. Ihr wertvolles Objekt geht nicht „in der 
17	IMV Immobilien Management GmbH	A_TARGET_30_PLUS	4	niederösterreich | steiermark | wien	http://www.imv.co.at/	yes	101	500	1	0	0	no	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/imv-immobilien-management|exact normalized legal-name match
18	International Campus Austria GmbH	A_TARGET_30_PLUS	1	wien		yes	101	500	1	0	0	no	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/international-campus-austria|exact normalized legal-name match
19	KAPPACHER-SELINA Hausverwaltung GmbH	A_TARGET_30_PLUS	1	salzburg	https://www.kappacher-selina.at/	yes	31	50	1	0	0	no	DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/kappacher-selina-hausverwaltung-gmbh|exact normalized legal-name match
20	Marktgemeinde Perchtoldsdorf	A_TARGET_30_PLUS	1	niederösterreich	http://www.perchtoldsdorf.at/	yes	101	500	1	0	0	yes	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/marktgemeinde-perchtoldsdorf|exact normalized legal-name match
21	McArthurGlen Management Gesellschaft m.b.H.	A_TARGET_30_PLUS	2	burgenland | salzburg		yes	31	50	1	0	0	no	DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/mcarthurglen-management-parndorf|exact normalized legal-name match
22	Plansee Group Functions Austria GmbH	A_TARGET_30_PLUS	1	tirol	https://plansee-group.com/de	yes	501		1	1	0	no	DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/plansee-group-service|exact normalized legal-name match || GROUP|official website|11120|11120|https://plansee-group.com/de/unternehmen/ueber-uns|ützen die Unternehmensbereiche Plansee und Ceratizit mit zentralen Services in den Bereichen HR, IT, Einkauf, Controlling, Finanzen sowie weiteren Gru
23	PMV Immobilien Management GmbH	A_TARGET_30_PLUS	4	kärnten | niederösterreich | wien		yes	101	500	1	0	0	no	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/pmv-immobilien-management|exact normalized legal-name match
24	Porsche Immobilien Gesellschaft m.b.H.	A_TARGET_30_PLUS	1	salzburg		yes	51	100	1	0	0	no	DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/porsche-immobilien|exact normalized legal-name match
25	REIWAG Facility Services GmbH	A_TARGET_30_PLUS	1	wien	http://www.reiwag.com/	yes	501		1	1	0	yes	DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/reiwag-facility-services|exact normalized legal-name match || GROUP|official website|3500|3500|https://www.reiwag.com/|aubere Arbeit Gebäudereinigung Bleiben Sie gesund Raum- und Oberflächendesinfektion Alles unter Kontrolle Technisches Facility Management Interessiert? Jetzt anfragen! REIWAG G
