canonical_key,company_name,aliases,wko_standort_count,states_seen,firmaids,addresses,website,all_websites,email,phones,profile_url,size_class_strict,size_reason_strict,adjacent_non_core_hint,karriere_exact_match,karriere_url,karriere_emp_min,karriere_emp_max,website_valid_mentions,wko_valid_mentions,direct_31plus_sources,group_31plus_sources,borderline_sources,strict_evidence,manual_review_required,size_class_strict_v2,size_reason_strict_v2,direct_31plus_sources_v2,group_31plus_sources_v2,borderline_sources_v2,strict_evidence_v2,agent_class,group_key,scope,decision_reason,agent_evidence_url,confidence,sales_include,process_sales_include,process_fit_class,process_fit_reason
apleona real estate at gmbh,Apleona Real Estate AT GmbH,Apleona Real Estate AT GmbH,1,wien,0c7fae37-ce34-4376-be1a-e8458a034c13,Bauernmarkt 12 1010 Wien,https://www.realestate.apleona.at/,https://www.realestate.apleona.at/,office.realestate.at@apleona.com,,https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/apleona-real-estate-at,501,,,,1,0,0,DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/apleona-real-estate-at|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/apleona-real-estate-at|exact normalized legal-name match,A_CORE_30_PLUS_DIRECT,Apleona Real Estate AT GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
arealis liegenschaftsmanagement gmbh,AREALIS Liegenschaftsmanagement GmbH,AREALIS Liegenschaftsmanagement GmbH,1,wien,bb57aedf-9e61-488c-90ec-341d932136ae,Aspernbrückengasse 2 1020 Wien,http://www.arealis.at/,http://www.arealis.at/,office@arealis.at,+43%2001%20217180,https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/arealis-liegenschaftsmanagement,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/arealis-liegenschaftsmanagement|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/arealis-liegenschaftsmanagement|exact normalized legal-name match,A_CORE_30_PLUS_DIRECT,AREALIS Liegenschaftsmanagement GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
arev immobilien gesellschaft m b h,AREV Immobilien Gesellschaft m.b.H.,AREV Immobilien Gesellschaft m.b.H.,3,oberösterreich,c161f677-5e7a-4720-945d-e4475d198301 | cc63d200-453c-476c-a7d8-0f3c5ce2c867 | deed6f65-3a17-4e2c-8f7e-d9e81b0d83c8,Bahnhofplatz 2 4600 Wels | Europaplatz 4 4020 Linz | Hannesgrub Süd 6 4911 Tumeltsham,http://www.arev.at/,http://www.arev.at/,office.ried@arev.at,07752%2085%2088%2050%20,https://firmen.wko.at/arev-immobilien-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=c161f677-5e7a-4720-945d-e4475d198301&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,no,,,,"70 [exact] https://www.arev.at/aktuell/langjaehrige-mitarbeiter-innen-wurden-geehrt :: m Innkreis zusammen, um im Restaurant Alexandra exklusiv und ausgiebig Weihnachten zu feiern. Die AREV ist stolz darauf, so viele langjährige Mitarbeiter:innen in ihren Reihen zu haben! Von 70 Mitarbeiter:innen durften wir alleine in 2025 zwölf Kolleg:innen ehren für ihre langjährige Tätigkeit bei der AREV: 5 Jahre Teil des Teams sind: Florian Frauenhuber Bianca Graf Jelena Nedic Lukas Radlinger 1",,1,0,0,"DIRECT|official website|70|70|https://www.arev.at/aktuell/langjaehrige-mitarbeiter-innen-wurden-geehrt|m Innkreis zusammen, um im Restaurant Alexandra exklusiv und ausgiebig Weihnachten zu feiern. Die AREV ist stolz darauf, so viele langjährige Mitarbeiter:innen in ihren Reihen zu haben! Von 70 Mitarbeiter:innen durften wir alleine in 2025 zwölf Kolleg:innen ehren für ihre langjährige Tätigkeit bei der AREV: 5 Jahre Teil des Teams sind: Florian Frauenhuber Bianca Graf Jelena Nedic Lukas Radlinger 1",yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,"DIRECT|official website|70|70|https://www.arev.at/aktuell/langjaehrige-mitarbeiter-innen-wurden-geehrt|m Innkreis zusammen, um im Restaurant Alexandra exklusiv und ausgiebig Weihnachten zu feiern. Die AREV ist stolz darauf, so viele langjährige Mitarbeiter:innen in ihren Reihen zu haben! Von 70 Mitarbeiter:innen durften wir alleine in 2025 zwölf Kolleg:innen ehren für ihre langjährige Tätigkeit bei der AREV: 5 Jahre Teil des Teams sind: Florian Frauenhuber Bianca Graf Jelena Nedic Lukas Radlinger 1",A_CORE_30_PLUS_DIRECT,AREV Immobilien Gesellschaft m.b.H.,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
at home fm services gmbh,at home FM Services GmbH,at home FM Services GmbH,1,wien,1b4d9f0a-4662-4913-8875-01224abd1df4,Hernalser Gürtel 1 1170 Wien,,,,,https://firmen.wko.at/at-home-fm-services-gmbh/wien/?firmaid=1b4d9f0a-4662-4913-8875-01224abd1df4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/at-home-fm-services,31,50,,,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/at-home-fm-services|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/at-home-fm-services|exact normalized legal-name match,E_ADJACENT_30_PLUS,at home FM Services GmbH,adjacent,30+ scale confirmed but business is adjacent/internal/FM/development/commercial rather than classic external Hausverwaltung,,high,no,yes,ADD_TO_SALES_POOL,facility management / recurring building operations and back-office workflows
boe gebäudemanagement gesellschaft m b h,BOE Gebäudemanagement Gesellschaft m.b.H.,BOE Gebäudemanagement Gesellschaft m.b.H.,2,tirol | wien,4cef397c-cbbe-45bc-8d3b-21ca36fae81b | 64beda56-957a-4f73-ab8d-e4bf0458d8e0,0512 55 17 00 | Kärntner Straße 13-15/5 1010 Wien,http://www.boe-parking.at/,http://www.boe-parking.at/,parken@boe.at,0512%2055%2017%2000,https://firmen.wko.at/boe-geb%c3%a4udemanagement-gesellschaft-mbh/tirol/?firmaid=4cef397c-cbbe-45bc-8d3b-21ca36fae81b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,yes,yes,https://www.karriere.at/f/boe-geb%C3%A4udemanagement,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/boe-geb%C3%A4udemanagement|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/boe-geb%C3%A4udemanagement|exact normalized legal-name match,E_ADJACENT_30_PLUS,BOE Gebäudemanagement Gesellschaft m.b.H.,adjacent,30+ scale confirmed but business is adjacent/internal/FM/development/commercial rather than classic external Hausverwaltung,,high,no,yes,ADD_TO_SALES_POOL,"commercial/technical property management, accounting, operating-cost allocation, contracts and tenant/owner workflows"
brichard immobilien gmbh,Brichard Immobilien GmbH,Brichard Immobilien GmbH,1,wien,ddcbf14e-575a-457e-a7ac-3ba72a9cabb5,Peter-Jordan-Straße 8 1190 Wien,http://www.brichard.at/,http://www.brichard.at/,schranz@brichard.at,01%20369%2024%2050,https://firmen.wko.at/brichard-immobilien-gmbh/wien/?firmaid=ddcbf14e-575a-457e-a7ac-3ba72a9cabb5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,no,,,,"49 [exact] https://www.brichard.at/ueber-uns/team/ :: es Wettbewerbs „Great Place to Work“ werden jährlich die jeweils besten Arbeitgeber eines Landes ausgezeichnet. Brichard Immobilien wurde bereits 2013, in der Kategorie Kleinunternehmen (20-49 Mitarbeiter), als erstes Immobilienunternehmen Wiens, für seine Leistungen im Bereich Personal ausgezeichnet. Im Jahr 2018 erreichten wir sogar den 1. Platz österreichweit. Am 7. April 2020 durften wir || 45 [exact] https://www.brichard.at/ueber-uns/team/ :: , was gerade in einem Dienstleistungsunternehmen besonders wichtig ist. Teamgeist und Weiterbildung – für eine gute Hausverwaltung selbstverständlich Der Verantwortungsbereich der insgesamt 45 Mitarbeiterinnen und Mitarbeiter ist großzügig abgesteckt. Damit wird das Selbstwertgefühl gestärkt und die Qualität der Arbeit massiv verbessert. Werte wie Glaubwürdigkeit, Respekt, Fairness, Stolz und Tea || 10 [exact] https://www.brichard.at/great-place-to-work-2025-team-macht-den-unterschied/ :: ernehmenskultur Starke Führung & klare Vision Agile Innovations- & Fehlerkultur Mitarbeiterbindung & Talentförderung Engagement & Nachhaltigkeit Während im Österreich-Durchschnitt nur 5 von 10 Beschäftigten gerne zur Arbeit kommen, sind es bei den Besten Arbeitgebern 9 von 10 Mitarbeitenden.“ Quelle: Great Place to Work Österreich, Blogartikel „Österreichs Beste Arbeitgeber 2025 – Mit ausgezei",,1,1,0,"DIRECT|official website|49|49|https://www.brichard.at/ueber-uns/team/|es Wettbewerbs „Great Place to Work“ werden jährlich die jeweils besten Arbeitgeber eines Landes ausgezeichnet. Brichard Immobilien wurde bereits 2013, in der Kategorie Kleinunternehmen (20-49 Mitarbeiter), als erstes Immobilienunternehmen Wiens, für seine Leistungen im Bereich Personal ausgezeichnet. Im Jahr 2018 erreichten wir sogar den 1. Platz österreichweit. Am 7. April 2020 durften wir || GROUP|official/group website|45|45|https://www.brichard.at/ueber-uns/team/|, was gerade in einem Dienstleistungsunternehmen besonders wichtig ist. Teamgeist und Weiterbildung – für eine gute Hausverwaltung selbstverständlich Der Verantwortungsbereich der insgesamt 45 Mitarbeiterinnen und Mitarbeiter ist großzügig abgesteckt. Damit wird das Selbstwertgefühl gestärkt und die Qualität der Arbeit massiv verbessert. Werte wie Glaubwürdigkeit, Respekt, Fairness, Stolz und Tea",yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,"DIRECT|official website|49|49|https://www.brichard.at/ueber-uns/team/|es Wettbewerbs „Great Place to Work“ werden jährlich die jeweils besten Arbeitgeber eines Landes ausgezeichnet. Brichard Immobilien wurde bereits 2013, in der Kategorie Kleinunternehmen (20-49 Mitarbeiter), als erstes Immobilienunternehmen Wiens, für seine Leistungen im Bereich Personal ausgezeichnet. Im Jahr 2018 erreichten wir sogar den 1. Platz österreichweit. Am 7. April 2020 durften wir",A_CORE_30_PLUS_DIRECT,Brichard Immobilien GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
cbre gmbh,CBRE GmbH,CBRE GmbH,1,wien,f9385336-8856-4a6b-b913-0574cec1db0a,Am Belvedere 10/Top 12 1100 Wien,http://www.cbre.at/,http://www.cbre.at/,patrizia.roegelsperger@cbre.com,+43%201%20533%2040%2080,https://firmen.wko.at/cbre-gmbh-cbre-gmbh/wien/?firmaid=f9385336-8856-4a6b-b913-0574cec1db0a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,B_LIKELY_30_PLUS_GROUP,30+ evidence exists only in group/global/suspicious-large context,no,no,,,,"155000 [exact] https://www.cbre.at/ueber-uns :: heutige Entscheidungen bis hin zur Neugestaltung der Räume von morgen – wir entfalten unser Potenzial in komplexen und sich ständig verändernden Umgebungen. 600 Niederlassungen 100+ Länder 155.000 Mitarbeiter:innen 90+ Fortune 100-Kund:innen Mit umfassender Marktkenntnissen , erstklassigen Daten und eigener Technologie, können wir mit unserer multidimensionalen Perspektive Unternehmen dabei unterstütz || 90 [exact] https://www.cbre.at/ueber-uns :: Entscheidungen bis hin zur Neugestaltung der Räume von morgen – wir entfalten unser Potenzial in komplexen und sich ständig verändernden Umgebungen. 600 Niederlassungen 100+ Länder 155.000 Mitarbeiter:innen 90+ Fortune 100-Kund:innen Mit umfassender Marktkenntnissen , erstklassigen Daten und eigener Technologie, können wir mit unserer multidimensionalen Perspektive Unternehmen dabei unterstützen,",,0,1,0,"GROUP|official/group website|155000|155000|https://www.cbre.at/ueber-uns|heutige Entscheidungen bis hin zur Neugestaltung der Räume von morgen – wir entfalten unser Potenzial in komplexen und sich ständig verändernden Umgebungen. 600 Niederlassungen 100+ Länder 155.000 Mitarbeiter:innen 90+ Fortune 100-Kund:innen Mit umfassender Marktkenntnissen , erstklassigen Daten und eigener Technologie, können wir mit unserer multidimensionalen Perspektive Unternehmen dabei unterstütz",yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,1,0,"DIRECT|official website|90|90|https://www.cbre.at/ueber-uns|Entscheidungen bis hin zur Neugestaltung der Räume von morgen – wir entfalten unser Potenzial in komplexen und sich ständig verändernden Umgebungen. 600 Niederlassungen 100+ Länder 155.000 Mitarbeiter:innen 90+ Fortune 100-Kund:innen Mit umfassender Marktkenntnissen , erstklassigen Daten und eigener Technologie, können wir mit unserer multidimensionalen Perspektive Unternehmen dabei unterstützen, || GROUP|official website|155000|155000|https://www.cbre.at/ueber-uns|heutige Entscheidungen bis hin zur Neugestaltung der Räume von morgen – wir entfalten unser Potenzial in komplexen und sich ständig verändernden Umgebungen. 600 Niederlassungen 100+ Länder 155.000 Mitarbeiter:innen 90+ Fortune 100-Kund:innen Mit umfassender Marktkenntnissen , erstklassigen Daten und eigener Technologie, können wir mit unserer multidimensionalen Perspektive Unternehmen dabei unterstütz",E_ADJACENT_30_PLUS,CBRE GmbH,adjacent,30+ scale confirmed but business is adjacent/internal/FM/development/commercial rather than classic external Hausverwaltung,,high,no,yes,ADD_TO_SALES_POOL,large property/facility management platform with recurring real-estate back-office processes
gbg gebäude und baumanagement graz gmbh,GBG Gebäude- und Baumanagement Graz GmbH,GBG Gebäude- und Baumanagement Graz GmbH,1,steiermark,9e5b77c7-357a-45b6-963e-6e35837325e6,Neutorgasse 57 8010 Graz,http://www.gbg.graz.at/,http://www.gbg.graz.at/,gbg@gbg.graz.at,0316-872-8606,https://firmen.wko.at/gbg-geb%c3%a4ude-und-baumanagement-graz-gmbh/steiermark/?firmaid=9e5b77c7-357a-45b6-963e-6e35837325e6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,B_LIKELY_30_PLUS_GROUP,30+ evidence exists only in group/global/suspicious-large context,no,yes,https://www.karriere.at/f/gbg-geb%C3%A4ude-und-baumanagement-graz,11,30,"490 [approx] https://www.gbg.graz.at/cms/ziel/9344104/DE/ :: Baumanagement Graz GmbH ist ein Unternehmen der Stadt Graz. Wir bewirtschaften die Immobilien der Stadt Graz und ihrer Unternehmen auf insgesamt 404.000 Quadratmeter bebauter Fläche. Unsere rund 490 Mitarbeiter:innen sind für die Planung, Errichtung, Instandhaltung und Reinigung dieser Immobilien verantwortlich. Darüber hinaus sorgen wir für eine gesunde Entwicklung der 627 Hektar Waldflächen, die die S || 490 [exact] https://www.gbg.graz.at/cms/ziel/9344104/DE/ :: nagement Graz GmbH ist ein Unternehmen der Stadt Graz. Wir bewirtschaften die Immobilien der Stadt Graz und ihrer Unternehmen auf insgesamt 404.000 Quadratmeter bebauter Fläche. Unsere rund 490 Mitarbeiter:innen sind für die Planung, Errichtung, Instandhaltung und Reinigung dieser Immobilien verantwortlich. Darüber hinaus sorgen wir für eine gesunde Entwicklung der 627 Hektar Waldflächen, die die S",,0,1,1,"GROUP|official/group website|490|490|https://www.gbg.graz.at/cms/ziel/9344104/DE/|Baumanagement Graz GmbH ist ein Unternehmen der Stadt Graz. Wir bewirtschaften die Immobilien der Stadt Graz und ihrer Unternehmen auf insgesamt 404.000 Quadratmeter bebauter Fläche. Unsere rund 490 Mitarbeiter:innen sind für die Planung, Errichtung, Instandhaltung und Reinigung dieser Immobilien verantwortlich. Darüber hinaus sorgen wir für eine gesunde Entwicklung der 627 Hektar Waldflächen, die die S || BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/gbg-geb%C3%A4ude-und-baumanagement-graz|exact normalized legal-name match",yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,1,"DIRECT|official website|490|490|https://www.gbg.graz.at/cms/ziel/9344104/DE/|Baumanagement Graz GmbH ist ein Unternehmen der Stadt Graz. Wir bewirtschaften die Immobilien der Stadt Graz und ihrer Unternehmen auf insgesamt 404.000 Quadratmeter bebauter Fläche. Unsere rund 490 Mitarbeiter:innen sind für die Planung, Errichtung, Instandhaltung und Reinigung dieser Immobilien verantwortlich. Darüber hinaus sorgen wir für eine gesunde Entwicklung der 627 Hektar Waldflächen, die die S || BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/gbg-geb%C3%A4ude-und-baumanagement-graz|exact normalized legal-name match",E_ADJACENT_30_PLUS,GBG Gebäude- und Baumanagement Graz GmbH,adjacent,30+ scale confirmed but business is adjacent/internal/FM/development/commercial rather than classic external Hausverwaltung,,high,no,yes,ADD_TO_SALES_POOL,large building-management operator with technical and administrative property processes
gws bau und verwaltungsgesellschaft m b h,GWS Bau- und Verwaltungsgesellschaft m.b.H.,GWS Bau- und Verwaltungsgesellschaft m.b.H.,1,steiermark,e6e3e12a-86b4-44e3-a38f-49ba68475820,Plüddemanngasse 107 8042 Graz,http://www.gws-exklusiv.at/,http://www.gws-exklusiv.at/,gws@gws-wohnen.at,+43%20(0)316-8054-0,https://firmen.wko.at/gws-bau-und-verwaltungsgesellschaft-mbh/steiermark/?firmaid=e6e3e12a-86b4-44e3-a38f-49ba68475820&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,no,,,,"90 [approx] https://www.gws-wohnen.at/gws/zahlen-fakten-daten/ :: m in allen Abteilungen der GWS macht den Erfolg aus – und spürbar für alle Bewohnerinnen und Bewohner. Kompetenz, Einsatzfreude und Loyalität ermöglichen das Service und den Erfolg der GWS: Rund 90 Mitarbeiterinnen und Mitarbeiter machen unser Team aus, das direkt in der Betreuung von Kunden und Interessenten sowie hinter den Kulissen im Einsatz ist. Sie bieten Service im ganz großen Stil, denn rund 2 || 90 [exact] https://www.gws-wohnen.at/gws/zahlen-fakten-daten/ :: allen Abteilungen der GWS macht den Erfolg aus – und spürbar für alle Bewohnerinnen und Bewohner. Kompetenz, Einsatzfreude und Loyalität ermöglichen das Service und den Erfolg der GWS: Rund 90 Mitarbeiterinnen und Mitarbeiter machen unser Team aus, das direkt in der Betreuung von Kunden und Interessenten sowie hinter den Kulissen im Einsatz ist. Sie bieten Service im ganz großen Stil, denn rund 2",,1,0,0,"DIRECT|official website|90|90|https://www.gws-wohnen.at/gws/zahlen-fakten-daten/|m in allen Abteilungen der GWS macht den Erfolg aus – und spürbar für alle Bewohnerinnen und Bewohner. Kompetenz, Einsatzfreude und Loyalität ermöglichen das Service und den Erfolg der GWS: Rund 90 Mitarbeiterinnen und Mitarbeiter machen unser Team aus, das direkt in der Betreuung von Kunden und Interessenten sowie hinter den Kulissen im Einsatz ist. Sie bieten Service im ganz großen Stil, denn rund 2",yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,"DIRECT|official website|90|90|https://www.gws-wohnen.at/gws/zahlen-fakten-daten/|m in allen Abteilungen der GWS macht den Erfolg aus – und spürbar für alle Bewohnerinnen und Bewohner. Kompetenz, Einsatzfreude und Loyalität ermöglichen das Service und den Erfolg der GWS: Rund 90 Mitarbeiterinnen und Mitarbeiter machen unser Team aus, das direkt in der Betreuung von Kunden und Interessenten sowie hinter den Kulissen im Einsatz ist. Sie bieten Service im ganz großen Stil, denn rund 2",A_CORE_30_PLUS_DIRECT,GWS Bau- und Verwaltungsgesellschaft m.b.H.,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
hös heimat österreich service gesmbh,HÖS Heimat Österreich Service GesmbH,HÖS Heimat Österreich Service GesmbH,1,salzburg,60b9d09f-16e8-4f20-8463-0305e579475c,Frauenbachweg 5 5102 Anthering,,,,,https://firmen.wko.at/h%c3%96s-heimat-%c3%96sterreich-service-gesmbh/salzburg/?firmaid=60b9d09f-16e8-4f20-8463-0305e579475c&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/h%C3%B6s-heimat-%C3%B6sterreich-service,31,50,,,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/h%C3%B6s-heimat-%C3%B6sterreich-service|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/h%C3%B6s-heimat-%C3%B6sterreich-service|exact normalized legal-name match,A_CORE_30_PLUS_DIRECT,HÖS Heimat Österreich Service GesmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
