company_name	website	personal_emails	name_headings	signal
Immobilien Treuhandschaft Padelek & Padelek GmbH	http://www.immobilienpadelek.at/	24	13	85
SERIA Immobilien & Treuhand GmbH	http://www.seria.at/	20	32	85
Avon Immobilien GmbH	https://www.avon-immobilien.at/	13	22	61
Ing. Werner Wilhelm Bayer	http://www.svbayer.at/	16	8	56
Kaiserer Immobilien und Hausverwaltungs GmbH	http://www.kaiserer.at/	15	6	51
Immobilienverwaltung Mag. Christian Krenauer Ges.m.b.H.	http://www.krenauer.at/	12	12	48
Immobilien Treuhand Hanke & Bodner KG	https://www.spittaler-hausverwaltung.at/	15	1	46
VIVATRO GmbH	https://vivatro.at/	7	26	46
ARWAG Immobilientreuhand Gesellschaft m.b.H.	http://www.arwag.at/	7	25	46
Immobilienverwaltung Mag. Wölfl GmbH	https://www.ivwoelfl.at/	7	25	46
LENIKUS Verwaltungs GmbH	http://www.lenikus.at/	14	1	43
Immobilia Obergruber GmbH	http://www.immobilia.net/	8	17	41
Faritsch Immobilien GmbH & Co KG	http://www.immo-faritsch.at/	13	1	40
Sabo+Mandl & Tomaschek Immobilien GmbH	https://www.smt-immobilien.at/	5	70	40
Immoplus Immobilienverwaltungs GmbH	http://www.immoplus.co.at/	9	12	39
Schwarzataler Immobilien Treuhandgesellschaft m.b.H.	http://www.schwarzataler-immobilien.at/	7	18	39
Dr. Böck Immobilien Treuhand GmbH	http://www.hausverwaltung-boeck.at/	9	11	38
Lang & Partner Financial Advisory GmbH	https://langpartner.at/	4	25	37
SAVONAROLA Baumanagement GmbH	http://www.savonarola.at/	6	17	35
Die Hausverwalter Pro Immo GesmbH	http://www.diehausverwalter.at/	7	13	34
Rimo Immobilien GmbH	https://www.rimo.at/	3	26	34
IMMOTEAM4YOU IMMOBILIEN GmbH	https://www.immoteam4you.at/	4	21	33
IC-HAUSVERWALTUNG GmbH	http://www.ic-hv.com/	7	10	31
RES Immobilienverwaltung GmbH	http://www.res.at/	7	10	31
BOE Baumanagement Gesellschaft m.b.H.	https://www.boe.at/	2	53	31
Hausverwaltung und Immobilienmakler Purkarthofer Ges.m.b.H.	https://www.immo-purkarthofer.at/	2	37	31
Mag. Pfeifer Immobilien GmbH	http://www.mpimmo.at/	7	9	30
Dr. Alexandra Gabriel Realitätenvermittlungsgesellschaft m.b.H.	http://www.gabriel.at/	6	12	30
Prof Dr Thomas Keppert Immobilientreuhand GmbH	http://www.keppert.at/	9	2	29
Herbert Sampl	https://sampl-immo.at/	9	1	28
LESTRA Hausverwaltung GmbH	http://www.lestra.at/	5	13	28
Bittendorfer Immobilien e. U.	http://www.bittendorfer.at/	1	28	28
Moeller-Real Realitätenvermittlungs- und Verwaltungsgesellschaft mit beschränkter Haftung	http://www.moeller-real.at/	7	5	26
Obermair Immobilien GmbH	http://www.obermair-immobilien.at/	4	14	26
Waldviertel Immobilien-Vermittlung GmbH	http://www.w-i-v.at/	8	1	25
Klebl Immobilien GmbH	http://www.klebl-immobilien.at/	6	7	25
IBW Immobilien GmbH	https://www.ibw.tirol/	3	16	25
Arealita Immobilientreuhand und Sachverständigen GmbH	https://www.arealita.at/	0	59	25
Mag. Kofler Vermögenstreuhand GmbH	https://www.mag-kofler.at/	0	56	25
Brehm Immobilien GmbH	https://www.brehm-immobilien.at/	0	32	25
Mag. Iris Germ	http://www.immo-germ.at/	0	32	25
Hauswirth Immobilienverwaltung GmbH	http://www.hauswirth.at/	5	9	24
Kirnig Immobilien Consulting & Verwaltung e.U.	http://www.kimco.at/	5	9	24
CURA Immobilien OG	http://www.curaimmo.at/	7	2	23
Infranorm Technologie GmbH	https://www.infranorm.com/	0	23	23
Hausverwaltung Rosam GmbH	https://www.rosam-hv.at/	7	1	22
Ralph Salzner Immobilientreuhänder GmbH	http://salzner.at/	7	1	22
ING. MESSNER GmbH	https://www.messner.gmbh/	5	6	21
Mag. Ursula Kölbl-Kasper	https://www.immobilien-verwaltung.at/	3	12	21
Bischof Immobilien GmbH	http://www.bischofimmo.at/	4	8	20
INS Partner Immobilien GmbH	http://www.ins-partner.at/	3	11	20
IMMOBILIDEA LWR GmbH	https://www.immobilidea.at/	0	20	20
INVEST- REAL Immobilientreuhänder Ges.m.b.H.	http://www.investreal.at/	5	4	19
GBM GebäudeBetriebsManagement GmbH	http://gbm.co.at/	4	7	19
HÜBL & PARTNER Immobilien GmbH	https://www.huebl-partner.com/	0	18	18
Immobilien Scheffauer GmbH	http://www.immobilien-austria.at/	0	18	18
Immobilien Weiz Treuhand GmbH	https://immobilien-weiz.at/	0	18	18
Immobilias Realitäten e.U.	http://www.immobilias.at/	2	11	17
COLLIERS Immobilienverwaltung GmbH	https://www.colliers.com/de-at/dienstleistungen/property-management-services	1	14	17
ART Immobilien e.U.	http://www.art-immobilien.at/	0	17	17
Real Immobilien Treuhand GmbH	https://www.real-immobilien.at/	0	17	17
AMLAK Liegenschaftsgesellschaft m.b.H.	https://www.amlak.at/	5	1	16
RE Immobilienverwaltung GmbH	https://www.real-est.at/	2	10	16
Steinbauer Bau- und Immobilientreuhand GmbH	http://www.steinbauer-bauimmo.at/	2	10	16
BS Real 360 GmbH	https://www.bsreal.at/	1	13	16
be real Immobilienmanagement GmbH	http://www.bereal-immobilien.at/	1	13	16
KANNON Immobilienmanagement GmbH	https://kannon.immo/	0	16	16
OBJEKTA Immobiliengesellschaft m.b.H.	http://www.objekta.at/	0	16	16
FZI Real GmbH	http://www.fzi.at/	5	0	15
MIVO Immobilienmanagement GmbH	https://www.mivo.at/	5	0	15
BUX Hausverwaltung GmbH	https://www.bux-hausverwaltung.at/	1	12	15
Thomas Josef Grasl	http://www.grasl-immobilien.at/	1	11	14
Eleon Immobilien Management e.U.	https://eleon.at/	0	14	14
Signitas Immobilien GmbH	https://signitas-immobilien.at/	0	14	14
MAUTNER MARKHOF Immobilienverwaltungsges.m.b.H.	http://www.mm-immo.at/	1	10	13
Immobilien Weichinger Ges.m.b.H.	http://www.weichinger.at/	0	13	13
KOHLFÜRST Consulting Ges.m.b.H.	https://www.kohlfuerst.at/	0	13	13
Mag. Klaus-Dieter Stingl	http://www.immobilienverwaltung.at/	0	13	13
MyPropz Bauträger GmbH	https://fatestone.at/	0	13	13
Reset Gruppe GmbH	http://www.reset-gruppe.at/	0	12	12
Karin Ladler	http://www.imla.at/	0	11	11
PORR AG	http://www.porr-group.com/	0	11	11
Spiegelfeld Immobilien GmbH	http://www.spiegelfeld.eu/	0	11	11
m.e. Immobilien GmbH	https://www.me-immobilien.at/	0	11	11
vplus GmbH	http://www.vplus.at/	0	11	11
Ing. Andreas Alfred Wollein	http://realpartners.at/	0	10	10
Kitzpichl, Realitäten Gesellschaft m.b.H.	http://www.tirol.com/kitz-real	0	10	10
RUBINUS Immobilien Management GmbH & Co KG	http://www.rubinus.com/	0	10	10
