company_name,audit_class,sales_include,employee_signal,identity_scope,evidence_url,evidence_note
WAG Wohnungsanlagen Gesellschaft m.b.H.,CONFIRMED_30_PLUS_DIRECT,yes,253,direct,https://www.wag.at/die-wag/ueber-die-wag,"Official WAG page: 253 Mitarbeiter; 10 Standorte, 5 Bundesländer"
Stadt Wien - Wiener Wohnen Kundenservice GmbH,CONFIRMED_30_PLUS_DIRECT,yes,1148,direct,https://www.wienerwohnen.at/dam/jcr%3A92453bae-2ce5-43fb-b95d-f124a3e19d79/WrW%20GB%202024_WEB%20%281%29.pdf,"Wiener Wohnen annual report: 1,148 employees at 31.12.2024"
IMV Immobilien Management GmbH,CONFIRMED_30_PLUS_DIRECT,yes,201,direct,https://imv.co.at/,"Official homepage: 201 Mitarbeitende, 6 Standorte, 2 Länder"
ÖBB-Immobilienmanagement Gesellschaft mbH,CONFIRMED_30_PLUS_DIRECT,yes,817,direct,https://immobilien.oebb.at/de/unternehmen/zahlen-daten-fakten,"Official ÖBB Immobilien facts: 817 employees as of 31.12.2023"
PMV Immobilien Management GmbH,CONFIRMED_30_PLUS_DIRECT,yes,100,direct,https://pmv.at/,"Official homepage: 100 Mitarbeitende, 3 Standorte; Kununu currently says around 110"
IMMOcontract Real Estate Management GmbH,CONFIRMED_30_PLUS_DIRECT,yes,57-65,direct,https://firmen.wko.at/immocontract-real-estate-management-gmbh/wien/?firmaid=9058e0b6-ac3c-42d2-ad3f-5ffae29deb9a,"WKO profile says 57 employees; Immomedien Hausverwalter 2025 ranking says 65"
McArthurGlen Management Gesellschaft m.b.H.,CONFIRMED_30_PLUS_DIRECT,yes,42,direct,https://www.mcarthurglen.com/globalassets/parndorf/parndorf--about-us/umweltbericht_2023_awec.pdf,"Parndorf environmental report: management GmbH responsible for outlet administration with 42 employees"
IMMOCENTRAL Immobilientreuhand GmbH,CONFIRMED_20_PLUS_TEAM_PAGE,yes,21+,direct,https://www.immocentral.at/ueber-uns,"Official team page lists 20+ named staff; even excluding two cooperation partners the visible team is around 21"
Haus & Grund Immobilien Management GmbH,CONFIRMED_20_30_DIRECT,yes,20,direct,https://firmen.wko.at/haus-und-grund-immobilien-management-gmbh/ober%C3%B6sterreich/?firmaid=8e4aa7d3-b6fd-49a4-8443-88b723f02297,"WKO profile says 20 employees; current karriere.at employer panel says 11-30"
SES Center Management GmbH,CONFIRMED_30_PLUS_GROUP,yes,201-500,group,https://at.linkedin.com/company/ses-spar-european-shopping-centers,"WKO legal entity belongs to SES shopping-center operation; SES public LinkedIn page says 201-500 and 136 visible employees; management/property/FM are core business"
BUWOG - Bauen und Wohnen Gesellschaft mbH,CONFIRMED_30_PLUS_GROUP,yes,~400,group,https://www.buwog.at/immobiliensuche/ueber-uns,"BUWOG Austria official page: around 400 employees across Vienna, Villach, Graz, Salzburg; property management is a core business"
PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,CONFIRMED_30_PLUS_GROUP,yes,35+,group,https://at.linkedin.com/company/prisma-unternehmensgruppe,"PRISMA group public LinkedIn shows 35 employees and explicitly includes kaufmännische/technische Hausverwaltung and facility services"
Altmann + Partner Immobilientreuhand GmbH,BORDERLINE_20_RECALL,yes,11-20 / ~20 named,standalone,https://www.altmann-partner.at/de/team,"Official team page exposes roughly 20 operating people; Herold says 11-20. Include for sales recall despite uncertain exact threshold"
WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,PLAUSIBLE_20_RECALL,yes,11-50,standalone,https://www.xing.com/pages/wevigwohnungseigentumsverwaltungs-undimmobilientreuhand-gesellschaftm-b-h,"XING size 11-50; four-region operational footprint. Exact 20+ not proven, but good recall candidate"
Immo-Pro Immobilien GmbH,PLAUSIBLE_SCALE_NO_COUNT,yes,"multi-branch + active hiring",standalone,https://www.jobs.at/a/immo-pro-immobilien-gmbh,"Several Austrian branches and simultaneous hiring in Vienna, Graz, Salzburg and Innsbruck; 400,000+ m² managed in Tirol/Vorarlberg alone. Older directory counts conflict, so include for recall review"
Leitgöb Hausverwaltung GmbH,PLAUSIBLE_SCALE_NO_COUNT,review,"team + group + two offices",standalone,https://www.leitgoeb-hausverwaltung.at/ueber-uns/,"Professional standalone Hausverwaltung within Leitgöb group; visible functional team and group support, but no reliable 20+ count found"
F & S Real Estate Solutions GmbH,LIKELY_UNDER_20,no,"~9 named staff",standalone,https://www.fssolutions.at/team,"Official team page shows a compact team around 9; multiple locations reflect operated properties more than headcount"
Favorite Immobilientreuhand GmbH,LIKELY_UNDER_20,no,"5 named staff",standalone,https://www.favorite-immo.at/team,"Official team page shows five people"
PEMA Real Estate Services GmbH,LIKELY_UNDER_20,no,2-10,standalone,https://at.linkedin.com/company/pema-real-estate-services-gmbh,"LinkedIn company size 2-10"
Hausverwaltung Lusser KG,LIKELY_UNDER_20,no,2,standalone,https://firmen.wko.at/hausverwaltung-lusser-kg/wien/,"WKO profile says 2 employees"
I.V.T. Immobilien Treuhand- und Verwaltungsgesellschaft m.b.H.,LIKELY_UNDER_20,no,6-10,standalone,https://www.herold.at/gelbe-seiten/wien/mb2Cw/ivt-immobilien-treuhand-und-verwaltungsgesellschaft-mbh/,"Herold current profile says 6-10 employees"
Klebl Immobilien GmbH,LIKELY_UNDER_20,no,2-10,standalone,https://at.linkedin.com/company/klebl-immobilien-gmbh,"LinkedIn size 2-10; official contact page also shows a small team"
DENZEL Immobilien GmbH,LIKELY_UNDER_20,no,7,standalone,https://firmen.wko.at/denzel-immobilien-gmbh/wien/?firmaid=78ee919d-3073-4755-bd35-c2433d42e8d8,"WKO profile says 7 employees; group is larger but this Hausverwaltung legal entity is small"
IMMOTOTAL Immobilientreuhand GmbH,LIKELY_UNDER_20,no,2-10,standalone,https://at.linkedin.com/company/immototal,"LinkedIn size 2-10"
Norikum Wohnungsbaugesellschaft m.b.H.,LIKELY_UNDER_20,no,1-10,standalone,https://www.karriere.at/f/norikum-wohnungsbaugesellschaft,"karriere.at employer profile says 1-10 employees"
