company_name,audit_class,sales_include,employee_signal,identity_scope,evidence_url,evidence_note
OM Objektmanagement GmbH,CONFIRMED_30_PLUS_DIRECT,yes,101-500,direct,https://www.karriere.at/f/om-objektmanagement,"Exact karriere.at employer profile says 101-500 employees; 100% Erste Group subsidiary; multiple active specialist/FM teams"
CBRE GWS Austria GmbH,CONFIRMED_30_PLUS_DIRECT,yes,51-100,direct,https://www.karriere.at/f/cbre-corporate-outsourcing,"Exact karriere.at employer profile says 51-100 employees and 11-20 hires/year; exact Vienna address matches CBRE official site"
ÖRAG Österreichische Realitäten-AG / Liegenschaftsverwaltung,CONFIRMED_30_PLUS_GROUP,yes,330,group,https://www.oerag.at/ueber-uns/,"Official ÖRAG page: 330 employees and 3.25m m² managed; Liegenschafts- und Hausverwaltung is core business. Treat legal subsidiaries as group-level until standalone count known"
KALA Immobilienmanagement GmbH,BORDERLINE_RECALL,yes,"14 named + unspecified accounting department",direct,https://www.kala-immo.at/,"Official team page lists 14 named operational people and says the accounting department adds experienced staff. Likely around high-teens/20+, valuable regional target despite no exact 20+ count"
LIFING Gebäudetechnik & Verwaltung GmbH,PLAUSIBLE_SCALE_NO_COUNT,review,"dedicated Hausverwaltung + own cleaning/professional technical team",direct,https://lifing.at/,"Official site describes own professional cleaning team, qualified technical staff, Hausverwaltung in Vienna/NÖ and broad service coverage; no reliable exact employee number located"
Realkanzlei Ferdinand König Gesellschaft m.b.H.,BORDERLINE_11_30,review,"11-30 karriere.at; 6-10 Herold",direct,https://www.karriere.at/f/realkanzlei-ferdinand-k%C3%B6nig-gesellschaft-m-b-h,"Exact employer profile says 11-30 and is actively hiring Hausverwalter; Herold says 6-10. Keep as low-priority recall rather than hard exclude"
Steinkogler Immobilientreuhand GmbH,LIKELY_UNDER_20,no,7,direct,https://firmen.wko.at/steinkogler-immobilientreuhand-gmbh-liegenschaftsverwaltung/ober%C3%B6sterreich/?firmaid=f141677a-9093-4bdd-8918-610ced01c013,"Exact WKO profile says 7 employees; official team page is consistent with small team"
Zirm Immobilien GmbH,LIKELY_UNDER_20,no,7,direct,https://firmen.wko.at/zirm-immobilien-gmbh-immobilienverwaltung-und-vermittlung/tirol/?firmaid=c4588710-c415-482d-90e5-f8077cce86a4,"Exact WKO profile says 7 employees; official team page lists seven people"
Viviamo Immobilien GmbH,LIKELY_UNDER_20,no,1-10,direct,https://www.karriere.at/f/viviamo-immobilien,"Exact karriere.at employer profile says 1-10 employees"
Terra Immobilien Gesellschaft m.b.H.,EXCLUDE_SMALL_INSOLVENCY,no,"1 employee; insolvency 2026",direct,https://www.firmenatlas.com/firma/44504y,"Structured 2024 annual-report profile says average 1 employee; EVI records insolvency entry on 27 Feb 2026"
EHL Immobilien Management GmbH,DUPLICATE_RENAMED_TO_PMV,no,"same FN 332655z as PMV",same_legal_entity,https://www.evi.gv.at/f/332655z,"Historical legal name. Firmenbuch shows name change in Dec 2023; EHL press confirms acquired by IMV and renamed PMV. Do not create separate Stage-3 target"
PMV Immobilien Management GmbH,CONFIRMED_30_PLUS_DIRECT,yes,100,direct,https://pmv.at/,"Official PMV homepage says 100 employees, 3 locations and 2.05m m² managed; legal FN 332655z"
PFG Liegenschaftsbewirtschaftungs GmbH & Co KG,REVIEW_CORPORATE_STRUCTURE,review,"no reliable employee count found",direct,https://www.evi.gv.at/f/248931a,"Exact legal entity tied to PFG/Wüstenrot structure; retain for manual review but do not infer size from group ownership alone"
Viviamo Immobilien GmbH,LIKELY_UNDER_20,no,1-10,direct,https://www.karriere.at/f/viviamo-immobilien,"Exact karriere employer size; two addresses do not imply large team"
