company_name,priority,recall_score,standort_count,states_seen,website,email,phone,profile_url,recall_reason
WAG Wohnungsanlagen Gesellschaft m.b.H.,P1,17,7,Oberösterreich | Salzburg | Steiermark | Wien,http://www.wag.at/,info@wag.at,0732/3338-0,https://firmen.wko.at/wag-wohnungsanlagen-gesellschaft-mbh-wag-wohnungsanlagen-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=67f76e6f-c1f8-4143-9eb3-810e09613d95&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,7 WKO Standorte; multi-Bundesland; official website; scale/management keyword; group/enterprise signal
SES Center Management GmbH,P1,15,8,Kärnten | Niederösterreich | Oberösterreich | Salzburg | Steiermark | Tirol | Wien,,,,https://firmen.wko.at/ses-center-management-gmbh/k%c3%a4rnten/?firmaid=32f9e4a7-36b5-4b71-9511-32e150dee304&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,8 WKO Standorte; multi-Bundesland; scale/management keyword; group/enterprise signal
ÖBB-Immobilienmanagement Gesellschaft mbH,P1,15,8,Kärnten | Niederösterreich | Oberösterreich | Salzburg | Steiermark | Tirol | Wien,,,,https://firmen.wko.at/%c3%b6bb-immobilienmanagement-gesellschaft-mbh/k%c3%a4rnten/?firmaid=a00079ce-0688-4430-ae5e-27a0f0236073&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,8 WKO Standorte; multi-Bundesland; scale/management keyword; group/enterprise signal
Bundesimmobiliengesellschaft m.b.H.,P1,14,21,Kärnten | Niederösterreich | Oberösterreich | Salzburg | Steiermark | Tirol | Vorarlberg | Wien,http://www.big.at/,office@big.at,05 0244 - 0,https://firmen.wko.at/bundesimmobiliengesellschaft-mbh/k%c3%a4rnten/?firmaid=14e0df91-a2aa-4de9-aad9-d92b5f0337f8&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,21 WKO Standorte; multi-Bundesland; official website; group/enterprise signal
Frieda Rustler Gebäudeverwaltung GmbH & Co KG,P1,14,6,Kärnten | Oberösterreich | Salzburg | Steiermark | Tirol | Wien,http://www.rustler.eu/,office@rustler.eu,+43 1 904 20 00,https://firmen.wko.at/frieda-rustler-geb%c3%a4udeverwaltung-gmbh-und-co-kg/k%c3%a4rnten/?firmaid=5ed98fdf-cb67-4d68-9de0-c82657538ad1&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,6 WKO Standorte; multi-Bundesland; official website; scale/management keyword
IMMOcontract Real Estate Management GmbH,P1,14,6,Kärnten | Niederösterreich | Oberösterreich | Steiermark | Wien,http://www.donath.at/,donath@donath.at,01/587 15 81-0,https://firmen.wko.at/immocontract-real-estate-management-gmbh/k%c3%a4rnten/?firmaid=10762706-8305-4c30-a6d5-d10fb3a75adc&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,6 WKO Standorte; multi-Bundesland; official website; scale/management keyword
BUWOG - Bauen und Wohnen Gesellschaft mbH,P1,13,4,Kärnten | Salzburg | Steiermark | Wien,http://www.buwog.at/,office@buwog.at,01/878 28-0,https://firmen.wko.at/buwog-bauen-und-wohnen-gesellschaft-mbh/k%c3%a4rnten/?firmaid=f4179397-d8c1-4498-adf1-c741abeb929b&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,4 WKO Standorte; multi-Bundesland; official website; group/enterprise signal
PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,P1,13,3,Salzburg | Tirol | Vorarlberg,https://www.prisma-zentrum.com/,office@prisma-zentrum.com,+43 5572 22122,https://firmen.wko.at/prisma-zentrum-f%c3%bcr-standort-und-regionalentwicklung-gmbh/salzburg/?firmaid=961f5cb3-c67f-46d1-8a9e-c81f0a03677c&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,3 WKO Standorte; multi-Bundesland; official website; group/enterprise signal
Immo-Pro Immobilien GmbH,P1,12,7,Kärnten | Salzburg | Steiermark | Tirol | Wien,http://www.immopro.at/,office@immopro.at,0512/348334,https://firmen.wko.at/immo-pro-immobilien-gmbh/k%c3%a4rnten/?firmaid=b9cc1886-2e42-4a30-9d45-1ae6a0a12751&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,7 WKO Standorte; multi-Bundesland; official website
IMV Immobilien Management GmbH,P1,12,4,Niederösterreich | Steiermark | Wien,http://www.imv.co.at/,office@imv.co.at,+43 1 586 69 55,https://firmen.wko.at/imv-immobilien-management-gmbh/nieder%c3%b6sterreich/?firmaid=e8afcdb7-57af-4c60-90dd-02c760b6c2b7&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,4 WKO Standorte; multi-Bundesland; official website; scale/management keyword
WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,P1,12,4,Niederösterreich | Oberösterreich | Wien,https://wevig.at/,office@wevig.at,+43 1 486 06 08,https://firmen.wko.at/wevig-wohnungseigentumsverwaltungs-und-immobilientreuhand-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=51bfcb3d-0ac8-478f-906e-9462b97f105f&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,4 WKO Standorte; multi-Bundesland; official website; scale/management keyword
BUWOG Süd GmbH,P1,11,2,Kärnten | Steiermark,http://www.esg-villach.at/,office@esg-villach.at,+43 4242 39 10-0,https://firmen.wko.at/buwog-s%c3%bcd-gmbh/k%c3%a4rnten/?firmaid=64ae09df-74ca-4a93-b907-22db4048793e&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website; group/enterprise signal
PMV Immobilien Management GmbH,P1,10,4,Kärnten | Niederösterreich | Wien,,,,https://firmen.wko.at/pmv-immobilien-management-gmbh/k%c3%a4rnten/?firmaid=da7d9f4e-1b4a-4551-8118-1f33a67281ab&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,4 WKO Standorte; multi-Bundesland; scale/management keyword
AUREA Hausverwaltung KG,P1,10,2,Niederösterreich | Wien,http://www.aurea-hausverwaltung.at/,office@aurea-hausverwaltung.at,+43 1 480 71 36,https://firmen.wko.at/aurea-hausverwaltung-kg/nieder%c3%b6sterreich/?firmaid=a06a2671-1cbc-458b-9c15-69bf4319ad8a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website; scale/management keyword
BOE Gebäudemanagement Gesellschaft m.b.H.,P1,10,2,Tirol | Wien,http://www.boe-parking.at/,parken@boe.at,0512 55 17 00,https://firmen.wko.at/boe-geb%c3%a4udemanagement-gesellschaft-mbh/tirol/?firmaid=4cef397c-cbbe-45bc-8d3b-21ca36fae81b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website; scale/management keyword
IM-Quadrat Immobilien Vermittlung & Verwaltung GmbH,P1,10,2,Oberösterreich | Wien,https://www.im-quadrat.at/,office@im-quadrat.at,+43 732 77 70 80,https://firmen.wko.at/im-quadrat-immobilien-vermittlung-und-verwaltung-gmbh/ober%c3%b6sterreich/?firmaid=7d530e47-d2e5-4f32-8651-cd99bc10ed38&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website; scale/management keyword
Immobilienverwaltung Cvitkovits KG,P1,10,2,Burgenland | Wien,http://www.ivc.co.at/,office@ivc.co.at,+43 1 512 82 78,https://firmen.wko.at/immobilienverwaltung-cvitkovits-kg/burgenland/?firmaid=a0c4a5e4-25ea-4911-bcff-365c80307559&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website; scale/management keyword
Karin Schuster KG Immobilienverwaltung,P1,10,2,Niederösterreich | Wien,http://www.ivschuster.at/,office@ivschuster.at,+43 1 408 20 06,https://firmen.wko.at/karin-schuster-kg-immobilienverwaltung/nieder%c3%b6sterreich/?firmaid=ec109782-110a-458b-9ee3-714f4d6da28b&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website; scale/management keyword
Reikersdorfer Hausverwaltung GmbH,P1,10,2,Niederösterreich | Oberösterreich,http://www.reikersdorfer.at/,office@reikersdorfer.at,+43 7252 45000,https://firmen.wko.at/reikersdorfer-hausverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=9ae0a8d5-3ef7-4c4b-994a-3882dcc2d650&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website; scale/management keyword
Stadt Wien - Wiener Wohnen Kundenservice GmbH,P2,9,3,Wien,,,,https://firmen.wko.at/stadt-wien-wiener-wohnen-kundenservice-gmbh/wien/?firmaid=ace7dcd4-823d-4c33-b6e9-b7bb37fdf0cd&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,3 WKO Standorte; group/enterprise signal
BUWOG Group GmbH,P2,9,2,Kärnten | Wien,,,,https://firmen.wko.at/buwog-group-gmbh/k%c3%a4rnten/?firmaid=1177bcc1-7e07-4714-8142-a3dd085f399c&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; group/enterprise signal
CBRE GWS Austria GmbH,P2,9,2,Tirol | Wien,,,,https://firmen.wko.at/cbre-gws-austria-gmbh/tirol/?firmaid=7fa477e9-30a0-4a65-b7ee-01f89953a014&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; group/enterprise signal
VerwaltungsGmbH Pruckner,P2,9,2,Oberösterreich | Salzburg,http://www.verwaltungsgmbh.at/,office@verwaltungsgmbh.at,+43 7242 90 45 0,https://firmen.wko.at/verwaltungsgmbh-pruckner/ober%c3%b6sterreich/?firmaid=7c074a9c-a482-4606-95ac-c05ecb710195&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website; scale/management keyword
AREV Immobilien Gesellschaft m.b.H.,P2,8,3,Oberösterreich,http://www.arev.at/,office.ried@arev.at,07752 85 88 50,https://firmen.wko.at/arev-immobilien-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=cc63d200-453c-476c-a7d8-0f3c5ce2c867&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,3 WKO Standorte; official website
GMG Immobilien Invest GmbH,P2,8,3,Kärnten | Wien,,,,https://firmen.wko.at/gmg-immobilien-invest-gmbh/k%c3%a4rnten/?firmaid=f2777ee2-74d0-40b4-afb4-4ec695d6e80a&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,3 WKO Standorte; multi-Bundesland
NV Immobilien GmbH,P2,8,3,Niederösterreich | Wien,,,,https://firmen.wko.at/nv-immobilien-gmbh/nieder%c3%b6sterreich/?firmaid=918d0e5d-3465-43cc-85d9-e9a3f010bbcc&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,3 WKO Standorte; multi-Bundesland
AI Immobilienverwertung GmbH.,P2,8,2,Oberösterreich | Wien,http://www.apk.at/aiig,office@apk.at,+43 732 77 29 29,https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=35b52e78-acde-465c-acde-75784f80c8bd&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
at home Immobilien-GmbH,P2,8,2,Niederösterreich | Wien,http://www.at-home.co.at/,office@at-home.co.at,+43 1 585 84 20,https://firmen.wko.at/at-home-immobilien-gmbh/nieder%c3%b6sterreich/?firmaid=313a7ef5-f548-4638-bcf2-b51f6458b466&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
Bischof Immobilien Ges.m.b.H.,P2,8,2,Steiermark | Wien,http://www.ibi.at/,immo@ibi.at,+43 (0)3572-868 82,https://firmen.wko.at/bischof-immobilien-gesmbh/steiermark/?firmaid=56f6b87b-c3b7-4871-a1c9-7100ad73ccec&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
Dr. Friedrich Noszek GmbH,P2,8,2,Niederösterreich | Wien,http://www.immo-noszek.at/,office@immo-noszek.at,+43 1 869 42 04,https://firmen.wko.at/dr-friedrich-noszek-gmbh/nieder%c3%b6sterreich/?firmaid=3c1d505a-9be4-4ac1-9cfe-76ad82bd16c9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
Haus & Grund Immobilien Management GmbH,P2,8,2,Oberösterreich | Salzburg,,,,https://firmen.wko.at/haus-und-grund-immobilien-management-gmbh/ober%c3%b6sterreich/?firmaid=8e4aa7d3-b6fd-49a4-8443-88b723f02297&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; scale/management keyword
KALA Immobilienmanagement GmbH,P2,8,2,Oberösterreich | Wien,,,,https://firmen.wko.at/kala-immobilienmanagement-gmbh/ober%c3%b6sterreich/?firmaid=82c37824-afda-4ec0-b1ff-a5ef2c455f59&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; scale/management keyword
LIFING Gebäudetechnik & Verwaltung GmbH,P2,8,2,Niederösterreich | Wien,,,,https://firmen.wko.at/lifing-geb%c3%a4udetechnik-und-verwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=02c2ca23-59d5-4aaf-a4b0-2b702df99d75&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; scale/management keyword
McArthurGlen Management Gesellschaft m.b.H.,P2,8,2,Burgenland | Salzburg,,,,https://firmen.wko.at/mcarthurglen-management-gesellschaft-mbh/burgenland/?firmaid=394a8824-65cd-45fd-b37e-05d50d2ad59b&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; scale/management keyword
OM Objektmanagement GmbH,P2,8,2,Salzburg | Wien,,,,https://firmen.wko.at/om-objektmanagement-gmbh/salzburg/?firmaid=d2ecbca0-e2ff-4607-b88b-7f5f39952638&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; scale/management keyword
