canonical_key,company_name,aliases,wko_standort_count,states_seen,firmaids,addresses,website,all_websites,email,phones,profile_url,size_class_strict,size_reason_strict,adjacent_non_core_hint,karriere_exact_match,karriere_url,karriere_emp_min,karriere_emp_max,website_valid_mentions,wko_valid_mentions,direct_31plus_sources,group_31plus_sources,borderline_sources,strict_evidence,manual_review_required
apcoa austria gmbh,APCOA Austria GmbH,APCOA Austria GmbH,1,wien,c9f86de5-7380-41c6-b43b-08d902f1f8f6,Landstraßer Hauptstraße 146/13A 1030 Wien,http://www.apcoa.at/,http://www.apcoa.at/,,,https://firmen.wko.at/apcoa-austria-gmbh/wien/?firmaid=c9f86de5-7380-41c6-b43b-08d902f1f8f6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,yes,yes,https://www.karriere.at/f/apcoa-parking-austria,101,500,"5000 [exact] https://www.apcoa.at/karriere :: fältig wie die Welt des Parkens. Ob Parking, Charging, Technology oder Urban Solutions: Bei APCOA findet jeder seinen Platz. Als Europas Mobilitätsdienstleister Nr. 1 bewirtschaften wir mit 5.000 Mitarbeiter:innen in 12 europäischen Ländern über 1,6 Millionen Stellplätze an mehr als 13.000 Standorten. Wir bauen bei APCOA eine Kultur auf, in der wir gemeinsam wachsen und großartige Menschen (wie du) i",,1,1,0,"DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/apcoa-parking-austria|exact normalized legal-name match || GROUP|official/group website|5000|5000|https://www.apcoa.at/karriere|fältig wie die Welt des Parkens. Ob Parking, Charging, Technology oder Urban Solutions: Bei APCOA findet jeder seinen Platz. Als Europas Mobilitätsdienstleister Nr. 1 bewirtschaften wir mit 5.000 Mitarbeiter:innen in 12 europäischen Ländern über 1,6 Millionen Stellplätze an mehr als 13.000 Standorten. Wir bauen bei APCOA eine Kultur auf, in der wir gemeinsam wachsen und großartige Menschen (wie du) i",yes
apleona real estate at gmbh,Apleona Real Estate AT GmbH,Apleona Real Estate AT GmbH,1,wien,0c7fae37-ce34-4376-be1a-e8458a034c13,Bauernmarkt 12 1010 Wien,https://www.realestate.apleona.at/,https://www.realestate.apleona.at/,office.realestate.at@apleona.com,,https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/apleona-real-estate-at,501,,,,1,0,0,DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/apleona-real-estate-at|exact normalized legal-name match,yes
arealis liegenschaftsmanagement gmbh,AREALIS Liegenschaftsmanagement GmbH,AREALIS Liegenschaftsmanagement GmbH,1,wien,bb57aedf-9e61-488c-90ec-341d932136ae,Aspernbrückengasse 2 1020 Wien,http://www.arealis.at/,http://www.arealis.at/,office@arealis.at,+43%2001%20217180,https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/arealis-liegenschaftsmanagement,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/arealis-liegenschaftsmanagement|exact normalized legal-name match,yes
arev immobilien gesellschaft m b h,AREV Immobilien Gesellschaft m.b.H.,AREV Immobilien Gesellschaft m.b.H.,3,oberösterreich,c161f677-5e7a-4720-945d-e4475d198301 | cc63d200-453c-476c-a7d8-0f3c5ce2c867 | deed6f65-3a17-4e2c-8f7e-d9e81b0d83c8,Bahnhofplatz 2 4600 Wels | Europaplatz 4 4020 Linz | Hannesgrub Süd 6 4911 Tumeltsham,http://www.arev.at/,http://www.arev.at/,office.ried@arev.at,07752%2085%2088%2050%20,https://firmen.wko.at/arev-immobilien-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=c161f677-5e7a-4720-945d-e4475d198301&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,no,,,,"70 [exact] https://www.arev.at/aktuell/langjaehrige-mitarbeiter-innen-wurden-geehrt :: m Innkreis zusammen, um im Restaurant Alexandra exklusiv und ausgiebig Weihnachten zu feiern. Die AREV ist stolz darauf, so viele langjährige Mitarbeiter:innen in ihren Reihen zu haben! Von 70 Mitarbeiter:innen durften wir alleine in 2025 zwölf Kolleg:innen ehren für ihre langjährige Tätigkeit bei der AREV: 5 Jahre Teil des Teams sind: Florian Frauenhuber Bianca Graf Jelena Nedic Lukas Radlinger 1",,1,0,0,"DIRECT|official website|70|70|https://www.arev.at/aktuell/langjaehrige-mitarbeiter-innen-wurden-geehrt|m Innkreis zusammen, um im Restaurant Alexandra exklusiv und ausgiebig Weihnachten zu feiern. Die AREV ist stolz darauf, so viele langjährige Mitarbeiter:innen in ihren Reihen zu haben! Von 70 Mitarbeiter:innen durften wir alleine in 2025 zwölf Kolleg:innen ehren für ihre langjährige Tätigkeit bei der AREV: 5 Jahre Teil des Teams sind: Florian Frauenhuber Bianca Graf Jelena Nedic Lukas Radlinger 1",yes
at home fm services gmbh,at home FM Services GmbH,at home FM Services GmbH,1,wien,1b4d9f0a-4662-4913-8875-01224abd1df4,Hernalser Gürtel 1 1170 Wien,,,,,https://firmen.wko.at/at-home-fm-services-gmbh/wien/?firmaid=1b4d9f0a-4662-4913-8875-01224abd1df4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/at-home-fm-services,31,50,,,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/at-home-fm-services|exact normalized legal-name match,yes
boe gebäudemanagement gesellschaft m b h,BOE Gebäudemanagement Gesellschaft m.b.H.,BOE Gebäudemanagement Gesellschaft m.b.H.,2,tirol | wien,4cef397c-cbbe-45bc-8d3b-21ca36fae81b | 64beda56-957a-4f73-ab8d-e4bf0458d8e0,0512 55 17 00 | Kärntner Straße 13-15/5 1010 Wien,http://www.boe-parking.at/,http://www.boe-parking.at/,parken@boe.at,0512%2055%2017%2000,https://firmen.wko.at/boe-geb%c3%a4udemanagement-gesellschaft-mbh/tirol/?firmaid=4cef397c-cbbe-45bc-8d3b-21ca36fae81b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,yes,yes,https://www.karriere.at/f/boe-geb%C3%A4udemanagement,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/boe-geb%C3%A4udemanagement|exact normalized legal-name match,yes
brichard immobilien gmbh,Brichard Immobilien GmbH,Brichard Immobilien GmbH,1,wien,ddcbf14e-575a-457e-a7ac-3ba72a9cabb5,Peter-Jordan-Straße 8 1190 Wien,http://www.brichard.at/,http://www.brichard.at/,schranz@brichard.at,01%20369%2024%2050,https://firmen.wko.at/brichard-immobilien-gmbh/wien/?firmaid=ddcbf14e-575a-457e-a7ac-3ba72a9cabb5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,no,,,,"49 [exact] https://www.brichard.at/ueber-uns/team/ :: es Wettbewerbs „Great Place to Work“ werden jährlich die jeweils besten Arbeitgeber eines Landes ausgezeichnet. Brichard Immobilien wurde bereits 2013, in der Kategorie Kleinunternehmen (20-49 Mitarbeiter), als erstes Immobilienunternehmen Wiens, für seine Leistungen im Bereich Personal ausgezeichnet. Im Jahr 2018 erreichten wir sogar den 1. Platz österreichweit. Am 7. April 2020 durften wir || 45 [exact] https://www.brichard.at/ueber-uns/team/ :: , was gerade in einem Dienstleistungsunternehmen besonders wichtig ist. Teamgeist und Weiterbildung – für eine gute Hausverwaltung selbstverständlich Der Verantwortungsbereich der insgesamt 45 Mitarbeiterinnen und Mitarbeiter ist großzügig abgesteckt. Damit wird das Selbstwertgefühl gestärkt und die Qualität der Arbeit massiv verbessert. Werte wie Glaubwürdigkeit, Respekt, Fairness, Stolz und Tea || 10 [exact] https://www.brichard.at/great-place-to-work-2025-team-macht-den-unterschied/ :: ernehmenskultur Starke Führung & klare Vision Agile Innovations- & Fehlerkultur Mitarbeiterbindung & Talentförderung Engagement & Nachhaltigkeit Während im Österreich-Durchschnitt nur 5 von 10 Beschäftigten gerne zur Arbeit kommen, sind es bei den Besten Arbeitgebern 9 von 10 Mitarbeitenden.“ Quelle: Great Place to Work Österreich, Blogartikel „Österreichs Beste Arbeitgeber 2025 – Mit ausgezei",,1,1,0,"DIRECT|official website|49|49|https://www.brichard.at/ueber-uns/team/|es Wettbewerbs „Great Place to Work“ werden jährlich die jeweils besten Arbeitgeber eines Landes ausgezeichnet. Brichard Immobilien wurde bereits 2013, in der Kategorie Kleinunternehmen (20-49 Mitarbeiter), als erstes Immobilienunternehmen Wiens, für seine Leistungen im Bereich Personal ausgezeichnet. Im Jahr 2018 erreichten wir sogar den 1. Platz österreichweit. Am 7. April 2020 durften wir || GROUP|official/group website|45|45|https://www.brichard.at/ueber-uns/team/|, was gerade in einem Dienstleistungsunternehmen besonders wichtig ist. Teamgeist und Weiterbildung – für eine gute Hausverwaltung selbstverständlich Der Verantwortungsbereich der insgesamt 45 Mitarbeiterinnen und Mitarbeiter ist großzügig abgesteckt. Damit wird das Selbstwertgefühl gestärkt und die Qualität der Arbeit massiv verbessert. Werte wie Glaubwürdigkeit, Respekt, Fairness, Stolz und Tea",yes
erste group immorent gmbh,Erste Group Immorent GmbH,Erste Group Immorent GmbH,1,wien,fdce4001-db8e-4abe-bca3-5b26a315c7dd,Am Belvedere 1 1100 Wien,https://www.erstegroupimmorent.com/,https://www.erstegroupimmorent.com/,office.wien@immorent.com,05010027000,https://firmen.wko.at/erste-group-immorent-gmbh-erste-group-immorent-gmbh/wien/?firmaid=fdce4001-db8e-4abe-bca3-5b26a315c7dd&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/erste-group-immorent,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/erste-group-immorent|exact normalized legal-name match,yes
frieda rustler gebäudeverwaltung gmbh und co kg,Frieda Rustler Gebäudeverwaltung GmbH & Co KG,Frieda Rustler Gebäudeverwaltung GmbH & Co KG,6,kärnten | oberösterreich | salzburg | steiermark | tirol | wien,eaece165-7f32-4ffe-9a7e-d03f164975ee | adfd8730-4bd8-460c-aae6-0cc0b248685e | 1ee5ecb7-2ab7-4164-8aff-7971bec3175b | 2c171fce-fa55-453e-ac22-0a16194b4491 | 9a6ab8bb-66ba-493c-9451-08d79589a702 | 8577b5a9-a66e-49ee-869e-d413750522c9,Friedensstraße 11 5020 Salzburg | Wielandgasse 2 8010 Graz | Domplatz 2 9020 Klagenfurt am Wörthersee | Physiothermstraße 1 6065 Thaur | Mozartstraße 12-14 4020 Linz | Mariahilfer Straße 196 1150 Wien,http://www.rustler.eu/,http://www.rustler.eu/,office@verwaltung.rustler.eu,01/891%2039-0,https://firmen.wko.at/frieda-rustler-geb%c3%a4udeverwaltung-gmbh-und-co-kg/salzburg/?firmaid=eaece165-7f32-4ffe-9a7e-d03f164975ee&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,no,,,,"900 [over] https://rustler.eu/ :: bhängigen und marktführenden Immobiliendienstleister entwickelt. 1935 von Frieda Rustler gegründet, erbringen wir für Sie, als eigentümergeführtes Familienunternehmen, gemeinsam mit unseren über 900 MitarbeiterInnen in Österreich, Deutschland, Serbien, Ungarn, Rumänien und der Ukraine immobilienbezogene Dienstleistungen von der klassischen Hausverwaltung über technisches Facility Management, Immobilien || 900 [exact] https://rustler.eu/ :: igen und marktführenden Immobiliendienstleister entwickelt. 1935 von Frieda Rustler gegründet, erbringen wir für Sie, als eigentümergeführtes Familienunternehmen, gemeinsam mit unseren über 900 MitarbeiterInnen in Österreich, Deutschland, Serbien, Ungarn, Rumänien und der Ukraine immobilienbezogene Dienstleistungen von der klassischen Hausverwaltung über technisches Facility Management, Immobilien || 900 [over] https://rustler.eu/gruppe/geschichte/ :: llem Gehalt oder einer sechsten Urlaubswoche schaffen wir für Sie mehr Freizeit, unterstützen Ihre ausgewogene Work-Life-Balance und fördern Ihre Zufriedenheit. Heute Heute beschäftigen wir mehr als 900 Mitarbeiterinnen und Mitarbeiter in Österreich sowie CEE und der Gesellschafterkreis besteht aus fünf PartnerInnen: Michael Moshammer, Peter Rustler, Martin Troger, Julia Wegerer-Rustler, Robert Wegerer Die || 500 [exact] https://rustler.eu/gruppe/geschichte/ :: nnen wir es unseren Kundinnen ermöglichen, Kontoauszüge, Mietverträge, Vorschreibungen und vieles mehr online einzusehen. 2008 Einführung einer Holding Struktur 2009 Rustler beschäftigt nun 500 Mitarbeiter und Mitarbeiterinnen in Österreich und CEE 2011 Die Rustler Gruppe setzt ihren ersten innerösterreichischen Expansionsschritt und eröffnet den Standort Linz. Ab 2011 folgen weitere Standort || 900 [exact] https://rustler.eu/gruppe/geschichte/ :: lt oder einer sechsten Urlaubswoche schaffen wir für Sie mehr Freizeit, unterstützen Ihre ausgewogene Work-Life-Balance und fördern Ihre Zufriedenheit. Heute Heute beschäftigen wir mehr als 900 Mitarbeiterinnen und Mitarbeiter in Österreich sowie CEE und der Gesellschafterkreis besteht aus fünf PartnerInnen: Michael Moshammer, Peter Rustler, Martin Troger, Julia Wegerer-Rustler, Robert Wegerer Die",,1,1,0,"DIRECT|official website|900|900|https://rustler.eu/|bhängigen und marktführenden Immobiliendienstleister entwickelt. 1935 von Frieda Rustler gegründet, erbringen wir für Sie, als eigentümergeführtes Familienunternehmen, gemeinsam mit unseren über 900 MitarbeiterInnen in Österreich, Deutschland, Serbien, Ungarn, Rumänien und der Ukraine immobilienbezogene Dienstleistungen von der klassischen Hausverwaltung über technisches Facility Management, Immobilien || GROUP|official/group website|500|500|https://rustler.eu/gruppe/geschichte/|nnen wir es unseren Kundinnen ermöglichen, Kontoauszüge, Mietverträge, Vorschreibungen und vieles mehr online einzusehen. 2008 Einführung einer Holding Struktur 2009 Rustler beschäftigt nun 500 Mitarbeiter und Mitarbeiterinnen in Österreich und CEE 2011 Die Rustler Gruppe setzt ihren ersten innerösterreichischen Expansionsschritt und eröffnet den Standort Linz. Ab 2011 folgen weitere Standort",yes
gws bau und verwaltungsgesellschaft m b h,GWS Bau- und Verwaltungsgesellschaft m.b.H.,GWS Bau- und Verwaltungsgesellschaft m.b.H.,1,steiermark,e6e3e12a-86b4-44e3-a38f-49ba68475820,Plüddemanngasse 107 8042 Graz,http://www.gws-exklusiv.at/,http://www.gws-exklusiv.at/,gws@gws-wohnen.at,+43%20(0)316-8054-0,https://firmen.wko.at/gws-bau-und-verwaltungsgesellschaft-mbh/steiermark/?firmaid=e6e3e12a-86b4-44e3-a38f-49ba68475820&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,no,,,,"90 [approx] https://www.gws-wohnen.at/gws/zahlen-fakten-daten/ :: m in allen Abteilungen der GWS macht den Erfolg aus – und spürbar für alle Bewohnerinnen und Bewohner. Kompetenz, Einsatzfreude und Loyalität ermöglichen das Service und den Erfolg der GWS: Rund 90 Mitarbeiterinnen und Mitarbeiter machen unser Team aus, das direkt in der Betreuung von Kunden und Interessenten sowie hinter den Kulissen im Einsatz ist. Sie bieten Service im ganz großen Stil, denn rund 2 || 90 [exact] https://www.gws-wohnen.at/gws/zahlen-fakten-daten/ :: allen Abteilungen der GWS macht den Erfolg aus – und spürbar für alle Bewohnerinnen und Bewohner. Kompetenz, Einsatzfreude und Loyalität ermöglichen das Service und den Erfolg der GWS: Rund 90 Mitarbeiterinnen und Mitarbeiter machen unser Team aus, das direkt in der Betreuung von Kunden und Interessenten sowie hinter den Kulissen im Einsatz ist. Sie bieten Service im ganz großen Stil, denn rund 2",,1,0,0,"DIRECT|official website|90|90|https://www.gws-wohnen.at/gws/zahlen-fakten-daten/|m in allen Abteilungen der GWS macht den Erfolg aus – und spürbar für alle Bewohnerinnen und Bewohner. Kompetenz, Einsatzfreude und Loyalität ermöglichen das Service und den Erfolg der GWS: Rund 90 Mitarbeiterinnen und Mitarbeiter machen unser Team aus, das direkt in der Betreuung von Kunden und Interessenten sowie hinter den Kulissen im Einsatz ist. Sie bieten Service im ganz großen Stil, denn rund 2",yes
