no,company_name,stage3_scope,stage2_process_fit_class,stage2_size_class,management,immediate_owners,ownership_pct,ultimate_control,ownership_type,primary_dm,primary_dm_role,primary_dm_reason,website,wko_url,source_urls,confidence,review_note,research_complete
1,Bundesimmobiliengesellschaft m.b.H.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,DI Gerald Beck; Mag Dr Christine Dornaus,Österreichische Beteiligungs AG (ÖBAG),100% sole shareholder,Republic of Austria via ÖBAG,PUBLIC_STATE,Gerald Beck; Christine Dornaus,Geschäftsführer,State/corporate ownership; Austrian operational management is the actionable decision layer,http://www.big.at/,https://firmen.wko.at/bundesimmobiliengesellschaft-mbh/salzburg/?firmaid=f7c879d8-490a-4266-9e0c-4cf7464be9d4&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/34897w | https://firmen.wko.at/bundesimmobiliengesellschaft-mbh/salzburg/?firmaid=f7c879d8-490a-4266-9e0c-4cf7464be9d4&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
2,GWS Bau- und Verwaltungsgesellschaft m.b.H.,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Mag (FH) Martina Haas; DI Thomas Purgstaller,GWS Gemeinnützige Alpenländische Gesellschaft für Wohnungsbau und Siedlungswesen m.b.H.,100% sole shareholder,GWS parent housing organisation,CORPORATE_GROUP,Martina Haas; Thomas Purgstaller,Geschäftsführer,Sole institutional parent; local managing directors are outreach targets,http://www.gws-exklusiv.at/,https://firmen.wko.at/gws-bau-und-verwaltungsgesellschaft-mbh/steiermark/?firmaid=e6e3e12a-86b4-44e3-a38f-49ba68475820&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/220100b | https://firmen.wko.at/gws-bau-und-verwaltungsgesellschaft-mbh/steiermark/?firmaid=e6e3e12a-86b4-44e3-a38f-49ba68475820&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current since July 2026,yes
3,Kaiserer Immobilien und Hausverwaltungs GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Alfred Thaler; Ing Stefan Kaiserer,Kaiserer Architektur und Sachverständigen GmbH,100%,Kaiserer family/group via parent company,CORPORATE_GROUP,Stefan Kaiserer; Alfred Thaler,Geschäftsführer,Current corporate management; parent is a 100% shareholder,http://www.kaiserer.at/,https://firmen.wko.at/kaiserer-immobilien-und-hausverwaltungs-gmbh/tirol/?firmaid=b9e7f7f1-17ea-40a5-a187-612ad6a1b632&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.firmenabc.at/kaiserer-immobilien-und-hausverwaltungs-gmbh_OWfh | https://www.unternehmensdaten.at/cz/unternehmen/484601z-kaiserer-immobilien-und-hausverwaltungs-gmbh | https://firmen.wko.at/kaiserer-immobilien-und-hausverwaltungs-gmbh/tirol/?firmaid=b9e7f7f1-17ea-40a5-a187-612ad6a1b632&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Management change visible 28 Aug 2026; ownership 100% parent,yes
4,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Doris Pühringer (GF of general partner); Anna Riedmann (Prokuristin),PÜHRINGER Hausverwaltung & Immobilien GmbH (general partner); Doris Pühringer; Anna Riedmann,KG shares not expressed as percentages; general-partner GmbH solely owned by Doris Pühringer,Doris Pühringer,INDIVIDUAL_FAMILY_CONTROL,Doris Pühringer,Owner / Geschäftsführerin,Sole owner and GF of the managing general-partner GmbH plus direct KG participation,,https://firmen.wko.at/p%c3%9chringer-hausverwaltung-und-immobilien-gmbh-und-co-kg/tirol/?firmaid=6cedac63-45ff-49c7-b18a-5b6f07252d55&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/482387v | https://www.evi.gv.at/f/482097t | https://firmen.wko.at/p%c3%9chringer-hausverwaltung-und-immobilien-gmbh-und-co-kg/tirol/?firmaid=6cedac63-45ff-49c7-b18a-5b6f07252d55&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
5,VIVIR Holding GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Stefan Salinger,Karmelitenkonvent,100% sole shareholder,Karmelitenkonvent,RELIGIOUS_INSTITUTION,Stefan Salinger,Geschäftsführer,Institutional owner; local GF is operational decision maker,http://www.vivir-holding.at/,https://firmen.wko.at/vivir-holding-gmbh-vivir-holdingat/ober%c3%b6sterreich/?firmaid=26646e63-0c26-48b2-ae19-de1481beb92a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/240824d | https://firmen.wko.at/vivir-holding-gmbh-vivir-holdingat/ober%c3%b6sterreich/?firmaid=26646e63-0c26-48b2-ae19-de1481beb92a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
6,BUWOG - Bauen und Wohnen Gesellschaft mbH,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Martin Puckl; Andreas Holler; Mag Kevin Töpfer,GENA ZWEI Immobilienholding GmbH; BUWOG Group GmbH,Percent split not shown in free EVI,Vonovia SE / BUWOG group,CORPORATE_GROUP,Martin Puckl; Andreas Holler,Geschäftsführer,Global corporate ownership; Austrian BUWOG management is first outreach layer,http://www.buwog.at/,https://firmen.wko.at/buwog-bauen-und-wohnen-gesellschaft-mbh/salzburg/?firmaid=431cb0a6-d8ea-407d-ba26-0a4f38714c17&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/123812b | https://report.vonovia.com/2025/q4/de/anteilsbesitzliste | https://firmen.wko.at/buwog-bauen-und-wohnen-gesellschaft-mbh/salzburg/?firmaid=431cb0a6-d8ea-407d-ba26-0a4f38714c17&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Vonovia group report lists BUWOG entity at 100% group ownership,yes
7,Hammerl Immobilien Management GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Birgitt Hammerl,Robert Hammerl; Birgitt Hammerl,Not publicly shown in free EVI,Hammerl family,INDIVIDUAL_FAMILY_CONTROL,Birgitt Hammerl,Geschäftsführerin / Gesellschafterin,Owner-manager and operational head,http://hammerl.at/,https://firmen.wko.at/hammerl-immobilien-management-gmbh/wien/?firmaid=45e08b32-768a-442c-88b0-d46c39e7971d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/274410w | https://firmen.wko.at/hammerl-immobilien-management-gmbh/wien/?firmaid=45e08b32-768a-442c-88b0-d46c39e7971d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
8,KALA Immobilienmanagement GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Karin Seyr; Manuela Steinkellner,Karin Seyr; Manuela Steinkellner,Not publicly shown in free EVI,Karin Seyr; Manuela Steinkellner,PARTNER_OWNED,Karin Seyr; Manuela Steinkellner,Geschäftsführerinnen / Gesellschafterinnen,Both managing directors are also shareholders,,https://firmen.wko.at/kala-immobilienmanagement-gmbh/ober%c3%b6sterreich/?firmaid=02b59784-8383-4778-ab3d-9f4269796431&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/478163g | https://firmen.wko.at/kala-immobilienmanagement-gmbh/ober%c3%b6sterreich/?firmaid=02b59784-8383-4778-ab3d-9f4269796431&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
9,Raiffeisen Realitäten Betreuung Tirol GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Mag Philipp Thomasberger; DI(FH) Bernhard Matt; Stefan Ruggenthaler MA,Raiffeisen-Landesbank Tirol AG; Raiffeisen Investment Advisory GmbH,Not publicly shown in free EVI,Raiffeisen Tirol group,CORPORATE_GROUP,Philipp Thomasberger; Bernhard Matt; Stefan Ruggenthaler,Geschäftsführer,Corporate bank ownership; current operational management is outreach layer,,https://firmen.wko.at/raiffeisen-realit%c3%a4ten-betreuung-tirol-gmbh/tirol/?firmaid=58a6068a-c7cb-4d7d-8c99-54835331d4fa&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/36313b | https://rbt.at/de/kontakt/geschaeftsfuehrung.html | https://firmen.wko.at/raiffeisen-realit%c3%a4ten-betreuung-tirol-gmbh/tirol/?firmaid=58a6068a-c7cb-4d7d-8c99-54835331d4fa&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Includes April/August 2026 management updates,yes
10,WAG Wohnungsanlagen Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Ing Mag (FH) Markus Hinterplattner; Mag Markus Kehrer; Ing MMag Dr Jürgen Harich,Beteiligungs- und Immobilien GmbH; Beteiligungs- und Wohnungsanlagen GmbH,Not publicly shown in free EVI,"WAG ownership group backed by Raiffeisenlandesbank OÖ, Wiener Städtische, HYPO OÖ and OÖ Versicherung",CORPORATE_GROUP,Jürgen Harich; Markus Hinterplattner; Markus Kehrer,Geschäftsführer,Institutional ownership; current three-person executive team is operational decision layer,http://www.wag.at/,https://firmen.wko.at/wag-wohnungsanlagen-gesellschaft-mbh/salzburg/?firmaid=e42cf0aa-9bb1-4309-969b-1418bbc090e1&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/78487y | https://www.wag.at/die-wag/ueber-die-wag | https://firmen.wko.at/wag-wohnungsanlagen-gesellschaft-mbh/salzburg/?firmaid=e42cf0aa-9bb1-4309-969b-1418bbc090e1&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Official WAG site confirms management and ultimate owner institutions,yes
