group_key,group_name,company_name,websites,wko_url,states_seen,addresses,process_fit_class,process_fit_reason,size_class,size_confidence,stage3_scope,management,owners,ultimate_owner,ownership_structure,ownership_type,primary_dm,primary_dm_roles,owner_confidence,owner_source_urls,owner_review_note
BIG group,Bundesimmobiliengesellschaft m.b.H.,Bundesimmobiliengesellschaft m.b.H.,http://www.big.at/ | http://www.big.at/,https://firmen.wko.at/bundesimmobiliengesellschaft-mbh/salzburg/?firmaid=f7c879d8-490a-4266-9e0c-4cf7464be9d4&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | vorarlberg | wien,Aigner Straße 8 5020 Salzburg | Anzengrubergasse 6-8 8010 Graz | Burgplatz 2 2700 Wiener Neustadt | Straße der Gendarmerie 5 2700 Wiener Neustadt | Niederösterreich-Ring 2 3100 St. Pölten | Schillerstraße 2 6800 Feldkirch | Herrengasse 9 9020 Klagenfurt am Wörthersee | Kaiserjägerstraße 12 6020 Innsbruck | Prunerstraße 5 4020 Linz | Rosensteingasse 79(SCHULE) 1170 Wien | Althanstraße 14(ZOOLOG.INST.) 1090 Wien | Veterinärplatz 1 1210 Wien | Severingasse 9(BUNDESLEHRANSTALT) 1090 Wien | Trabrennstraße 2C 1020 Wien | Schlickplatz 6(ROSSAUER KASERNE) 1090 Wien | Grenzackerstraße 18 1100 Wien | Wiedner Hauptstraße 8-10 1040 Wien | Dampfschiffstraße 4 1030 Wien | Hohe Warte 38 1190 Wien | Wexstraße 19-23(SCHULE) 1200 Wien | Wiedner Hauptstraße 7 1040 Wien,ADD_TO_SALES_POOL,"large property operator with Hausverwaltung, tenant service, operating-cost accounting and maintenance workflows",E_ADJACENT_30_PLUS,high,MAIN,Arbeitgeberin Wofür [Partner]; Karriere Ansprechpartner [Partner]; English Mehrwert [Partner]; Zukunftsräume Wir [Partner]; Schule Wir [Partner]; Sicherheit Wir [Partner]; Hand Wir [Management]; Nachhaltigkeit Wir [Management]; Projekte Haben Sie [Partner]; Partnern Maß [Partner],Machen Sie (); Als Eigentümerin (); Facility Manage (); Thomas Rasch (); BR Daniela Böckl (); BR Jürgen Krausler (); Österreichische Bundes (); Österreichische Universitätenkonferenz Universitäten Als (); Unternehmensbereich Universitäten (); Österreichische Akademie (),Machen Sie; Als Eigentümerin; Facility Manage; Thomas Rasch,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Machen Sie; Als Eigentümerin,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ | https://www.big.at/ueber-uns/personen-organisation | https://www.big.at/ueber-uns/personen-organisation | https://www.big.at/ueber-uns/personen-organisation | https://www.big.at/ueber-uns/personen-organisation | https://www.big.at/ueber-uns/portfolio,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
GWS Bau- und Verwaltungsgesellschaft m.b.H.,GWS Bau- und Verwaltungsgesellschaft m.b.H.,GWS Bau- und Verwaltungsgesellschaft m.b.H.,http://www.gws-exklusiv.at/ | http://www.gws-exklusiv.at/,https://firmen.wko.at/gws-bau-und-verwaltungsgesellschaft-mbh/steiermark/?firmaid=e6e3e12a-86b4-44e3-a38f-49ba68475820&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,steiermark,Plüddemanngasse 107 8042 Graz,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,In Bau Graz [Partner]; Gries Rankengasse [Management]; Mietwohnungen Kurzfristig [Partner]; In Bau Graz-Umgebung [Management]; Nestelbach Hauptstraße [Management]; Jasmin Wieland [Geschäftsführer]; Karenz Mag [Geschäftsführer]; Martina Haas Geschäftsführerin [Geschäftsführer]; Michaela Painsi Assistentin [Geschäftsführer]; Daten Auszeichnungen Standort News [Geschäftsführung],FA Energie (); Graz Gesellschafter (); Diese Website (),FA Energie; Graz Gesellschafter; Diese Website,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,FA Energie; Graz Gesellschafter,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.gws-wohnen.at/?exclusive=1 | https://www.gws-wohnen.at/?exclusive=1 | https://www.gws-wohnen.at/?exclusive=1 | https://www.gws-wohnen.at/?exclusive=1 | https://www.gws-wohnen.at/?exclusive=1 | https://www.gws-wohnen.at/gws/team/ | https://www.gws-wohnen.at/gws/team/ | https://www.gws-wohnen.at/gws/team/ | https://www.gws-wohnen.at/gws/impressum/ | https://www.gws-wohnen.at/gws/impressum/ | https://www.gws-wohnen.at/gws/impressum/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Kaiserer Immobilien und Hausverwaltungs GmbH,Kaiserer Immobilien und Hausverwaltungs GmbH,Kaiserer Immobilien und Hausverwaltungs GmbH,http://www.kaiserer.at/ | http://www.kaiserer.at/,https://firmen.wko.at/kaiserer-immobilien-und-hausverwaltungs-gmbh/tirol/?firmaid=b9e7f7f1-17ea-40a5-a187-612ad6a1b632&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,tirol,Dorf 31 6210 Wiesing,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,Ihr Projekt [Partner]; JETZT ANFRAGEN Starke Partnerschaften [Partner],Alex Gretter (); Envato Elements (),Alex Gretter; Envato Elements,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Alex Gretter; Envato Elements,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.kaiserer.at/ | https://www.kaiserer.at/ | https://www.kaiserer.at/impressum | https://www.kaiserer.at/impressum,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,,https://firmen.wko.at/p%c3%9chringer-hausverwaltung-und-immobilien-gmbh-und-co-kg/tirol/?firmaid=6cedac63-45ff-49c7-b18a-5b6f07252d55&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,tirol,Dorf 11 6260 Bruck am Ziller,PRIMARY_CORE,existing agent-first core target,C_CORE_20_PLUS_RANGE,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
VIVIR Holding GmbH,VIVIR Holding GmbH,VIVIR Holding GmbH,http://www.vivir-holding.at/ | http://www.vivir-holding.at/,https://firmen.wko.at/vivir-holding-gmbh-vivir-holdingat/ober%c3%b6sterreich/?firmaid=26646e63-0c26-48b2-ae19-de1481beb92a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich,Landstraße 33 4020 Linz,ADD_TO_SALES_POOL,licensed Immobilienverwalter; recurring real-estate administration qualifies for process-fit pool,E_ADJACENT_30_PLUS,high,MAIN,Ihre Immobilien [Partner]; Entwicklung Ihres [Management]; Kornelia ATRIUM City Center [Geschäftsführer]; Leitung Mag [Geschäftsführer]; Mario Loncaric Immobilienverwaltung Markus [Geschäftsführer],Nutzen Sie (); Sie Ihre Immobilie (); Navigation Startseite Projekte Miet-Angebote (),Nutzen Sie; Sie Ihre Immobilie; Navigation Startseite Projekte Miet-Angebote,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Nutzen Sie; Sie Ihre Immobilie,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://vivir-holding.at/ | https://vivir-holding.at/ | https://vivir-holding.at/team/ | https://vivir-holding.at/team/ | https://vivir-holding.at/team/ | https://vivir-holding.at/ | https://vivir-holding.at/ | https://vivir-holding.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
BUWOG group,BUWOG - Bauen und Wohnen Gesellschaft mbH,BUWOG - Bauen und Wohnen Gesellschaft mbH,http://www.buwog.at/ | http://www.buwog.at/,https://firmen.wko.at/buwog-bauen-und-wohnen-gesellschaft-mbh/salzburg/?firmaid=431cb0a6-d8ea-407d-ba26-0a4f38714c17&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,kärnten | salzburg | steiermark | wien,Reichenhaller Straße 6-8 5020 Salzburg | Waagner-Biro-Straße 124/5. OG 8020 Graz | Tiroler Straße 17 9500 Villach | Rathausstraße 1 1010 Wien,PRIMARY_CORE,existing agent-first core target,B_CORE_30_PLUS_GROUP,high,MAIN,Haftung Sitz [Geschäftsführung]; Andreas Holler [Geschäftsführung]; BSc Mag [Geschäftsführung],In Entsprechung (),In Entsprechung,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,In Entsprechung,Owner/Gesellschafter,MEDIUM_HIGH,https://www.buwog.at/impressum | https://www.buwog.at/impressum | https://www.buwog.at/impressum | https://www.buwog.at/impressum,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Hammerl Immobilien Management GmbH,Hammerl Immobilien Management GmbH,Hammerl Immobilien Management GmbH,http://hammerl.at/ | http://hammerl.at/,https://firmen.wko.at/hammerl-immobilien-management-gmbh/wien/?firmaid=45e08b32-768a-442c-88b0-d46c39e7971d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Marksteinergasse 13 1210 Wien,PRIMARY_CORE,existing agent-first core target,C_CORE_20_PLUS_RANGE,high,MAIN,Datenschutz-old-api-cm Ihr [Partner]; Verwaltung Ihrer Immobilie [Partner]; Ihre Anliegen [Partner]; LLM Recht [Geschäftsführung]; Adresse Marksteinergasse [Geschäftsführung]; Ihr Anliegen [Partner]; Liegenschaftsbetreuung Ihre Ansprechpartner [Partner]; Buchhaltung Ihre Ansprechpartner [Partner]; Person Mag [Geschäftsführer]; Immobilientreuhänder Behörde Magistratisches Bezirksamt [Management],Durch Kundenorientierung (); Ihr Immobilienmanager Information (); Rechte Dritter (),Durch Kundenorientierung; Ihr Immobilienmanager Information; Rechte Dritter,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Durch Kundenorientierung; Ihr Immobilienmanager Information,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.hammerl.at | https://www.hammerl.at | https://www.hammerl.at/unternehmen | https://www.hammerl.at/team | https://www.hammerl.at/team | https://www.hammerl.at/team | https://www.hammerl.at/team | https://www.hammerl.at/team | https://www.hammerl.at | https://www.hammerl.at/unternehmen | https://www.hammerl.at/impressum,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
KALA Immobilienmanagement GmbH,KALA Immobilienmanagement GmbH,KALA Immobilienmanagement GmbH,,https://firmen.wko.at/kala-immobilienmanagement-gmbh/ober%c3%b6sterreich/?firmaid=02b59784-8383-4778-ab3d-9f4269796431&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich | wien,Fadingerstraße 15 4020 Linz | Gumpendorfer Straße 5 1060 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Raiffeisen Realitäten Betreuung Tirol GmbH,Raiffeisen Realitäten Betreuung Tirol GmbH,Raiffeisen Realitäten Betreuung Tirol GmbH,,https://firmen.wko.at/raiffeisen-realit%c3%a4ten-betreuung-tirol-gmbh/tirol/?firmaid=58a6068a-c7cb-4d7d-8c99-54835331d4fa&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,tirol,Dr.-Glatz-Straße 12 6020 Innsbruck,PRIMARY_CORE,existing agent-first core target,C_CORE_20_PLUS_RANGE,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
WAG Wohnungsanlagen Gesellschaft m.b.H.,WAG Wohnungsanlagen Gesellschaft m.b.H.,WAG Wohnungsanlagen Gesellschaft m.b.H.,http://www.wag.at/ | http://www.wag.at/,https://firmen.wko.at/wag-wohnungsanlagen-gesellschaft-mbh/salzburg/?firmaid=e42cf0aa-9bb1-4309-969b-1418bbc090e1&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich | salzburg | steiermark | wien,Fanny-v.-Lehnert-Straße 19 5020 Salzburg | Styriagasse 6 8750 Judenburg | Karlauerstraße 17 8020 Graz | Mozartgasse 4 8570 Voitsberg | Reichensteinstraße 24 8793 Trofaiach | Hans-Wagner-Straße 22 4400 Steyr | Sissy-Löwinger-Weg 7/1 1100 Wien,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,Ihre Hausverwaltung [Partner]; Ansprechpartnern TOP Immobilien Wohnen [Partner]; Hörrgasse In Leonding [Partner]; Stadtteil Doppl [Partner]; Allen Wohnungen [Management]; Jobs Initiativ [Partner]; Arbeitgeber Wohnungsanmeldung Suche Ansprechpartner [Partner]; Oberösterreich Steiermark Salzburg Niederösterreich [Partner]; Zentrale Linz Corinna Koch [Partner]; Petra Philipp [Partner],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,Alexander Taferner Tel; Allen Wohnungen; Ansprechpartnern TOP Immobilien Wohnen,Partner; Management; Partner,MEDIUM_HIGH,https://www.wag.at/ | https://www.wag.at/ | https://www.wag.at/ | https://www.wag.at/ | https://www.wag.at/ | https://www.wag.at/wohnservice/hausverwaltung | https://www.wag.at/wohnservice/hausverwaltung | https://www.wag.at/wohnservice/hausverwaltung,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
