no,company_name,group_name,group_key,stage3_scope,process_fit_class,size_class,management,immediate_owners,ownership_pct,ultimate_control,ownership_type,primary_dm,primary_dm_role,confidence,source_urls,review_status
1,Bundesimmobiliengesellschaft m.b.H.,Bundesimmobiliengesellschaft m.b.H.,BIG group,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,DI Gerald Beck Dr [Geschäftsführer/Management],,,,UNRESOLVED,DI Gerald Beck Dr,Geschäftsführer/Management,MEDIUM_HIGH,https://www.big.at/impressum,MANUAL_REVIEW
2,GWS Bau- und Verwaltungsgesellschaft m.b.H.,GWS Bau- und Verwaltungsgesellschaft m.b.H.,GWS Bau- und Verwaltungsgesellschaft m.b.H.,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
3,Kaiserer Immobilien und Hausverwaltungs GmbH,Kaiserer Immobilien und Hausverwaltungs GmbH,Kaiserer Immobilien und Hausverwaltungs GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
4,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
5,VIVIR Holding GmbH,VIVIR Holding GmbH,VIVIR Holding GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Albrecht Kornelia ATRIUM City [Geschäftsführer/Management],,,,UNRESOLVED,Albrecht Kornelia ATRIUM City,Geschäftsführer/Management,MEDIUM_HIGH,https://vivir-holding.at/team/,MANUAL_REVIEW
6,BUWOG - Bauen und Wohnen Gesellschaft mbH,BUWOG - Bauen und Wohnen Gesellschaft mbH,BUWOG group,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
7,Hammerl Immobilien Management GmbH,Hammerl Immobilien Management GmbH,Hammerl Immobilien Management GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
8,KALA Immobilienmanagement GmbH,KALA Immobilienmanagement GmbH,KALA Immobilienmanagement GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
9,Raiffeisen Realitäten Betreuung Tirol GmbH,Raiffeisen Realitäten Betreuung Tirol GmbH,Raiffeisen Realitäten Betreuung Tirol GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
10,WAG Wohnungsanlagen Gesellschaft m.b.H.,WAG Wohnungsanlagen Gesellschaft m.b.H.,WAG Wohnungsanlagen Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
11,AREALIS Liegenschaftsmanagement GmbH,AREALIS Liegenschaftsmanagement GmbH,AREALIS Liegenschaftsmanagement GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
12,FLE GmbH,FLE GmbH,FLE GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
13,Immobilienverwaltung Mag. Alois Rosenberger GmbH,Immobilienverwaltung Mag. Alois Rosenberger GmbH,Immobilienverwaltung Mag. Alois Rosenberger GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
14,OM Objektmanagement GmbH,OM Objektmanagement GmbH,OM Objektmanagement GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
