no	company_name	group_name	group_key	website	wko_url	process_fit_class	size_class
1	Bundesimmobiliengesellschaft m.b.H.	Bundesimmobiliengesellschaft m.b.H.	BIG group	http://www.big.at/	https://firmen.wko.at/bundesimmobiliengesellschaft-mbh/salzburg/?firmaid=f7c879d8-490a-4266-9e0c-4cf7464be9d4&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
2	GWS Bau- und Verwaltungsgesellschaft m.b.H.	GWS Bau- und Verwaltungsgesellschaft m.b.H.	GWS Bau- und Verwaltungsgesellschaft m.b.H.	http://www.gws-exklusiv.at/	https://firmen.wko.at/gws-bau-und-verwaltungsgesellschaft-mbh/steiermark/?firmaid=e6e3e12a-86b4-44e3-a38f-49ba68475820&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
3	Kaiserer Immobilien und Hausverwaltungs GmbH	Kaiserer Immobilien und Hausverwaltungs GmbH	Kaiserer Immobilien und Hausverwaltungs GmbH	http://www.kaiserer.at/	https://firmen.wko.at/kaiserer-immobilien-und-hausverwaltungs-gmbh/tirol/?firmaid=b9e7f7f1-17ea-40a5-a187-612ad6a1b632&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
4	PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG	PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG	PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG		https://firmen.wko.at/p%c3%9chringer-hausverwaltung-und-immobilien-gmbh-und-co-kg/tirol/?firmaid=6cedac63-45ff-49c7-b18a-5b6f07252d55&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	C_CORE_20_PLUS_RANGE
5	VIVIR Holding GmbH	VIVIR Holding GmbH	VIVIR Holding GmbH	http://www.vivir-holding.at/	https://firmen.wko.at/vivir-holding-gmbh-vivir-holdingat/ober%c3%b6sterreich/?firmaid=26646e63-0c26-48b2-ae19-de1481beb92a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
6	BUWOG - Bauen und Wohnen Gesellschaft mbH	BUWOG - Bauen und Wohnen Gesellschaft mbH	BUWOG group	http://www.buwog.at/	https://firmen.wko.at/buwog-bauen-und-wohnen-gesellschaft-mbh/salzburg/?firmaid=431cb0a6-d8ea-407d-ba26-0a4f38714c17&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	B_CORE_30_PLUS_GROUP
7	Hammerl Immobilien Management GmbH	Hammerl Immobilien Management GmbH	Hammerl Immobilien Management GmbH	http://hammerl.at/	https://firmen.wko.at/hammerl-immobilien-management-gmbh/wien/?firmaid=45e08b32-768a-442c-88b0-d46c39e7971d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	C_CORE_20_PLUS_RANGE
8	KALA Immobilienmanagement GmbH	KALA Immobilienmanagement GmbH	KALA Immobilienmanagement GmbH		https://firmen.wko.at/kala-immobilienmanagement-gmbh/ober%c3%b6sterreich/?firmaid=02b59784-8383-4778-ab3d-9f4269796431&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
9	Raiffeisen Realitäten Betreuung Tirol GmbH	Raiffeisen Realitäten Betreuung Tirol GmbH	Raiffeisen Realitäten Betreuung Tirol GmbH		https://firmen.wko.at/raiffeisen-realit%c3%a4ten-betreuung-tirol-gmbh/tirol/?firmaid=58a6068a-c7cb-4d7d-8c99-54835331d4fa&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	C_CORE_20_PLUS_RANGE
10	WAG Wohnungsanlagen Gesellschaft m.b.H.	WAG Wohnungsanlagen Gesellschaft m.b.H.	WAG Wohnungsanlagen Gesellschaft m.b.H.	http://www.wag.at/	https://firmen.wko.at/wag-wohnungsanlagen-gesellschaft-mbh/salzburg/?firmaid=e42cf0aa-9bb1-4309-969b-1418bbc090e1&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
11	AREALIS Liegenschaftsmanagement GmbH	AREALIS Liegenschaftsmanagement GmbH	AREALIS Liegenschaftsmanagement GmbH	http://www.arealis.at/	https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
12	FLE GmbH	FLE GmbH	FLE GmbH		https://firmen.wko.at/fle-gmbh/wien/?firmaid=7dfc7864-809d-4186-b383-5ae15c289bd3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
13	Immobilienverwaltung Mag. Alois Rosenberger GmbH	Immobilienverwaltung Mag. Alois Rosenberger GmbH	Immobilienverwaltung Mag. Alois Rosenberger GmbH	https://www.iv-ro.at/	https://firmen.wko.at/immobilienverwaltung-mag-alois-rosenberger-gmbh-immobilienverwaltung-rosenberger/wien/?firmaid=6d7c802b-1c76-4ed6-a1ab-7f8eb02b1a92&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
14	OM Objektmanagement GmbH	OM Objektmanagement GmbH	OM Objektmanagement GmbH		https://firmen.wko.at/om-objektmanagement-gmbh/salzburg/?firmaid=876f338d-ac6c-492f-955a-75f189c79885&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
