no,company_name,stage3_scope,primary_dm,primary_dm_role,direct_phone,phone_type,phone_verified,phone_source_url,personal_email,email_type,email_verified,email_source_url,secondary_phone,secondary_email,fallback_company_phone,fallback_company_email,website,contact_summary,contact_confidence,research_notes,stage3_owner_summary,stage3_source_urls,research_complete,manual_reviewed,checked_source_count,checked_source_urls,machine_selected_sources
1,Bundesimmobiliengesellschaft m.b.H.,MAIN,Gerald Beck; Christine Dornaus,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+43620269,none,http://www.big.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 3 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Republic of Austria via ÖBAG | Österreichische Beteiligungs AG (ÖBAG),https://www.evi.gv.at/f/34897w | https://firmen.wko.at/bundesimmobiliengesellschaft-mbh/salzburg/?firmaid=f7c879d8-490a-4266-9e0c-4cf7464be9d4&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,3,https://www.big.at/ | https://www.big.at/ueber-uns | https://www.big.at/impressum,
2,GWS Bau- und Verwaltungsgesellschaft m.b.H.,MAIN,Martina Haas; Thomas Purgstaller,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+433168054,none,http://www.gws-exklusiv.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 4 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,GWS parent housing organisation | GWS Gemeinnützige Alpenländische Gesellschaft für Wohnungsbau und Siedlungswesen m.b.H.,https://www.evi.gv.at/f/220100b | https://firmen.wko.at/gws-bau-und-verwaltungsgesellschaft-mbh/steiermark/?firmaid=e6e3e12a-86b4-44e3-a38f-49ba68475820&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,4,https://www.gws-wohnen.at/?exclusive=1 | https://www.gws-wohnen.at/ | https://www.gws-wohnen.at/gws/zahlen-fakten-daten/ | https://www.gws-wohnen.at/kontakt,
3,Kaiserer Immobilien und Hausverwaltungs GmbH,MAIN,Stefan Kaiserer; Alfred Thaler,Geschäftsführer,+436502000385,A_MOBILE_PUBLIC,yes,https://www.kaiserer.at/team,none,NONE,no,,,,+43533793937,office@kaiserer.at,http://www.kaiserer.at/,Stefan Kaiserer: A_MOBILE_PUBLIC +436502000385,HIGH,Machine discovery checked 4 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Kaiserer family/group via parent company | Kaiserer Architektur und Sachverständigen GmbH,https://www.firmenabc.at/kaiserer-immobilien-und-hausverwaltungs-gmbh_OWfh | https://www.unternehmensdaten.at/cz/unternehmen/484601z-kaiserer-immobilien-und-hausverwaltungs-gmbh | https://firmen.wko.at/kaiserer-immobilien-und-hausverwaltungs-gmbh/tirol/?firmaid=b9e7f7f1-17ea-40a5-a187-612ad6a1b632&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,4,https://www.kaiserer.at/ | https://www.kaiserer.at/team | https://www.kaiserer.at/kontakt | https://www.kaiserer.at/impressum,https://www.kaiserer.at/team
4,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,MAIN,Doris Pühringer,Owner / Geschäftsführerin,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Doris Pühringer | PÜHRINGER Hausverwaltung & Immobilien GmbH (general partner); Doris Pühringer; Anna Riedmann,https://www.evi.gv.at/f/482387v | https://www.evi.gv.at/f/482097t | https://firmen.wko.at/p%c3%9chringer-hausverwaltung-und-immobilien-gmbh-und-co-kg/tirol/?firmaid=6cedac63-45ff-49c7-b18a-5b6f07252d55&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
5,VIVIR Holding GmbH,MAIN,Stefan Salinger,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+43501325000,office@vivir-holding.at,http://www.vivir-holding.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 4 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Karmelitenkonvent | Karmelitenkonvent,https://www.evi.gv.at/f/240824d | https://firmen.wko.at/vivir-holding-gmbh-vivir-holdingat/ober%c3%b6sterreich/?firmaid=26646e63-0c26-48b2-ae19-de1481beb92a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,4,https://vivir-holding.at/ | https://vivir-holding.at/team/ | https://vivir-holding.at/kontakt/ | https://vivir-holding.at/impressum/,
6,BUWOG - Bauen und Wohnen Gesellschaft mbH,MAIN,Martin Puckl; Andreas Holler,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+431878281000,none,http://www.buwog.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 4 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Vonovia SE / BUWOG group | GENA ZWEI Immobilienholding GmbH; BUWOG Group GmbH,https://www.evi.gv.at/f/123812b | https://report.vonovia.com/2025/q4/de/anteilsbesitzliste | https://firmen.wko.at/buwog-bauen-und-wohnen-gesellschaft-mbh/salzburg/?firmaid=431cb0a6-d8ea-407d-ba26-0a4f38714c17&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,4,https://www.buwog.at/ | https://www.buwog.at/impressum | https://www.buwog.at/presse | https://www.buwog.at/content/download/254737/file/Verhaltenskodex%20gem%C3%A4%C3%9F%20%C2%A7%207%20LobbyG%20%28BUWOG%20Group%20GmbH%29.pdf,
7,Hammerl Immobilien Management GmbH,MAIN,Birgitt Hammerl,Geschäftsführerin / Gesellschafterin,none,NONE,no,,none,NONE,no,,,,+4312783364,office@hammerl.at,http://hammerl.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 4 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Hammerl family | Robert Hammerl; Birgitt Hammerl,https://www.evi.gv.at/f/274410w | https://firmen.wko.at/hammerl-immobilien-management-gmbh/wien/?firmaid=45e08b32-768a-442c-88b0-d46c39e7971d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,4,https://www.hammerl.at/ | https://www.hammerl.at/team | https://www.hammerl.at/kontakt | https://www.hammerl.at/impressum,
8,KALA Immobilienmanagement GmbH,MAIN,Karin Seyr; Manuela Steinkellner,Geschäftsführerinnen / Gesellschafterinnen,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Karin Seyr; Manuela Steinkellner | Karin Seyr; Manuela Steinkellner,https://www.evi.gv.at/f/478163g | https://firmen.wko.at/kala-immobilienmanagement-gmbh/ober%c3%b6sterreich/?firmaid=02b59784-8383-4778-ab3d-9f4269796431&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
9,Raiffeisen Realitäten Betreuung Tirol GmbH,MAIN,Philipp Thomasberger; Bernhard Matt; Stefan Ruggenthaler,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Raiffeisen Tirol group | Raiffeisen-Landesbank Tirol AG; Raiffeisen Investment Advisory GmbH,https://www.evi.gv.at/f/36313b | https://rbt.at/de/kontakt/geschaeftsfuehrung.html | https://firmen.wko.at/raiffeisen-realit%c3%a4ten-betreuung-tirol-gmbh/tirol/?firmaid=58a6068a-c7cb-4d7d-8c99-54835331d4fa&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
10,WAG Wohnungsanlagen Gesellschaft m.b.H.,MAIN,Jürgen Harich; Markus Hinterplattner; Markus Kehrer,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+43503380,none,http://www.wag.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 13 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,"WAG ownership group backed by Raiffeisenlandesbank OÖ, Wiener Städtische, HYPO OÖ and OÖ Versicherung | Beteiligungs- und Immobilien GmbH; Beteiligungs- und Wohnungsanlagen GmbH",https://www.evi.gv.at/f/78487y | https://www.wag.at/die-wag/ueber-die-wag | https://firmen.wko.at/wag-wohnungsanlagen-gesellschaft-mbh/salzburg/?firmaid=e42cf0aa-9bb1-4309-969b-1418bbc090e1&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,13,https://www.wag.at/ | https://www.wag.at/team/ | https://www.wag.at/ueber-uns/ | https://www.wag.at/%C3%BCber-uns/ | https://www.wag.at/management/ | https://www.wag.at/geschaeftsfuehrung/ | https://www.wag.at/gesch%C3%A4ftsf%C3%BChrung/ | https://www.wag.at/wohnservice | https://www.wag.at/contact/ | https://www.wag.at/impressum | https://www.wag.at/presse/ | https://www.wag.at/downloads/ | https://www.wag.at/fileadmin/user_upload/Fotos_WAG/Rund_um_die_WAG/Dokumente/Folder_WAG_Wohnungsverbesserung.pdf,
