no,company_name,stage3_scope,primary_dm,primary_dm_role,direct_phone,phone_type,phone_verified,phone_source_url,personal_email,email_type,email_verified,email_source_url,secondary_phone,secondary_email,fallback_company_phone,fallback_company_email,website,contact_summary,contact_confidence,research_notes,stage3_owner_summary,stage3_source_urls,research_complete,manual_reviewed,checked_source_count,checked_source_urls,machine_selected_sources
1,Bundesimmobiliengesellschaft m.b.H.,MAIN,Gerald Beck; Christine Dornaus,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+43620269,none,http://www.big.at/,NO_DIRECT_CONTACT_FOUND; fallback saved,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Republic of Austria via ÖBAG | Österreichische Beteiligungs AG (ÖBAG),https://www.evi.gv.at/f/34897w | https://firmen.wko.at/bundesimmobiliengesellschaft-mbh/salzburg/?firmaid=f7c879d8-490a-4266-9e0c-4cf7464be9d4&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,3,https://www.big.at/ | https://www.big.at/ueber-uns | https://www.big.at/impressum,
2,GWS Bau- und Verwaltungsgesellschaft m.b.H.,MAIN,Martina Haas; Thomas Purgstaller,Geschäftsführer,+433168054210,B_DIRECT_DIAL,yes,https://www.gws-wohnen.at/gws/team/,none,NONE,no,,Thomas Purgstaller: +43 316 8054 212 [B_DIRECT_DIAL],,+433168054,none,http://www.gws-exklusiv.at/,B_DIRECT_DIAL: +433168054210; fallback saved,HIGH,Official GWS team page explicitly binds DW 210 to Martina Haas and DW 212 to Thomas Purgstaller.,GWS parent housing organisation | GWS Gemeinnützige Alpenländische Gesellschaft für Wohnungsbau und Siedlungswesen m.b.H.,https://www.evi.gv.at/f/220100b | https://firmen.wko.at/gws-bau-und-verwaltungsgesellschaft-mbh/steiermark/?firmaid=e6e3e12a-86b4-44e3-a38f-49ba68475820&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,4,https://www.gws-wohnen.at/?exclusive=1 | https://www.gws-wohnen.at/ | https://www.gws-wohnen.at/gws/zahlen-fakten-daten/ | https://www.gws-wohnen.at/kontakt | https://www.gws-wohnen.at/gws/team/,
3,Kaiserer Immobilien und Hausverwaltungs GmbH,MAIN,Stefan Kaiserer; Alfred Thaler,Geschäftsführer,+436502000385,A_MOBILE_PUBLIC,yes,https://www.kaiserer.at/team,none,NONE,no,,,,+43533793937,office@kaiserer.at,http://www.kaiserer.at/,A_MOBILE_PUBLIC: +436502000385; fallback saved,HIGH,Official team page explicitly publishes Stefan Kaiserer mobile number.,Kaiserer family/group via parent company | Kaiserer Architektur und Sachverständigen GmbH,https://www.firmenabc.at/kaiserer-immobilien-und-hausverwaltungs-gmbh_OWfh | https://www.unternehmensdaten.at/cz/unternehmen/484601z-kaiserer-immobilien-und-hausverwaltungs-gmbh | https://firmen.wko.at/kaiserer-immobilien-und-hausverwaltungs-gmbh/tirol/?firmaid=b9e7f7f1-17ea-40a5-a187-612ad6a1b632&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,4,https://www.kaiserer.at/ | https://www.kaiserer.at/team | https://www.kaiserer.at/kontakt | https://www.kaiserer.at/impressum,https://www.kaiserer.at/team
4,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,MAIN,Doris Pühringer,Owner / Geschäftsführerin,none,NONE,no,,none,NONE,no,,,,+43528872929,office@puehringer-immobilien.at,,NO_DIRECT_CONTACT_FOUND; fallback saved,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Doris Pühringer | PÜHRINGER Hausverwaltung & Immobilien GmbH (general partner); Doris Pühringer; Anna Riedmann,https://www.evi.gv.at/f/482387v | https://www.evi.gv.at/f/482097t | https://firmen.wko.at/p%c3%9chringer-hausverwaltung-und-immobilien-gmbh-und-co-kg/tirol/?firmaid=6cedac63-45ff-49c7-b18a-5b6f07252d55&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,,
5,VIVIR Holding GmbH,MAIN,Stefan Salinger,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+43501325000,office@vivir-holding.at,http://www.vivir-holding.at/,NO_DIRECT_CONTACT_FOUND; fallback saved,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Karmelitenkonvent | Karmelitenkonvent,https://www.evi.gv.at/f/240824d | https://firmen.wko.at/vivir-holding-gmbh-vivir-holdingat/ober%c3%b6sterreich/?firmaid=26646e63-0c26-48b2-ae19-de1481beb92a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,4,https://vivir-holding.at/ | https://vivir-holding.at/team/ | https://vivir-holding.at/kontakt/ | https://vivir-holding.at/impressum/,
6,BUWOG - Bauen und Wohnen Gesellschaft mbH,MAIN,Martin Puckl; Andreas Holler,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+431878281000,none,http://www.buwog.at/,NO_DIRECT_CONTACT_FOUND; fallback saved,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Vonovia SE / BUWOG group | GENA ZWEI Immobilienholding GmbH; BUWOG Group GmbH,https://www.evi.gv.at/f/123812b | https://report.vonovia.com/2025/q4/de/anteilsbesitzliste | https://firmen.wko.at/buwog-bauen-und-wohnen-gesellschaft-mbh/salzburg/?firmaid=431cb0a6-d8ea-407d-ba26-0a4f38714c17&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,4,https://www.buwog.at/ | https://www.buwog.at/impressum | https://www.buwog.at/presse | https://www.buwog.at/content/download/254737/file/Verhaltenskodex%20gem%C3%A4%C3%9F%20%C2%A7%207%20LobbyG%20%28BUWOG%20Group%20GmbH%29.pdf,
7,Hammerl Immobilien Management GmbH,MAIN,Birgitt Hammerl,Geschäftsführerin / Gesellschafterin,+4312783364,C_PERSON_BOUND_OFFICE,yes,https://www.hammerl.at/team,none,NONE,no,,,,+4312783364,office@hammerl.at,http://hammerl.at/,C_PERSON_BOUND_OFFICE: +4312783364; fallback saved,MEDIUM_HIGH,Official team page explicitly lists the company line under Birgitt Hammerl. It is person-bound but not a personal DW/mobile.,Hammerl family | Robert Hammerl; Birgitt Hammerl,https://www.evi.gv.at/f/274410w | https://firmen.wko.at/hammerl-immobilien-management-gmbh/wien/?firmaid=45e08b32-768a-442c-88b0-d46c39e7971d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,4,https://www.hammerl.at/ | https://www.hammerl.at/team | https://www.hammerl.at/kontakt | https://www.hammerl.at/impressum,
8,KALA Immobilienmanagement GmbH,MAIN,Karin Seyr; Manuela Steinkellner,Geschäftsführerinnen / Gesellschafterinnen,+4373277473715,B_DIRECT_DIAL,yes,https://www.ovi.at/dienstleistersuche/,seyr@kala-immo.at,A_PERSONAL_VERIFIED,yes,https://www.ovi.at/dienstleistersuche/,,,+43732774737,office@kala-immo.at,,B_DIRECT_DIAL: +4373277473715; A_PERSONAL_VERIFIED: seyr@kala-immo.at; fallback saved,MEDIUM_HIGH,ÖVI public provider directory lists KALA with DW 15 and seyr@kala-immo.at; Stage-3 confirms Karin Seyr as controlling owner/MD.,Karin Seyr; Manuela Steinkellner | Karin Seyr; Manuela Steinkellner,https://www.evi.gv.at/f/478163g | https://firmen.wko.at/kala-immobilienmanagement-gmbh/ober%c3%b6sterreich/?firmaid=02b59784-8383-4778-ab3d-9f4269796431&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,https://www.ovi.at/dienstleistersuche/,
9,Raiffeisen Realitäten Betreuung Tirol GmbH,MAIN,Philipp Thomasberger; Bernhard Matt; Stefan Ruggenthaler,Geschäftsführer,+4351257465612,D_MANAGEMENT_LINE,yes,https://rbt.at/de/kontakt/geschaeftsfuehrung.html,julia.klingler@rbt.at,C_MANAGEMENT_NAMED,yes,https://rbt.at/de/kontakt/geschaeftsfuehrung.html,,,+435125746560,info@rbt.at,,D_MANAGEMENT_LINE: +4351257465612; C_MANAGEMENT_NAMED: julia.klingler@rbt.at; fallback saved,HIGH,No public personal DM contact found; official page publishes the named Geschäftsführung assistant Julia Klingler with DW 12 and email.,Raiffeisen Tirol group | Raiffeisen-Landesbank Tirol AG; Raiffeisen Investment Advisory GmbH,https://www.evi.gv.at/f/36313b | https://rbt.at/de/kontakt/geschaeftsfuehrung.html | https://firmen.wko.at/raiffeisen-realit%c3%a4ten-betreuung-tirol-gmbh/tirol/?firmaid=58a6068a-c7cb-4d7d-8c99-54835331d4fa&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,https://rbt.at/de/kontakt/geschaeftsfuehrung.html,
10,WAG Wohnungsanlagen Gesellschaft m.b.H.,MAIN,Jürgen Harich; Markus Hinterplattner; Markus Kehrer,Geschäftsführer,none,NONE,no,,juergen.harich@wag.at,B_PERSONAL_INFERRED,no,https://www.wag.at/team/,,Markus Hinterplattner: markus.hinterplattner@wag.at [B_PERSONAL_INFERRED] | Markus Kehrer: markus.kehrer@wag.at [B_PERSONAL_INFERRED],+43503380,none,http://www.wag.at/,B_PERSONAL_INFERRED: juergen.harich@wag.at; fallback saved,MEDIUM,"Company first.last email pattern is publicly evidenced by multiple named WAG staff. DM addresses are inferred only, explicitly not verified.","WAG ownership group backed by Raiffeisenlandesbank OÖ, Wiener Städtische, HYPO OÖ and OÖ Versicherung | Beteiligungs- und Immobilien GmbH; Beteiligungs- und Wohnungsanlagen GmbH",https://www.evi.gv.at/f/78487y | https://www.wag.at/die-wag/ueber-die-wag | https://firmen.wko.at/wag-wohnungsanlagen-gesellschaft-mbh/salzburg/?firmaid=e42cf0aa-9bb1-4309-969b-1418bbc090e1&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,13,https://www.wag.at/ | https://www.wag.at/team/ | https://www.wag.at/ueber-uns/ | https://www.wag.at/%C3%BCber-uns/ | https://www.wag.at/management/ | https://www.wag.at/geschaeftsfuehrung/ | https://www.wag.at/gesch%C3%A4ftsf%C3%BChrung/ | https://www.wag.at/wohnservice | https://www.wag.at/contact/ | https://www.wag.at/impressum | https://www.wag.at/presse/ | https://www.wag.at/downloads/ | https://www.wag.at/fileadmin/user_upload/Fotos_WAG/Rund_um_die_WAG/Dokumente/Folder_WAG_Wohnungsverbesserung.pdf,
