company,company_status,best_person_status,decision_makers,direct_named_contacts,fallback_only_people,no_route_people
ACS Logistics GmbH & Co KG,DIRECT_COVERED,B_DIRECT_PHONE,3,3,0,0
All Fresh Logistics GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
Augustin Quehenberger Group GmbH,DIRECT_COVERED,B_DIRECT_PHONE,3,2,1,0
BGO Logistik & Spedition GmbH,DIRECT_COVERED,A_PUBLIC_MOBILE,2,1,1,0
Berger Logistik GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
BÖNTNER Holding GmbH,DIRECT_COVERED,A_PUBLIC_MOBILE,1,1,0,0
C.H. Robinson Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
CEVA Air & Ocean Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
CMA-CGM (Deutschland) GmbH Shipping Agency,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,1,1,0,0
Ceva Logistics Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Condor - Speditions -,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
DACHSER-Austria Gesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
DHL Express (Austria) GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
DHL Freight - DHL Logistics (Austria) GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
DHL Global Forwarding (Austria) GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
DIZZBO GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
DP World Logistics Austria GmbH,NO_PUBLIC_ROUTE,F_NO_PUBLIC_DIRECT_CONTACT_FOUND,2,0,0,2
DSV Road Austria AG,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
Deufol Austria GmbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,3,1,2,0
Dipl. Kfm. Günther König Transportgesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
E. Rossik Transport & Logistics GmbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,2,2,0,0
EUROTRANS Handelsgesellschaft m.b.H.,DIRECT_COVERED,B_DIRECT_PHONE,2,2,0,0
Expeditors Speditionsges.m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
FedEx Express Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
Fercam Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Fluckinger Transport GmbH,DIRECT_COVERED,B_DIRECT_PHONE,1,1,0,0
Franz Exenberger GmbH,DIRECT_COVERED,B_DIRECT_PHONE,1,1,0,0
Friedrich Göbhart Gesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Fritz Mayer Internationale Spedition & Transport GmbH,DIRECT_COVERED,B_DIRECT_PHONE,2,2,0,0
G. Englmayer Spedition GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,4,0,4,0
G. Englmayer Transport GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
GLS Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Gebrüder Weiss Gesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,4,0,4,0
Gebrüder Weiss Paketdienst Gesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
Gebrüder Weiss Transport Logistik GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Global Express Austria GmbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,3,1,2,0
Hadolt Transport und Logistik GmbH,DIRECT_COVERED,A_PUBLIC_MOBILE,3,1,2,0
Hapag-Lloyd (Austria) GmbH,DIRECT_COVERED,B_DIRECT_PHONE,2,2,0,0
Hellmann Worldwide Logistics GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
Hermes Logistik GmbH & Co KG,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Hillebrand Gori Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Hofmann & Neffe GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Hoyer Austria Internationale Fachspedition Gesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Hödlmayr High & Heavy GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,4,0,4,0
Hödlmayr International GmbH,DIRECT_COVERED,A_PUBLIC_MOBILE,3,1,2,0
Hödlmayr Logistics GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
Hödlmayr Rail Logistics GmbH,DIRECT_COVERED,B_DIRECT_PHONE,1,1,0,0
I.L.G. Innovative Logistics Group GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
