method,description,companies_checked,persons_checked,denominator_basis,raw_hits,valid_direct_hits,unique_mobile_hits,unique_durchwahl_or_named_phone_hits,personal_email_hits,named_management_hits,fallback_hits,false_positives,hit_rate
01_OFFICIAL_CONTACT,Official Contact / official website,118,242,Official crawler attempted the full 118-company target universe; some companies lack a usable page of this subtype.,690,22,1,6,12,3,47,93,0.070
02_TEAM_MANAGEMENT,Team / Management / Geschäftsführung,118,242,Official crawler attempted the full 118-company target universe; some companies lack a usable page of this subtype.,217,40,3,16,19,2,0,49,0.095
03_IMPRESSUM,Impressum,118,242,Official crawler attempted the full 118-company target universe; some companies lack a usable page of this subtype.,213,1,0,1,0,0,15,101,0.004
04_PRESS_NEWS,Presse / News / Media,118,242,Official crawler attempted the full 118-company target universe; some companies lack a usable page of this subtype.,123,6,0,4,1,1,0,59,0.017
05_OFFICIAL_PDF,PDF on official website,118,242,Official crawler attempted the full 118-company target universe; some companies lack a usable page of this subtype.,175,0,0,0,0,0,0,51,0.000
06_ANNUAL_CSR,Jahresbericht / CSR / Sustainability,118,242,Official crawler attempted the full 118-company target universe; some companies lack a usable page of this subtype.,3,2,0,0,2,0,0,0,0.008
07_BROCHURE_PRESENTATION,Brochure / Presentation / Fact Sheet,1,2,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",4,4,0,2,2,0,0,0,
08_CAREER_CONTACT,Karriere / Ansprechpartner,118,242,Official crawler attempted the full 118-company target universe; some companies lack a usable page of this subtype.,76,5,1,2,2,0,0,0,0.008
09_CURRENT_JOB,Current job ad,0,0,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",0,0,0,0,0,0,0,0,
10_ARCHIVED_JOB,Old / closed job ad,118,242,Automated external resume: persisted completed/attempted chunk ranges; manual targeted searches add evidence but are not counted in denominator.,5,5,0,2,3,0,0,0,0.012
11_WKO_PROFILE,WKO Firmen A-Z,118,242,Official crawler attempted the full 118-company target universe; some companies lack a usable page of this subtype.,563,4,1,0,3,0,473,69,0.017
12_BUSINESS_DIRECTORY,FirmenABC / directory / vCard,0,0,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",0,0,0,0,0,0,0,0,
13_INDUSTRY_ASSOCIATION,Industry association / membership,118,242,Automated external resume: persisted completed/attempted chunk ranges; manual targeted searches add evidence but are not counted in denominator.,5,5,0,2,3,0,0,0,0.017
14_LOGISTICS_ASSOCIATION,Logistics / forwarding association,1,1,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",1,1,0,1,0,0,0,0,
15_CONFERENCE_EVENT,Conference / speaker / programme,118,242,Automated external resume: persisted completed/attempted chunk ranges; manual targeted searches add evidence but are not counted in denominator.,2,2,0,0,2,0,0,0,0.008
16_BUSINESS_CLUB,Wirtschaftsclub / entrepreneur community,1,1,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",2,2,0,1,1,0,0,0,
17_TRADE_FAIR,Messe / exhibitor / event profile,0,0,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",0,0,0,0,0,0,0,0,
18_PUBLIC_TENDER,Tender / procurement / project document,1,1,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",1,1,0,0,1,0,0,0,
19_INDUSTRY_REGISTER,Industry / transport / security register,2,2,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",4,4,2,0,2,0,0,0,
20_PARTNER_GROUP,Supplier / partner / group / case-study page,11,11,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",23,23,3,9,11,0,0,0,
21_PARTNER_PRESS,Press release on partner site,0,0,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",0,0,0,0,0,0,0,0,
22_BUSINESS_SOCIAL,Public LinkedIn / business-social snippet,0,0,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",0,0,0,0,0,0,0,0,
23_EXACT_NAME_SEARCH,Exact-name phone/mobile/DW/email search,118,242,Automated external resume: persisted completed/attempted chunk ranges; manual targeted searches add evidence but are not counted in denominator.,3,0,0,0,0,0,2,2,0.000
24_PDF_SPECIFIC_SEARCH,PDF-specific search,118,242,Automated external resume: persisted completed/attempted chunk ranges; manual targeted searches add evidence but are not counted in denominator.,0,0,0,0,0,0,0,0,0.000
25_EMAIL_PATTERN,E-mail pattern cross-check (guesses never verified),0,0,"Manual targeted channel: denominator instrumentation was not complete; checked count is evidence-confirmed minimum, so hit rate is left blank.",0,0,0,0,0,0,0,0,
