no,company,primary_dm,owners,websites,wko_url
71,Hellmann Worldwide Logistics GmbH,Piotr Zaleski; Parthasarathy Rangachari; Rainer Mittl,Hellmann Worldwide Logistics Limited,,https://firmen.wko.at/hellmann-worldwide-logistics-gmbh/wien/?firmaid=55404adf-0124-460d-a9cd-4c9aebd2f005&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
72,Hermes Logistik GmbH & Co KG,Patryk Hopenthaler; Philip Weiskopf,Hermes Zweite Beteiligungs-Verwaltungsgesellschaft mbH,,https://firmen.wko.at/hermes-logistik-gmbh-co-kg/nieder%c3%b6sterreich/?firmaid=241bc94e-a953-45ae-a1e5-70b59a2957bb&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
73,Hofmann & Neffe GmbH,Peter Hofmann; Michael Hofmann,Hofmann Immobilien und Logistik GmbH,,https://firmen.wko.at/hofmann-neffe-gmbh/ober%c3%b6sterreich/?firmaid=9c6d397a-3c0a-4887-ad70-d931ebd12fef&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
74,Hoyer Austria Internationale Fachspedition Gesellschaft m.b.H.,Axel Remplewski; Gedeon Tabanyi,Hoyer GmbH Internationale Fachspedition,,https://firmen.wko.at/hoyer-austria-internationale-fachspedition-gesellschaft-mbh/wien/?firmaid=5a3d44e6-57cd-4994-a02b-9b3ed6472865&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
75,LAGRAN Lager- und Transport Ges.m.b.H.,Franz Feldgrill; Manfred Auer; Johannes Ramharter; Ferdinand Feldgrill,LAGRAN Verwaltungs GmbH; Siegfried Schöffauer; Karin Schöffauer; Franz Feldgrill; others,,https://firmen.wko.at/lagran-lager-und-transport-gesmbh/nieder%c3%b6sterreich/?firmaid=438f3f5d-304d-4c5c-8f8f-b71a2eeffaf1&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
76,Müller Transporte Gesellschaft m.b.H.,Volker Auer,Lagermax Logistics Austria GmbH,,https://firmen.wko.at/m%c3%bcller-transporte-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=e004b2d4-a8b1-4e1d-8ea0-cfcba29c80f7&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
77,KUNSTTRANS Spedition GmbH,Birgit Vikas; Andreas Kratohwil,Kunsttrans Holding GmbH,,https://firmen.wko.at/kunsttrans-spedition-gmbh/steiermark/?firmaid=1234fc8c-c2ad-4156-ad5f-dd32dd7c46c6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
78,L.T.W.-Transportgesellschaft mbH & Co KG,Norbert Wenzel; Elisabeth Leitner,Elisabeth Leitner; Wenzel Holding GmbH,,https://firmen.wko.at/ltw-transportgesellschaft-mbh-co-kg/ober%c3%b6sterreich/?firmaid=3be5dac4-e28d-4796-b36f-28ed05655499&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
79,Maillog Richter & Weiner Ges.m.b.H.,Markus Richter; Roland Weiner,Markus Richter; Roland Weiner,,https://firmen.wko.at/maillog-richter-und-weiner-gesmbh/wien/?firmaid=fae681e6-fc1f-4091-8322-53fb66f2bdea&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
80,MALCAMPO Transporte GmbH,Martin Cancola; Ulla Cancola,Cancola Management Consulting GmbH; Martin Cancola direct,,https://firmen.wko.at/malcampo-transporte-gmbh/ober%c3%b6sterreich/?firmaid=3054cc91-4db0-4b88-817b-00b2ef928cbb&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
