no,company,person,owners,central_phone,central_email,websites,wko_url
20,Dipl. Kfm. Günther König Transportgesellschaft m.b.H.,Katharina König,Ownership not resolved in free public sources,+43 2612 42550,office@koenig-transporte.at,,https://firmen.wko.at/dipl-kfm-g%c3%bcnther-k%c3%b6nig-transportgesellschaft-mbh/burgenland/?firmaid=8b32f60f-660a-4890-b684-0276f72780a8&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
21,FedEx Express Austria GmbH,Stefan Dries,FedEx Express International B.V.,+43 800 123 800,at@fedex.com,,https://firmen.wko.at/fedex-express-austria-gmbh/ober%c3%b6sterreich/?firmaid=e797d4b9-1134-4e4c-8fe0-e34117b0cbd2&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
22,Fercam Austria GmbH,Hannes Baumgartner,FERCAM SB SRL,+43 1 616 73 70,info.at@fercam.com,,https://firmen.wko.at/fercam-austria-gmbh/k%c3%a4rnten/?firmaid=1c58f4cc-15e0-46f1-83ea-e017b371bdea&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
24,Friedrich Göbhart Gesellschaft m.b.H.,Lukas Herzog,ZEPTA Vermögensverwaltungs GmbH,+43 2236 62400,office@goebhart.at,,https://firmen.wko.at/friedrich-g%c3%b6bhart-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=f173e086-15c4-4648-9262-2113ca3423e6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
26,GLS Austria GmbH,Christian Schöninger,General Logistics Systems Germany GmbH & Co. OHG,+43 5 9876 1000,office@gls-austria.com,,https://firmen.wko.at/gls-austria-gmbh/ober%c3%b6sterreich/?firmaid=3e2a8d84-f76f-4b2b-92b1-e8db66472129&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
27,Global Express Austria GmbH,Stefanie Sachiko Hadolt-Reimers,Rolf Hadolt; Stefanie Sachiko Hadolt-Reimers; Felix Hadolt,+43 316 252 0,office@global-express.at,,https://firmen.wko.at/global-express-austria-gmbh/steiermark/?firmaid=2e54e0f0-d4a2-4523-bbf8-78d9bfdadfb9&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
29,Ontime Logistics Speditions GmbH,Sonja Schneckenreither,SAW-Beteiligungs GmbH,+43 7229 93080,office@ontime-logistics.com,,https://firmen.wko.at/ontime-logistics-speditions-gmbh/ober%c3%b6sterreich/?firmaid=fb12037c-f64f-4b75-96c9-080394a59666&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
30,Rudolph Logistik Österreich GmbH,Georg Weiß,ANCLA Logistik GmbH,+43 7229 841 40,office.austria@rudolph-log.com,,https://firmen.wko.at/rudolph-logistik-%c3%b6sterreich-gmbh/ober%c3%b6sterreich/?firmaid=7f0b8fc5-0540-4947-b702-47a1e4c5a3d0&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
31,Nagel Austria GmbH,Johannes Winterleitner,Nagel-Group Logistics SE,+43 2236 6030,info.at@nagel-group.com,,https://firmen.wko.at/nagel-austria-gmbh/nieder%c3%b6sterreich/?firmaid=7e192fcf-6f00-4a1c-b904-5ba979e1439a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
32,NEUFRA Speditions Gesellschaft m.b.H.,Wolfgang Hast,NEUFRA Speditionsgesellschaft mbH (Germany),+43 2236 677 40,office@neufra.at,,https://firmen.wko.at/neufra-speditions-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=c0f4a07c-988d-452c-b3ac-2445f6596ef5&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
