no,company,main_phones,main_emails,websites
1,CMA-CGM (Deutschland) GmbH Shipping Agency,,,
2,DP World Logistics Austria GmbH,,,
3,Logistik Service GmbH,0732/6598-2000,office@logserv.at,http://www.logserv.at/
4,Lagermax Logistics Austria GmbH,+43 (0) 4242 52040 | +43 (4212) 29 880,office.villach@lagermax.com | office@lagermax.com,http://www.lagermax.com/ | https://www.lagermax.com/de-at
5,Gebrüder Weiss Gesellschaft m.b.H.,+43 (0)732 7655 0 | +43 4223 5050 0 | 0664 23 39 664 | +43 5223 206 0 | +43 662 88912-0 | +43 7242 47655 0 | +4331629044000 | 01 7007-32291 | 0732/609608,gw.hall@gw-world.com | gw.kaernten@gw-world.com | gw.ooe@gw-world.com | gw.salzburg@gw-world.com | haas.gerhard@gw-world.com,http://gw-world.com/ | http://www.gebr-weiss.com/ | http://www.gw-world.com/ | https://www.gw-world.com/de/gwmoveson/
6,DHL Express (Austria) GmbH,+43820550505,dhlat@dhl.com,https://mydhl.express.dhl/
7,Expeditors Speditionsges.m.b.H.,(01) 701 89 111,office-austria@expeditors.com,http://www.expeditors.com/
8,G. Englmayer Spedition GmbH,+43 5 777 30 | 05/7773-0 | 01 6991024 - 0 | +43 5 7773 | +43 7722 67300 | +43 732 779293 | 05 7773-3300 | 05 7773-3700 | 05 7773-3800,office@englmayer.at,http://www.englmayer.at/
9,Hödlmayr International GmbH,+43 7243 500-0 | 07243/500-0,info@hoedlmayr.com,http://www.hoedlmayr.com/
10,Kühne + Nagel Gesellschaft m.b.H.,+43 (0) 5 906 828 - 0 | 05 906 828-0,info.austria@kuehne-nagel.com,http://www.kuehne-nagel.at/ | http://www.kuehne-nagel.com/
11,Quick Service Logistics GmbH,,,,
12,Raben Logistics Austria GmbH,+43 1 259 6200 | +43 7229 70700,info.at@raben-group.com,
13,Sovereign Speed Austria GmbH,+43 2236 864 930 | +43 2236 864 930 20,office.at@sovereignspeed.com,http://www.sovereignspeed.com/
14,Nothegger Transport Logistik GmbH,+43 5353 600-0 | +43 1 251 16 | 05353/600-0,office@nothegger.at,http://www.nothegger.at/
15,All Fresh Logistics GmbH,+43 2262 62228,office@allfresh.at,
16,Berger Logistik GmbH,+43 5332 7020,office@berger-logistik.at,
17,cargo-partner GmbH,+43 5 9888-0 | +43 5 9888 0,info@cargo-partner.com,http://www.cargo-partner.com/
18,DACHSER-Austria Gesellschaft m.b.H.,+43 5 9000 0,info.austria@dachser.com,
19,DHL Global Forwarding (Austria) GmbH,+43 1 7007-0 | +43 316 401 0 | +43 662 8588 0 | +43 732 7701 0,info.at@dhl.com,http://www.dhl-freight.at/ | http://www.dhl.at/ | http://www.logistics.dhl/at-de | https://www.dhl.com/at-de/home/fracht.html
20,Dipl. Kfm. Günther König Transportgesellschaft m.b.H.,+43 2612 42550,office@koenig-transporte.at,
21,FedEx Express Austria GmbH,+43 800 123 800,at@fedex.com,
22,Fercam Austria GmbH,+43 1 616 73 70,info.at@fercam.com,
23,Fluckinger Transport GmbH,+43 5337 62032,office@fluckinger.com,
24,Friedrich Göbhart Gesellschaft m.b.H.,+43 2236 62400,office@goebhart.at,
25,Fritz Mayer Internationale Spedition & Transport GmbH,+43 316 290 200,office@fritzmayer.at,
26,GLS Austria GmbH,+43 5 9876 1000,office@gls-austria.com,
27,Global Express Austria GmbH,+43 316 252 0,office@global-express.at,
28,Hödlmayr Logistics GmbH,+43 7243 500 0,info@hoedlmayr.com,
29,Ontime Logistics Speditions GmbH,+43 7229 93080,office@ontime-logistics.com,
30,Rudolph Logistik Österreich GmbH,+43 7229 841 40,office.austria@rudolph-log.com,
31,Nagel Austria GmbH,+43 2236 6030,info.at@nagel-group.com,
32,NEUFRA Speditions Gesellschaft m.b.H.,+43 2236 677 40,office@neufra.at,
33,Petschl Werkstätten Betriebs GmbH,+43 7225 884 0,office@petschl.at,
34,SETG Salzburger Eisenbahn TransportLogistik GmbH,+43 662 450 900,office@setg.at,
35,Schachinger Logistik Holding GmbH,+43 7242 486 0,office@schachinger.com,
