candidate_key	company_name	states	places	websites	employee_keyword_hits	employee_number_hits	best_score	evidence
sped_9a518bf98fbd44	ERC Cargo GmbH	Tirol	6330 Kufstein		4	3	102	[102] Employee Retention Credit - Internal Revenue Service :: 6. Aug. 2026 · The Employee Retention Credit (ERC) – sometimes called the Employee Retention Tax Credit or ERTC – is a … :: https://www.bing.com/ck/a?!&&p=1619a64619bc25b646de284703c5f4d8f0a5f0e6d8ea0fcfeac70d763a596e66JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2dddbf2d-f10d-6d41-2951-a8ebf0b46c8b&u=a1aHR0cHM6Ly93d3cuaXJzLmdvdi9jb3JvbmF2aXJ1cy9lbXBsb3llZS1yZXRlbnRpb24tY3JlZGl0&ntb=1 || [102] Frequently asked questions about the Employee Retention ... :: 27. Juli 2023 · Eligible employers can claim the ERC on an original or amended employment tax return for qualified wages paid … :: https://www.bing.com/ck/a?!&&p=7d17b6401d9afe1356df3181df5b077ce27c1dd6c63fc12264259c42c7055248JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2dddbf2d-f10d-6d41-2951-a8ebf0b46c8b&u=a1aHR0cHM6Ly93d3cuaXJzLmdvdi9jb3JvbmF2aXJ1cy9mcmVxdWVudGx5LWFza2VkLXF1ZXN0aW9ucy1hYm91dC10aGUtZW1wbG95ZWUtcmV0ZW50aW9uLWNyZWRpdA&ntb=1 || [102] Employee Retention Credit: 5 Years of IRS Answers - Forbes :: 4. Dez. 2025 · More than five years have passed since Congress created the employee retention credit (“ERC”) through the CARES … :: https://www.bing.com/ck/a?!&&p=7ca2b026c287447c6d15e9f98752e4fcbe2ffd031addad94c5396acc80f9c996JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2dddbf2d-f10d-6d41-2951-a8ebf0b46c8b&u=a1aHR0cHM6Ly93d3cuZm9yYmVzLmNvbS9zaXRlcy9pcnN3YXRjaC8yMDI1LzEyLzA0L2VtcGxveWVlLXJldGVudGlvbi1jcmVkaXQtYW5zd2Vycy10by1maXZlLXllYXJzLW9mLXlvdXItcXVlc3Rpb25zLw&ntb=1
sped_33cb083a7d40e2	ERC - Logistik GmbH	Oberösterreich; Tirol	5261 Helpfau-Uttendorf | 6330 Kufstein	http://www.erc.at/	3	2	130	[130] Employee Retention Credit - Internal Revenue Service :: 6. Aug. 2026 · The Employee Retention Credit (ERC) – sometimes called the Employee Retention Tax Credit or ERTC – is a … :: https://www.bing.com/ck/a?!&&p=a3388853309811c937d9f912640c4123ecc1ad36aceb3b6ee8a4df7c677e66faJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1625af24-06c3-6a30-240d-b8e2073d6b98&u=a1aHR0cHM6Ly93d3cuaXJzLmdvdi9jb3JvbmF2aXJ1cy9lbXBsb3llZS1yZXRlbnRpb24tY3JlZGl0&ntb=1 || [130] Frequently asked questions about the Employee Retention ... :: 27. Juli 2023 · Eligible employers can claim the ERC on an original or amended employment tax return for qualified wages paid … :: https://www.bing.com/ck/a?!&&p=cdadc07172c756eb5fde017824bb753c189ce6a01e758fc410078db3b9d699bbJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1625af24-06c3-6a30-240d-b8e2073d6b98&u=a1aHR0cHM6Ly93d3cuaXJzLmdvdi9jb3JvbmF2aXJ1cy9mcmVxdWVudGx5LWFza2VkLXF1ZXN0aW9ucy1hYm91dC10aGUtZW1wbG95ZWUtcmV0ZW50aW9uLWNyZWRpdA&ntb=1 || [112] Employee Retention Credit - Wikipedia :: The Employee Retention Credit (ERC), sometimes called the Employee Retention Tax Credit (ERTC), [1] is a U.S. federal tax credit … :: https://www.bing.com/ck/a?!&&p=b7b1d08f3b47ca147f339e65cf04d8d136ad13285e06ddb92b830b482911aa44JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1625af24-06c3-6a30-240d-b8e2073d6b98&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvRW1wbG95ZWVfUmV0ZW50aW9uX0NyZWRpdA&ntb=1
sped_d94908966b3d8e	one-X Logistics GmbH	Oberösterreich	4676 Aistersheim		2	2	130	[130] Personal File Sharing & Cloud Storage | Microsoft OneDrive :: You can upgrade to a Microsoft 365 Basic subscription to get 100 GB of storage, Microsoft 365 Personal plan to get 1 TB of storage … :: https://www.bing.com/ck/a?!&&p=3dce599d89577dd150ddfbe8f3159c2b22720d5fde62e24540a584a4844f0797JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2db91485-650d-633c-04ea-0343640762c9&u=a1aHR0cHM6Ly9vbmVkcml2ZS5saXZlLmNvbS8&ntb=1 || [130] Download the OneDrive App for Secure Cloud Storage | Microsoft OneDrive :: You can upgrade to a Microsoft 365 Basic subscription to get 100 GB of storage, Microsoft 365 Personal plan to get 1 TB of storage … :: https://www.bing.com/ck/a?!&&p=f576463ae5aac0b20892ed13687cd8dab146d1c46aaef6fe72eb0d1c9925ad40JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2db91485-650d-633c-04ea-0343640762c9&u=a1aHR0cHM6Ly93d3cubWljcm9zb2Z0LmNvbS9lbi11cy9taWNyb3NvZnQtMzY1L29uZWRyaXZlL2Rvd25sb2FkP21zb2NraWQ9MmRiOTE0ODU2NTBkNjMzYzA0ZWEwMzQzNjQwNzYyYzk&ntb=1 || [90] Microsoft OneDrive :: No account? Create one! :: https://www.bing.com/ck/a?!&&p=2d55d3dba0d4c509eb2b981ccbd4e07bf0824f655a9566e126f213427f49d17eJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2db91485-650d-633c-04ea-0343640762c9&u=a1aHR0cHM6Ly9vbmVkcml2ZS5saXZlLmNvbS9sb2dpbi9lbi11cy8&ntb=1
sped_9c0403f3a0160a	CEVA Freight Austria GmbH	Niederösterreich; Oberösterreich; Steiermark; Wien	1100 Wien | 1300 Wien-Flughafen | 4470 Enns | 8401 Kalsdorf bei Graz	http://www.cevalogistics.com/	2	2	102	[102] Track a Shipment - CEVA Logistics :: CEVA AND COVID-19 The safety of our employees and customers remains our top priority. Note that In-Home Delivery restrictions … :: https://www.bing.com/ck/a?!&&p=9d686113acc3e00f8bffbbe363148d7d51f3a5145a4356917e376198fa841cdaJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=3f8777f1-dc38-6e78-2e8f-6037ddd56f75&u=a1aHR0cHM6Ly9ob21lZGVsaXZlcnkuY2V2YWxvZ2lzdGljcy5jb20vVHJhY2s_dHJhY2tpbmdJRD05OTkwOTI2Mg&ntb=1 || [102] Welcome to CEVA 's :: CEVA AND COVID-19 The safety of our employees and customers remains our top priority. Note that In-Home Delivery restrictions … :: https://www.bing.com/ck/a?!&&p=dd97b43f44a11195866af2f0b83ea7896e6f95b883c112fe57ff2fa3e101e53cJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=3f8777f1-dc38-6e78-2e8f-6037ddd56f75&u=a1aHR0cHM6Ly9ob21lZGVsaXZlcnkuY2V2YWxvZ2lzdGljcy5jb20v&ntb=1 || [90] CEVA Logistics | Global logistics services, freight company ... :: CEVA Logistics gives you the assurance of the World's Leading Supply Chain Management organization. As a Freight Company, we … :: https://www.bing.com/ck/a?!&&p=2c512017cfb94581868e3030da0f1a52274537719598b996ac4fd510c8d7a5b7JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=3f8777f1-dc38-6e78-2e8f-6037ddd56f75&u=a1aHR0cHM6Ly93d3cuY2V2YWxvZ2lzdGljcy5jb20v&ntb=1
sped_cbbeba71f55864	"""ADLER"" Logistikges.m.b.H."	Niederösterreich	2320 Schwechat		2	1	102	[102] Alfred Adler Theory Of Individual Psychology & Personality :: Vor 5 Tagen · Alfred Adler's Individual Psychology posits that humans are primarily motivated by social connectedness and a striving … :: https://www.bing.com/ck/a?!&&p=c6b06907b2cad82160ea7924930125bb371e04e0b1617248e80690f8efe67103JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=03b83050-7d84-6a72-0f26-27967c0c6b5b&u=a1aHR0cHM6Ly93d3cuc2ltcGx5cHN5Y2hvbG9neS5vcmcvYWxmcmVkLWFkbGVyLmh0bWw&ntb=1 || [84] Alfred Adler : Theory and Application | Adler Graduate School :: Adler developed the first holistic theory of personality, psychopathology, and psychotherapy that was intimately connected to a … :: https://www.bing.com/ck/a?!&&p=b56b34ad0d04b956d95e7fc3599473d90bdcafc76fb293e4d3e0744bc8361a24JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=03b83050-7d84-6a72-0f26-27967c0c6b5b&u=a1aHR0cHM6Ly93d3cuYWxmcmVkYWRsZXIuZWR1L2Fib3V0L2FsZnJlZC1hZGxlci10aGVvcnktYXBwbGljYXRpb24v&ntb=1 || [72] Alfred Adler - Wikipedia :: Alfred Adler (/ ˈædlər / AD-lər; [1] Austrian German: [ˈalfreːd ˈaːdlɐ]; February 7, 1870 – May 28, 1937) was an Austrian medical … :: https://www.bing.com/ck/a?!&&p=dfcce99250e2e0f1711fdbcd3a1c02f1b2f1f2d9cf3e545c3fc5cc47e54759f5JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=03b83050-7d84-6a72-0f26-27967c0c6b5b&u=a1aHR0cHM6Ly9lbi5tLndpa2lwZWRpYS5vcmcvd2lraS9BbGZyZWRfQWRsZXI&ntb=1
sped_65d7f6c613f7d7	KMR Spedition u. Transport Ges.m.b.H.	Kärnten	9586 Fürnitz	http://www.kmr-spedition.at/	2	1	102	"[102] Kalamazoo Metal Recyclers Inc :: ABOUT KMR was established in 1986 by ""Pat"" Farrell Sr. Since then, we have grown to 85 employees strong and own a 40 acre … :: https://www.bing.com/ck/a?!&&p=ee01a93a9d3e11d19f2004e8dfefc5683913994245a9f8ea9fdc4462b0571fecJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=02da287c-9d12-64e3-05b5-3fba9c6265d8&u=a1aHR0cHM6Ly93d3cua3pvb21ldGFscmVjeWNsZXJzLmNvbS8&ntb=1 || [84] KMR Luxury Kosher Vacations | Discover the KMR Experience :: Welcome KMR provides superlative family vacation programs around the year, combining personalized guest care, the finest and … :: https://www.bing.com/ck/a?!&&p=eaeb8ee62e5670ef0b00c5f6bcc766ced866e7c1e132cc2f4a5d7794d55c346cJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=02da287c-9d12-64e3-05b5-3fba9c6265d8&u=a1aHR0cHM6Ly93d3cua21ydG91cnMuY29tLw&ntb=1 || [62] KMR Trailer Sales - New and Used Horse, Stock, and Equipment … :: KMR Trailer Sales is your central Oregon horse trailer dealer, selling new and used horse and stock trailers as well as flatbed, dump, … :: https://www.bing.com/ck/a?!&&p=9e376f719b0533c939f64595578f6b819fb159899c0f3ac027b52493cadb0305JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=02da287c-9d12-64e3-05b5-3fba9c6265d8&u=a1aHR0cHM6Ly9raWdlcnMuY29tLw&ntb=1"
sped_2b1e3e4181e091	EGO Spedition GmbH	Wien	1150 Wien		1	1	130	[130] Ego : Definition & What It Means in Psychology - Cleveland Clinic :: 6. Juni 2025 · Your ego is the part of your personality that helps you stay grounded, make wise choices and manage emotions. … :: https://www.bing.com/ck/a?!&&p=45e970fc305350399d5edc83b28c390d3a01f5d78cd121bf60803b94e1e0ee71JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=082bab41-989c-69f8-30bf-bc87993a68fd&u=a1aHR0cHM6Ly9teS5jbGV2ZWxhbmRjbGluaWMub3JnL2hlYWx0aC9hcnRpY2xlcy93aGF0LWlzLXRoZS1lZ28&ntb=1 || [90] The #1 Rated Brand in Cordless Outdoor Power Equipment | EGO :: Our patented 56V ARC Lithium™ battery technology includes innovative design, intelligent power management, and prevents … :: https://www.bing.com/ck/a?!&&p=504f56a8f10b30d89f5227e3f98c0ccedf431b7b54c657d0ab72dfac4ccd0066JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=082bab41-989c-69f8-30bf-bc87993a68fd&u=a1aHR0cHM6Ly9lZ29wb3dlcnBsdXMuY29tLw&ntb=1 || [90] Gas Power, Guaranteed—Browse all Cordless Outdoor Tools | EGO :: EGO POWER+ is the #1 rated battery powered platform and gives you Power Beyond Belief. Universal battery compatibility lets you … :: https://www.bing.com/ck/a?!&&p=36adebc51f3ca598f465a8cd873cd8f610910addf616337bf5a4b3c7370d5439JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=082bab41-989c-69f8-30bf-bc87993a68fd&u=a1aHR0cHM6Ly9lZ29wb3dlcnBsdXMuY29tL3Byb2R1Y3RzLw&ntb=1
sped_0f400cf0439f60	STADE Transporte e.U.	Niederösterreich	3385 Prinzersdorf		1	1	130	[130] STADE Definition & Meaning - Merriam-Webster :: 26. Juli 2023 · The meaning of STADE is stadium. She is credited as Céline’s personal assistant on the live albums Au cœur du … :: https://www.bing.com/ck/a?!&&p=4b0e557abfacd73bb161846af6a71e60fb2e61f4a277f0379524832b70b66d0aJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=161521ed-dd48-66f6-18b2-362bdc9167d1&u=a1aHR0cHM6Ly93d3cubWVycmlhbS13ZWJzdGVyLmNvbS9kaWN0aW9uYXJ5L3N0YWRl&ntb=1 || [90] Stade - Wikipedia :: Stade (German pronunciation: [ˈʃtaːdə] ⓘ; Low German: Stood), officially the Hanseatic City of Stade (German: Hansestadt Stade, … :: https://www.bing.com/ck/a?!&&p=1238fc70ad524b25e9215f07a145712f2a156d9e4d7073e0a8a7f37fe2faebe4JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=161521ed-dd48-66f6-18b2-362bdc9167d1&u=a1aHR0cHM6Ly9lbi5tLndpa2lwZWRpYS5vcmcvd2lraS9TdGFkZQ&ntb=1 || [90] Stade – Wikipedia :: Stade liegt am Fluss Schwinge zwischen dem Alten Land und Kehdingen, unweit der Unterelbe. Die umgebende Landschaft ist … :: https://www.bing.com/ck/a?!&&p=23e52c0830900c600b9639eeb1f0fa1935a26eb91f4386725ea94ddd899ae520JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=161521ed-dd48-66f6-18b2-362bdc9167d1&u=a1aHR0cHM6Ly9kZS5tLndpa2lwZWRpYS5vcmcvd2lraS9TdGFkZQ&ntb=1
sped_1a61217b48931e	Doris Lesnik Speditions- und Transport Gesellschaft m.b.H.	Niederösterreich	2111 Leobendorf		1	1	102	[102] Doris Italian Market & Bakery :: Doris Market offers premium products and personalized service in 5 South Florida locations. Enjoy same-day delivery and follow us … :: https://www.bing.com/ck/a?!&&p=44d3f1a260c2c531d12ec2413b429b203b5418be060dcf0dd264cecd9a3bf699JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=390c953a-8aea-6aa6-0e9b-82fc8b456b52&u=a1aHR0cHM6Ly9kb3Jpc21hcmtldC5jb20v&ntb=1 || [62] Apache Doris : Open Source, Real-Time Analytics and Search … :: Apache Doris is an open-source, real-time analytics database built on MPP architecture. Run OLAP queries, lakehouse analytics, … :: https://www.bing.com/ck/a?!&&p=a0f30687080f88c5ebd3f701f771872c59e8eec667cc1578ac031bad2d201ff6JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=390c953a-8aea-6aa6-0e9b-82fc8b456b52&u=a1aHR0cHM6Ly9kb3Jpcy5hcGFjaGUub3JnLw&ntb=1 || [62] Department of Records - NYC.gov :: DORIS has completed processing and digitizing a new collection – the New York City Commission on Human Rights records. These … :: https://www.bing.com/ck/a?!&&p=8e5e007262716b4c125d98b30fe4313e5f04007de091a3697ce1c5359e393075JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=390c953a-8aea-6aa6-0e9b-82fc8b456b52&u=a1aHR0cHM6Ly93d3cubnljLmdvdi9zaXRlL3JlY29yZHMvaW5kZXgucGFnZQ&ntb=1
sped_3e7b6b320ba25c	Michael Fiedler	Wien	1200 Wien		1	1	102	"[102] Michael (2026) - IMDb :: 24. Apr. 2026 · Michael chronicles the meteoric rise and complicated personal life of Michael Jackson, tracing his journey from a … :: https://www.bing.com/ck/a?!&&p=824b161377e315e4de8afe254d6e2ee9137feb8d62888c62f13c0502f5162372JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=31ff1196-7962-6e5b-37b2-065078946ff8&u=a1aHR0cHM6Ly93d3cuaW1kYi5jb20vdGl0bGUvdHQxMTM3ODk0Ni8&ntb=1 || [62] Michael (2026 film) - Wikipedia :: Thriller breaks worldwide sales records while Michael delivers a groundbreaking performance of ""Billie Jean"" at Motown 25. In New … :: https://www.bing.com/ck/a?!&&p=c6a919ed53a7374d2c89dd45b3df1649c9515378ae270c4c16c742cf15747431JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=31ff1196-7962-6e5b-37b2-065078946ff8&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvTWljaGFlbF8oMjAyNl9maWxtKQ&ntb=1 || [62] Michael (2026) - Movie | Moviefone :: 24. Apr. 2026 · Director Antoine Fuqua’s new biopic ‘Michael’ is a sanitized look at the legendary performer’s career from joining The … :: https://www.bing.com/ck/a?!&&p=03d697bb03089c89582a6ac4fe9c242661cdd7a085313d69ed0727c2f7f4399dJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=31ff1196-7962-6e5b-37b2-065078946ff8&u=a1aHR0cHM6Ly93d3cubW92aWVmb25lLmNvbS9tb3ZpZS9taWNoYWVsL0xmdDhEN2hlWjF2VXNHMWYzdkcxRTEvbWFpbi8&ntb=1"
