candidate_key,company_name,states,places,websites,wko_urls,search_hits,relevant_hits,max_employee_signal,max_relevant_employee_signal,strong_31plus_signals,strong_30_or_below_signals,evidence_1_score,evidence_1_source_score,evidence_1_url,evidence_1_title,evidence_1_snippet,evidence_1_employee_signals,evidence_2_score,evidence_2_source_score,evidence_2_url,evidence_2_title,evidence_2_snippet,evidence_2_employee_signals,evidence_3_score,evidence_3_source_score,evidence_3_url,evidence_3_title,evidence_3_snippet,evidence_3_employee_signals,evidence_4_score,evidence_4_source_score,evidence_4_url,evidence_4_title,evidence_4_snippet,evidence_4_employee_signals,evidence_5_score,evidence_5_source_score,evidence_5_url,evidence_5_title,evidence_5_snippet,evidence_5_employee_signals
sped_cbbeba71f55864,"""ADLER"" Logistikges.m.b.H.",Niederösterreich,2320 Schwechat,,https://firmen.wko.at/%22adler%22-logistikgesmbh/nieder%c3%b6sterreich/?firmaid=dca1f571-777d-48ce-a9ac-7c65d6a48101&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,10,10,,,0,0,57,25,https://www.bing.com/ck/a?!&&p=dfcce99250e2e0f1711fdbcd3a1c02f1b2f1f2d9cf3e545c3fc5cc47e54759f5JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=03b83050-7d84-6a72-0f26-27967c0c6b5b&u=a1aHR0cHM6Ly9lbi5tLndpa2lwZWRpYS5vcmcvd2lraS9BbGZyZWRfQWRsZXI&ntb=1,Alfred Adler - Wikipedia,"Alfred Adler (/ ˈædlər / AD-lər; [1] Austrian German: [ˈalfreːd ˈaːdlɐ]; February 7, 1870 – May 28, 1937) was an Austrian medical …",,57,25,https://www.bing.com/ck/a?!&&p=15e09cc0304b82c0dc8e0aa9bded68bd18637a38277f79999d392a4326c306bbJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=03b83050-7d84-6a72-0f26-27967c0c6b5b&u=a1aHR0cHM6Ly93d3cuYnJpdGFubmljYS5jb20vYmlvZ3JhcGh5L0FsZnJlZC1BZGxlcg&ntb=1,Alfred Adler | Austrian Psychologist & Founder of Individual …,"Alfred Adler was a psychiatrist whose influential system of individual psychology introduced the term inferiority feeling, later widely …",,45,25,https://www.bing.com/ck/a?!&&p=b627c7387ec6639a6f8b49caca63facb5b413154d0902f12161174355801fe93JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=03b83050-7d84-6a72-0f26-27967c0c6b5b&u=a1aHR0cHM6Ly93d3cuYWRsZXIuZWR1Lw&ntb=1,Adler University,"Adler University is a global higher education institution advancing health and well-being through graduate programs, research, and …",,45,25,https://www.bing.com/ck/a?!&&p=c6b06907b2cad82160ea7924930125bb371e04e0b1617248e80690f8efe67103JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=03b83050-7d84-6a72-0f26-27967c0c6b5b&u=a1aHR0cHM6Ly93d3cuc2ltcGx5cHN5Y2hvbG9neS5vcmcvYWxmcmVkLWFkbGVyLmh0bWw&ntb=1,Alfred Adler Theory Of Individual Psychology & Personality,Vor 5 Tagen · Alfred Adler's Individual Psychology posits that humans are primarily motivated by social connectedness and a striving …,,45,25,https://www.bing.com/ck/a?!&&p=b56b34ad0d04b956d95e7fc3599473d90bdcafc76fb293e4d3e0744bc8361a24JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=03b83050-7d84-6a72-0f26-27967c0c6b5b&u=a1aHR0cHM6Ly93d3cuYWxmcmVkYWRsZXIuZWR1L2Fib3V0L2FsZnJlZC1hZGxlci10aGVvcnktYXBwbGljYXRpb24v&ntb=1,Alfred Adler : Theory and Application | Adler Graduate School,"Adler developed the first holistic theory of personality, psychopathology, and psychotherapy that was intimately connected to a …",
sped_43c60685b0986c,Albatros Logistic Service GmbH,Wien,1220 Wien,,https://firmen.wko.at/albatros-logistic-service-gmbh/wien/?firmaid=be6ebf52-9943-4c76-8fe7-4a817a7e59ab&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_66dc1c4c78ef53,APS Austria Paket System Gesellschaft m.b.H.,Niederösterreich; Oberösterreich,2333 Leopoldsdorf | 4063 Hörsching,,https://firmen.wko.at/aps-austria-paket-system-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=61765af8-b29f-4fa6-89d1-aa103f123769&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur | https://firmen.wko.at/aps-austria-paket-system-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=049ae1c9-09ee-4504-824e-d8f09817cea1&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,7,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_22cc3fe7c48d9f,Bergview Traders e.U.,Steiermark,8605 Kapfenberg,,https://firmen.wko.at/bergview-traders-eu/steiermark/?firmaid=81b14b22-db2e-4b1a-a2a2-4c98c9bc15c4&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_74b56c003693c5,Cargoboard Austria GmbH,Oberösterreich,4600 Wels,https://cargoboard.at/,https://firmen.wko.at/cargoboard-austria-gmbh/ober%c3%b6sterreich/?firmaid=73c61bcc-b2ed-448d-a568-8fd5e7a25e8d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_4a9b894a230cd7,CONTAINEX Project Management GmbH,Niederösterreich,2361 Laxenburg,,https://firmen.wko.at/containex-project-management-gmbh/nieder%c3%b6sterreich/?firmaid=8b263a94-afab-42ec-b129-3b42db9a18e9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_489c0b24738331,Dieter Helfried Böhme,Steiermark,8141 Oberpremstätten,,https://firmen.wko.at/dieter-helfried-b%c3%b6hme/steiermark/?firmaid=3bf429f0-c59c-410c-88d7-25bf17a98de5&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur,5,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_f9ead94cdbc625,EES Spedition GmbH,Oberösterreich,4600 Wels,,https://firmen.wko.at/ees-spedition-gmbh/ober%c3%b6sterreich/?firmaid=dff16dff-e6c1-4d41-b940-a23a4ecea8b5&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,10,5,,,0,0,65,25,https://www.bing.com/ck/a?!&&p=970fc0cdfd6c9de98ce77f4d582d61e209613b941eee9d9ae8c5772dafd3bdc2JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2f3d28c0-2cce-6ba5-0f22-3f062d5d6aaa&u=a1aHR0cHM6Ly90cmF2ZWwtZXVyb3BlLmV1cm9wYS5ldS9lbi9lZXM&ntb=1,Entry/Exit System ( EES ),European Entry/Exit System will register non-EU nationals each time they are visiting European countries. Travelers will be able to …,,65,25,https://www.bing.com/ck/a?!&&p=44b3519bccb9e808cd97ce0fddc17d898a9507b71de8b93ccec099dba7682c36JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2f3d28c0-2cce-6ba5-0f22-3f062d5d6aaa&u=a1aHR0cHM6Ly93d3cuZWVhcy5ldXJvcGEuZXUvZWVhcy90cmF2ZWwtZXVyb3BlLWV1cm9wZWFuLWVudHJ5ZXhpdC1zeXN0ZW0tZWVzX2Vu&ntb=1,Travel in Europe with the European Entry/Exit System ( EES ),Who is the EES for? The Entry/Exist system is for non-EU nationals travelling for a short stay to a European Schengen-area country. …,,65,25,https://www.bing.com/ck/a?!&&p=41d311522d135fe3d23b5cce319d59ccd4e9b4237223e8d8976752525588b3bcJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2f3d28c0-2cce-6ba5-0f22-3f062d5d6aaa&u=a1aHR0cHM6Ly9lZXNhcm15LmNvbS9ldmFsdWF0aW9uLWVudHJ5LXN5c3RlbS5odG1s&ntb=1,Evaluation Entry System - EES Army,11. Okt. 2022 · The Army Evaluation Entry System (EES) is operated by the United States Army Human Resources Command. It …,,65,25,https://www.bing.com/ck/a?!&&p=60c83253a4b2b2a404eb99a29fab7ff53fe08725d1b365192e56a0409800802dJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2f3d28c0-2cce-6ba5-0f22-3f062d5d6aaa&u=a1aHR0cHM6Ly93d3cuc2NoZW5nZW52aXNhaW5mby5jb20vZWVzLw&ntb=1,Schengen Entry and Exit System ( EES ) - Requirements ...,"12. Okt. 2025 · The Entry/Exit System (EES) is a digital border system that took effect on October 12, 2025. The manual stamping of …",,65,25,https://www.bing.com/ck/a?!&&p=c62e98b4d8ab6b561ae954ff7791f1585a614a3cca33dddf5b006d364d6a93f9JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=2f3d28c0-2cce-6ba5-0f22-3f062d5d6aaa&u=a1aHR0cHM6Ly9sb2dpbi5iZG5zdy5nb3YuYm4vZWVzL3VzZXIvbG9naW4&ntb=1,EXIT AND ENTRY SYSTEM ( EES ) - login.bdnsw.gov.bn,Forgot Your Password? Click Here.,
sped_076db4c49f354c,F&M Solutions GmbH,Niederösterreich,2225 Zistersdorf,,https://firmen.wko.at/fundm-solutions-gmbh/nieder%c3%b6sterreich/?firmaid=b99ebb4a-576e-47f4-a766-0176dcff8e43&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,7,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_44f66c1b6213fa,fr-8 GmbH,Wien,1010 Wien,https://www.fr-8.com/,https://firmen.wko.at/fr-8-gmbh/wien/?firmaid=25d5f306-f598-4d51-b643-19f233168dd7&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
