firmaid,company_name,business_label,street,postal_code,city,address,phones,email,all_emails,website,all_websites,states_seen,wko_state_record_count,profile_url
617942df-d747-4846-9d9a-99de477f85c6,"""Augum"" Handelsgesellschaft m.b.H.",,Dürwaringstraße 65,1180,Wien,Dürwaringstraße 65 1180 Wien,,,,,,wien,1,https://firmen.wko.at/%22augum%22-handelsgesellschaft-mbh/wien/?firmaid=617942df-d747-4846-9d9a-99de477f85c6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
12ff5b5a-8740-4bb8-8e23-85715b6c83a9,"""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.",,Moritschstraße 11,9500,Villach,Moritschstraße 11 9500 Villach,+43%20463%20588%2084%2008,kwh@sreal-klagenfurt.at,kwh@sreal-klagenfurt.at,,,kärnten,1,https://firmen.wko.at/%22die-k%c3%a4rntner%22-wohnbau-und-hausverwaltungsgesellschaft-mbh/k%c3%a4rnten/?firmaid=12ff5b5a-8740-4bb8-8e23-85715b6c83a9&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
3808bbf6-de8e-422f-8392-2d97a300ad1b,"""EUROFINA"" Liegenschaftsverwertungs Gesellschaft m.b.H.",,Josefstädter Straße 43/1/13,1080,Wien,Josefstädter Straße 43/1/13 1080 Wien,01/403%2012%2000,eurofina@aon.at,eurofina@aon.at,,,wien,1,https://firmen.wko.at/%22eurofina%22-liegenschaftsverwertungs-gesellschaft-mbh/wien/?firmaid=3808bbf6-de8e-422f-8392-2d97a300ad1b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
141e60ff-b302-4428-9552-1895dd8fe657,"""G1"" Immobilienbesitz GmbH",,Rathausstraße 1,1010,Wien,Rathausstraße 1 1010 Wien,,,,,,wien,1,https://firmen.wko.at/%22g1%22-immobilienbesitz-gmbh/wien/?firmaid=141e60ff-b302-4428-9552-1895dd8fe657&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
4bb67eff-2c49-4cd4-a76f-0eed2ae01bdf,"""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.",www.franz-dangl-gmbh.at,Martinstraße 2,1180,Wien,Martinstraße 2 1180 Wien,01%20403%2037%2096,Info@franz-dangl-gmbh.at,Info@franz-dangl-gmbh.at,http://www.franz-dangl-gmbh.at/,http://www.franz-dangl-gmbh.at/,wien,1,https://firmen.wko.at/%22hausverwaltung-franz-dangl%22-gesellschaft-mbh/wien/?firmaid=4bb67eff-2c49-4cd4-a76f-0eed2ae01bdf&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
b0957ad9-7519-4b5f-9f20-388582c48412,"""Hausverwaltung und Realkanzlei Sylvia Hort"" e.U.",,Döblinger Gürtel 8/11,1190,Wien,Döblinger Gürtel 8/11 1190 Wien,,silvia@hausverwaltung-hort.at,silvia@hausverwaltung-hort.at,,,wien,1,https://firmen.wko.at/%22hausverwaltung-und-realkanzlei-sylvia-hort%22-eu/wien/?firmaid=b0957ad9-7519-4b5f-9f20-388582c48412&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
68981584-704e-4764-9ec7-08eb81b7227c,"""IDG"" Immobilien Dienstleistungs-GmbH",,Maria Theresiastr. 41,4600,Wels,Maria Theresiastr. 41 4600 Wels,07242/73325,,,,,oberösterreich,1,https://firmen.wko.at/%22idg%22-immobilien-dienstleistungs-gmbh/ober%c3%b6sterreich/?firmaid=68981584-704e-4764-9ec7-08eb81b7227c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
aa7d7438-7feb-4743-89d9-5b61fe0f8482,"""kabelwerk"" bauträger gmbh",,Helene-Potetz-Weg 7,1120,Wien,Helene-Potetz-Weg 7 1120 Wien,,office@kabelwerk-bautraeger.at,office@kabelwerk-bautraeger.at,,,wien,1,https://firmen.wko.at/%22kabelwerk%22-bautr%c3%a4ger-gmbh/wien/?firmaid=aa7d7438-7feb-4743-89d9-5b61fe0f8482&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
51144c17-5b32-48cc-95e0-d1cdd47ef989,"""Kontakt"" Handelsgesellschaft m.b.H.","""IMMO-KONTAKT""",Speckbachergasse 11,1160,Wien,Speckbachergasse 11 1160 Wien,+43(0)14851020 | +43(0)6765634028,office@immo-kontakt.at,office@immo-kontakt.at,http://www.immo-kontakt.at/,http://www.immo-kontakt.at/,wien,1,https://firmen.wko.at/%22kontakt%22-handelsgesellschaft-mbh-%22immo-kontakt%22/wien/?firmaid=51144c17-5b32-48cc-95e0-d1cdd47ef989&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
30447dbf-86f9-43cc-b28d-6b438698051a,"""Objektverwaltung 360"" Liegenschaftsverwertung GmbH",,Hochsatzengasse 34/2,1140,Wien,Hochsatzengasse 34/2 1140 Wien,,,,,,wien,1,https://firmen.wko.at/%22objektverwaltung-360%22-liegenschaftsverwertung-gmbh/wien/?firmaid=30447dbf-86f9-43cc-b28d-6b438698051a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
8c54e788-7d87-405c-a579-fe388cec5f17,"""Prinz Eugen"" Immobiliengesellschaft m.b.H.",,Ostmarkgasse 6/4,1210,Wien,Ostmarkgasse 6/4 1210 Wien,,prinzeugen@utanet.at,prinzeugen@utanet.at,,,wien,1,https://firmen.wko.at/%22prinz-eugen%22-immobiliengesellschaft-mbh/wien/?firmaid=8c54e788-7d87-405c-a579-fe388cec5f17&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
