company_name,wko_rows,states,places,websites,domains,phones,emails
"""ADLER"" Logistikges.m.b.H.",1,Niederösterreich,2320 Schwechat,,,,
"""Fanex"" Transport und Logistik GmbH",1,Niederösterreich,2331 Vösendorf,,,,
"""L.I.T. Alpe Adria GmbH""",1,Kärnten,9020 Klagenfurt/Wörthersee,,,,
"""Martoni"" Transport Ges.m.b.H.",1,Steiermark,8342 Gnas,,,,
"""Road International"" transport and logistics GmbH",1,Vorarlberg,6830 Rankweil,,,,
"""Schwertrans"" Speditions-GmbH",1,Wien,1220 Wien,http://www.schwertrans.at/,schwertrans.at,,
"""Spedition Thomas"" Gesellschaft m.b.H.",1,Steiermark,8141 Premstätten,http://www.spedition-thomas.at/,spedition-thomas.at,+43313556534,office@spedition-thomas.at
"""TEU"" - Transporte Entwicklungs- und Unternehmensberatungs-Gesellschaft m.b.H.",1,Wien,1220 Wien,,,,
"""Thomas"" Warenhandel-Transportvermittlung-Spedition Gesellschaft m.b.H.",1,Niederösterreich,2353 Guntramsdorf,,,,
"2 R - Logistik GmbH",1,Steiermark,8054 Graz,,,,
"24/7 CARGOLINK GmbH",1,Wien,1230 Wien,,,,
"3LOG premium logistics GmbH",2,Salzburg; Wien,1020 Wien | 5071 Wals-Siezenheim,http://www.3log.at/,3log.at,+4318030090 | +43662890310,office@3log.at
"4flow GmbH",1,Wien,1010 Wien,,,,
"A & G Transport GmbH",1,Niederösterreich,2351 Wiener Neudorf,,,,
"A & L Transport & Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"A & T Transport GmbH",1,Niederösterreich,2401 Fischamend,,,,
"A&E Spedition GmbH",1,Wien,1230 Wien,,,,
"A. Ferstl Speditionsgesellschaft m.b.H.",1,Steiermark,8402 Werndorf,https://www.spedition-ferstl.at/,spedition-ferstl.at,+433165852220,c.office@fersped.at
"A. HARTRODT AUSTRIA GMBH",1,Niederösterreich,1300 Wien-Flughafen,https://www.hartrodt.com/,hartrodt.com,+436642659405,
"A. Holzmann Transporte GmbH",1,Steiermark,8141 Premstätten,,,,
"A. Kainz Internationale Speditionsgesellschaft m.b.H.",1,Wien,1230 Wien,,,,
"A. M. Spedition GmbH",1,Niederösterreich,2431 Enzersdorf an der Fischa,,,,
"A. M. Transport GmbH",1,Wien,1110 Wien,,,,
"A. Pichler GmbH",1,Tirol,6134 Vomp,,,,
"A. R. Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"A. T. S. Transport GmbH",1,Wien,1220 Wien,,,,
"A.G.S. Logistics GmbH",1,Niederösterreich,2320 Schwechat,,,,
"A.H. Logistik GmbH",1,Wien,1220 Wien,,,,
"A.S.G. Logistics Consulting GmbH",1,Wien,1040 Wien,https://www.asgconsult.at/,asgconsult.at,+4315055625,office@asgconsult.at
"A.S.T. Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"A.T.P. Speditions GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"A1 Transport GmbH",1,Niederösterreich,2345 Brunn am Gebirge,,,,
"A2B Logistics GmbH",1,Wien,1230 Wien,,,,
"AAA Transport GmbH",1,Wien,1110 Wien,,,,
"AB Cargo GmbH",1,Niederösterreich,2320 Schwechat,,,,
"AB Logistics GmbH",1,Niederösterreich,2333 Leopoldsdorf,,,,
"ABC Internationale Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"ABF Transporte GmbH",1,Wien,1110 Wien,,,,
"ABX Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"ACA Logistik GmbH",1,Wien,1230 Wien,,,,
"ACB2021 Logistik GmbH",1,Wien,1220 Wien,,,,
"ACCESS Logistic GmbH",1,Niederösterreich,2320 Schwechat,,,,
"ACL Schwerlast & Sondertransport GmbH",2,Oberösterreich; Steiermark,4490 St. Florian | 4600 Wels,https://www.acl-transport.at/,acl-transport.at,+437242223060,info@acl-transport.at
"ACS Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"ACW Spedition GmbH",1,Steiermark,8402 Werndorf,,,,
"AD Spedition GmbH",1,Wien,1230 Wien,,,,
"ADAM Transport GmbH",1,Wien,1110 Wien,,,,
"Adler Transport GmbH",1,Niederösterreich,2333 Leopoldsdorf,,,,
"Adriatic Gate GmbH",1,Wien,1020 Wien,,,,
"AEB Logistik GmbH",1,Steiermark,8141 Premstätten,,,,
"AEROTRANS Spedition GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"AFS All Freight Systems GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"AG Cargo GmbH",1,Niederösterreich,2320 Schwechat,,,,
"AG Logistics GmbH",1,Wien,1230 Wien,,,,
"AGM Logistik GmbH",1,Wien,1110 Wien,,,,
"AGM Transporte GmbH",1,Niederösterreich,2333 Leopoldsdorf,,,,
"AGT Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AHM Transport GmbH",1,Wien,1220 Wien,,,,
"Air Cargo Center GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"Air Cargo Logistics GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"Air Logistics GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"AIR SEA EXPRESS GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"Airfreight Logistics GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"airOcean SpeditionsgmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"AK Transporte GmbH",1,Wien,1110 Wien,,,,
"AKZ Transport GmbH",1,Wien,1110 Wien,,,,
"AL Logistics GmbH",1,Wien,1230 Wien,,,,
"ALCI Logistik GmbH",1,Steiermark,8141 Premstätten,,,,
"ALD Transporte GmbH",1,Wien,1110 Wien,,,,
"Alfred Talke GmbH & Co. KG",1,Niederösterreich,2460 Bruck an der Leitha,,,,
"ALL Fresh Logistics GmbH",1,Salzburg,5412 Puch bei Hallein,https://www.allfresh.at/,allfresh.at,+43624520350,office@allfresh.at
"ALLSTA Express Spedition GmbH",1,Wien,1230 Wien,,,,
"Alp&Log GmbH",1,Burgenland,7361 Frankenau-Unterpullendorf,,,,
"ALPENTRANS Spedition GmbH",1,Tirol,6330 Kufstein,,,,
"Alpin Freight GmbH",1,Tirol,6020 Innsbruck,,,,
"Alpin Logistik GmbH",1,Tirol,6330 Kufstein,,,,
"Alpine Cargo GmbH",1,Tirol,6020 Innsbruck,,,,
"Alpine Logistics GmbH",1,Tirol,6330 Kufstein,,,,
"Alpine Transport GmbH",1,Tirol,6020 Innsbruck,,,,
"Alpentrans Spedition",1,Tirol,6330 Kufstein,,,,
"ALPLOG GmbH",1,Tirol,6020 Innsbruck,,,,
"ALPS Logistics GmbH",1,Tirol,6020 Innsbruck,,,,
"ALST Logistics GmbH",1,Wien,1110 Wien,,,,
"ALT Transport GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AM Logistics GmbH",1,Niederösterreich,2320 Schwechat,,,,
"AM Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AM Zoll-Service",1,Niederösterreich,1300 Wien-Flughafen,,,,
"AMA Freight GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"AMA Logistik GmbH",1,Wien,1230 Wien,,,,
"AMG Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AMK Transport GmbH",1,Wien,1110 Wien,,,,
"AMP Logistik GmbH",1,Steiermark,8141 Premstätten,,,,
"AMS Transport GmbH",1,Wien,1110 Wien,,,,
"AMT Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Ankerbrot AG",1,Wien,1100 Wien,,,,
"Anderl Transport GmbH",1,Wien,1020 Wien,,,,
"Andreas Wechselberger Spedition",1,Tirol,6330 Kufstein,,,,
"ANF Logistics GmbH",1,Niederösterreich,2320 Schwechat,,,,
"ANH Transporte GmbH",1,Wien,1110 Wien,,,,
"ANL Logistics GmbH",1,Wien,1230 Wien,,,,
"ANR Transport GmbH",1,Wien,1110 Wien,,,,
"ANTON PAAR TRANSPORTE GmbH",1,Steiermark,8141 Premstätten,,,,
"A-Pollo Spedition",1,Niederösterreich,1300 Wien-Flughafen,,,,
"APL Logistics Austria GmbH",1,Wien,1230 Wien,,,,
"APM Logistics GmbH",1,Wien,1230 Wien,,,,
"APS Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AR Logistics GmbH",1,Wien,1230 Wien,,,,
"ARC Logistics GmbH",1,Niederösterreich,2320 Schwechat,,,,
"Arge Logistik GmbH",1,Wien,1230 Wien,,,,
"ARK Transport GmbH",1,Wien,1110 Wien,,,,
"ARS Altmann AG",1,Wien,1110 Wien,,,,
"ART Logistics GmbH",1,Wien,1230 Wien,,,,
"ARTS Transport GmbH",1,Niederösterreich,2320 Schwechat,,,,
"AS Logistics GmbH",1,Wien,1230 Wien,,,,
"AS Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AS Transport GmbH",1,Wien,1110 Wien,,,,
"ASG Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"ASL Logistics GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"ASOTRA Spedition GmbH",1,Vorarlberg,6923 Lauterach,,,,
"ASP Logistics GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"AT Logistics GmbH",1,Wien,1230 Wien,,,,
"AT Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AT Transport GmbH",1,Wien,1110 Wien,,,,
"ATILLA Spedition",1,Niederösterreich,1300 Wien-Flughafen,,,,
"ATL Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"ATLAS Logistik GmbH",1,Wien,1230 Wien,,,,
"ATN Logistics GmbH",1,Niederösterreich,2320 Schwechat,,,,
"ATP Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"ATS Transport GmbH",1,Wien,1110 Wien,,,,
"Auer Transport GmbH",1,Steiermark,8141 Premstätten,,,,
"AUGUSTIN QUEHENBERGER GROUP GMBH",1,Salzburg,5204 Straßwalchen,https://www.quehenberger.com/,quehenberger.com,+43501450,office@quehenberger.com
"AULOG GmbH",1,Wien,1110 Wien,,,,
"AULO Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Austrian Airlines AG",1,Niederösterreich,1300 Wien-Flughafen,,,,
"Austrian Logistics GmbH",1,Wien,1230 Wien,,,,
"Austrian Post AG",1,Wien,1030 Wien,,,,
"Austro Cargo GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"Austromar Obchodná a Dopravná Spoločnosť",1,Wien,1020 Wien,,,,
"Auta Marocchi Austria GmbH",1,Steiermark,8141 Premstätten,,,,
"AV Logistics GmbH",1,Wien,1230 Wien,,,,
"AVT Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AWL Logistics GmbH",1,Niederösterreich,2320 Schwechat,,,,
"AXL Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"AZ Transporte GmbH",1,Wien,1110 Wien,,,,
"B & B Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"B & D Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"B & K Logistics GmbH",1,Wien,1230 Wien,,,,
"B & S Transport GmbH",1,Wien,1110 Wien,,,,
"B+B Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"B+D Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"B2B Logistics GmbH",1,Wien,1230 Wien,,,,
"Bahnoperator GmbH",1,Wien,1020 Wien,,,,
"BAKO Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Bauer Transporte GmbH",1,Oberösterreich,4063 Hörsching,,,,
"BAULOG Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"BEAUJEAN ART HANDLING e.U.",1,Wien,1030 Wien,,,,
"Becker Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Bender Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Benedikt Transport GmbH",1,Wien,1110 Wien,,,,
"Bertschi Austria GmbH",1,Niederösterreich,2460 Bruck an der Leitha,,,,
"Best Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"BGL Logistics GmbH",1,Niederösterreich,2320 Schwechat,,,,
"Bichler Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"BILOG GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"BLG Logistics Austria GmbH",1,Wien,1230 Wien,,,,
"Blue Logistics GmbH",1,Niederösterreich,2320 Schwechat,,,,
"BMD Logistics GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"BMS Transport GmbH",1,Wien,1110 Wien,,,,
"Bolk Transport GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"BÖRNER Transport und Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Border Trans Service GmbH",1,Burgenland,2424 Zurndorf,,,,
"Bosch Logistics GmbH",1,Wien,1230 Wien,,,,
"BP Logistics GmbH",1,Wien,1230 Wien,,,,
"BPR Transport GmbH",1,Wien,1110 Wien,,,,
"Bruckner Transporte GmbH",1,Oberösterreich,4063 Hörsching,,,,
"BTG Spedition und Logistik GmbH",2,Niederösterreich; Oberösterreich,2355 Wiener Neudorf | 4063 Hörsching,,,,
"BTL Logistik GmbH",1,Burgenland,7100 Neusiedl am See,,,,
"BTL-Logistik GmbH",1,Niederösterreich,2630 Ternitz,https://www.btl-logistik.at/,btl-logistik.at,+432630323920,office@btl-logistik.at
"BTS Logistik GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Cargo Center Graz Betriebsgesellschaft m.b.H.",1,Steiermark,8402 Werndorf,,,,
"Cargo Mind GmbH",1,Tirol,6068 Mils,,,,
"CARGO PARTNER GmbH",6,Niederösterreich; Oberösterreich; Steiermark; Tirol; Vorarlberg,1300 Wien-Flughafen | 2401 Fischamend | 4063 Hörsching | 6020 Innsbruck | 6922 Wolfurt | 8402 Werndorf,https://www.cargo-partner.com/,cargo-partner.com,+43598880,info@cargo-partner.com
"Cargo Service GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Cargo-Partner GmbH",1,Niederösterreich,2401 Fischamend,,,,
"Cargoboard Austria GmbH",1,Wien,1230 Wien,,,,
"Cargomind (Austria) GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"Cargomind Austria GmbH",1,Tirol,6068 Mils,,,,
"CEVA Freight Austria GmbH",1,Niederösterreich,1300 Wien-Flughafen,,,,
"City Logistics GmbH",1,Wien,1230 Wien,,,,
"CLS Spedition GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Columbus-Cargo GmbH",1,Niederösterreich,2355 Wiener Neudorf,,,,
"Container Terminal GmbH",1,Tirol,6060 Hall in Tirol,https://www.tssu.at/,tssu.at,+43522356650,office@tssu.at
"CVR Spedition und Lagerlogistik GmbH",1,Steiermark,8102 Semriach,,,,
"DACHSER-Austria Gesellschaft m.b.H.",6,Niederösterreich; Oberösterreich; Steiermark; Tirol; Vorarlberg,2325 Himberg | 4061 Pasching | 4063 Hörsching | 6135 Stans | 6923 Lauterach | 8142 Wundschuh,https://www.dachser.at/,dachser.at,+43503100,info.austria@dachser.com
"DB Schenker",1,Wien,1020 Wien,,,,
"DHL Express (Austria) GmbH",9,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg; Wien,1010 Wien | 1120 Wien | 2353 Guntramsdorf | 4063 Hörsching | 5102 Anthering | 6401 Inzing | 6837 Weiler | 8120 Peggau,https://mydhl.express.dhl/at/de/home.html,mydhl.express.dhl,+4350880,
